column,class,n_missing,prop_missing,n_distinct
player_id,numeric,0,0,2860
match_id,numeric,0,0,4153
competition_id,numeric,0,0,1
season_id,numeric,0,0,12
round_id,numeric,0,0,12
total_matches,numeric,0,0,2
total_matches_in_start,numeric,0,0,2
total_matches_substituted,numeric,0,0,2
total_matches_coming_off,numeric,0,0,2
total_minutes_on_field,numeric,0,0,120
total_minutes_tagged,numeric,0,0,120
total_goals,numeric,0,0,6
total_assists,numeric,0,0,4
total_shots,numeric,0,0,15
total_head_shots,numeric,0,0,8
total_yellow_cards,numeric,0,0,2
total_red_cards,numeric,0,0,2
total_direct_red_cards,numeric,0,0,2
total_penalties,numeric,0,0,4
total_linkup_plays,numeric,0,0,38
total_duels,numeric,0,0,65
total_duels_won,numeric,0,0,33
total_defensive_duels,numeric,0,0,30
total_defensive_duels_won,numeric,0,0,12
total_offensive_duels,numeric,0,0,46
total_offensive_duels_won,numeric,0,0,29
total_aerial_duels,numeric,0,0,33
total_aerial_duels_won,numeric,0,0,20
total_fouls,numeric,0,0,10
total_passes,numeric,0,0,138
total_successful_passes,numeric,0,0,133
total_smart_passes,numeric,0,0,22
total_successful_smart_passes,numeric,0,0,16
total_passes_to_final_third,numeric,0,0,39
total_successful_passes_to_final_third,numeric,0,0,37
total_crosses,numeric,0,0,22
total_successful_crosses,numeric,0,0,11
total_forward_passes,numeric,0,0,60
total_successful_forward_passes,numeric,0,0,53
total_back_passes,numeric,0,0,36
total_successful_back_passes,numeric,0,0,35
total_through_passes,numeric,0,0,16
total_successful_through_passes,numeric,0,0,10
total_key_passes,numeric,0,0,8
total_successful_key_passes,numeric,0,0,8
total_vertical_passes,numeric,0,0,81
total_successful_vertical_passes,numeric,0,0,81
total_long_passes,numeric,0,0,33
total_successful_long_passes,numeric,0,0,25
total_dribbles,numeric,0,0,32
total_successful_dribbles,numeric,0,0,25
total_interceptions,numeric,0,0,23
total_defensive_actions,numeric,0,0,41
total_successful_defensive_actions,numeric,0,0,33
total_attacking_actions,numeric,0,0,49
total_successful_attacking_actions,numeric,0,0,29
total_free_kicks,numeric,0,0,11
total_free_kicks_on_target,numeric,0,0,8
total_direct_free_kicks,numeric,0,0,6
total_direct_free_kicks_on_target,numeric,0,0,5
total_corners,numeric,0,0,15
total_successful_penalties,numeric,0,0,4
total_successful_linkup_plays,numeric,0,0,32
total_accelerations,numeric,0,0,11
total_pressing_duels,numeric,0,0,31
total_pressing_duels_won,numeric,0,0,1
total_loose_ball_duels,numeric,0,0,26
total_loose_ball_duels_won,numeric,0,0,11
total_missed_balls,numeric,0,0,9
total_shot_assists,numeric,0,0,11
total_shot_on_target_assists,numeric,0,0,8
total_recoveries,numeric,0,0,34
total_opponent_half_recoveries,numeric,0,0,16
total_dangerous_opponent_half_recoveries,numeric,0,0,7
total_losses,numeric,0,0,38
total_own_half_losses,numeric,0,0,20
