variable,is_candidate_per90_or_rate,in_curated_list,passed_missingness_filter,passed_variance_filter,selected_for_model,exclusion_reason,n_missing,prop_missing,n_observed,variance,n_distinct
per90_accelerations,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.31233444696841445,3674
per90_aerial_duels,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,5.9958322732042335,4712
per90_assists,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.007873406726814082,2115
per90_back_passes,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,8.506599145569185,4509
per90_clearances,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,1.4498639228434742,4495
per90_crosses,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,2.0491997896661975,4058
per90_dangerous_opponent_half_recoveries,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.041596259794195796,3457
per90_dangerous_own_half_losses,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.057263875059079664,3854
per90_defensive_duels,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,6.357137723076693,4713
per90_dribbles,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,5.180025379542875,4411
per90_dribbles_against,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,1.677592138486681,4603
per90_forward_passes,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,28.699123767737667,4832
per90_fouls,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.4194384603749626,4190
per90_fouls_suffered,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.4916969218180405,4393
per90_goals,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.024187857440940708,2402
per90_head_shots,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.04598983075136616,2603
per90_interceptions,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,2.9476327765493195,4688
per90_key_passes,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.0685387259112485,3325
per90_lateral_passes,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,41.16680933066861,4836
per90_long_passes,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,6.241490649309071,4726
per90_loose_ball_duels,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,2.110789488293133,4513
per90_losses,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,7.775253570476495,4752
per90_offensive_duels,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,20.509849711003188,4722
per90_opponent_half_recoveries,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,1.2077664818765952,4269
per90_own_half_losses,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.9749087615603609,4538
per90_passes,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,178.27930051997294,4905
per90_passes_to_final_third,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,6.591257202241225,4748
per90_pressing_duels,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,5.445897616528706,4202
per90_progressive_passes,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,7.501206409383973,4755
per90_progressive_run,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.9296235266746586,4140
per90_received_pass,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,121.27064778187079,4874
per90_recoveries,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,10.378825272054303,4785
per90_shot_assists,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.2849270336177176,3844
per90_shots,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.730709086734532,4119
per90_shots_blocked,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.049624750391417574,3168
per90_sliding_tackles,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.1625810714214362,3675
per90_smart_passes,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.7011147545591393,3658
per90_through_passes,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.3446600641396746,4086
per90_touch_in_box,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,1.7418373633960915,4251
per90_xg_assist,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.004821228046240194,4261
per90_xg_shot,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.018320036257907683,4481
per90_yellow_cards,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.021204378779758497,3414
rate_aerial_duels_won,TRUE,TRUE,TRUE,TRUE,TRUE,included,5,0.0010113268608414239,4939,0.03401704570881555,1602
rate_defensive_duels_won,TRUE,TRUE,TRUE,TRUE,TRUE,included,52,0.010517799352750809,4892,0.008707418133309965,1955
rate_dribbles_against_won,TRUE,TRUE,TRUE,TRUE,TRUE,included,66,0.013349514563106795,4878,0.022427169995395242,953
rate_goal_conversion,TRUE,TRUE,TRUE,TRUE,TRUE,included,410,0.08292880258899676,4534,0.01104386317186044,397
rate_offensive_duels_won,TRUE,TRUE,TRUE,TRUE,TRUE,included,105,0.021237864077669904,4839,0.020223791370629594,2095
rate_shots_on_target,TRUE,TRUE,TRUE,TRUE,TRUE,included,410,0.08292880258899676,4534,0.032611088235476315,489
rate_successful_crosses,TRUE,TRUE,TRUE,TRUE,TRUE,included,636,0.12864077669902912,4308,0.03209941854174483,692
rate_successful_dribbles,TRUE,TRUE,TRUE,TRUE,TRUE,included,294,0.05946601941747573,4650,0.02071076377837913,1053
rate_successful_passes,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.0049314939239129985,4411
rate_successful_progressive_passes,TRUE,TRUE,TRUE,TRUE,TRUE,included,0,0,4944,0.009331983341382088,2270
rate_successful_sliding_tackles,TRUE,TRUE,TRUE,TRUE,TRUE,included,675,0.13652912621359223,4269,0.06474910397874963,209
per90_aerial_duels_won,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,1.5253133614896182,4523
per90_attacking_actions,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,18.634176082921908,4579
per90_corners,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.7441592362273939,1786
per90_counterpressing_recoveries,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,2.815475460092997,4675
per90_defensive_actions,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,16.10855300197154,4798
per90_defensive_duels_won,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.39599126899640835,4229
per90_direct_free_kicks,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.011552384014741403,1071
per90_direct_free_kicks_on_target,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.0017321530287875268,568
per90_direct_red_cards,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,3.9650634736019386e-4,376
per90_dribbles_against_won,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.454956120447706,4300
per90_duels,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,52.9262622902476,4844
per90_duels_won,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,7.781025872938338,4731
per90_field_aerial_duels,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,6.163257591322502,4368
per90_field_aerial_duels_won,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,1.5879249692560367,4224
per90_free_kicks,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.2325558438942522,1900
per90_free_kicks_on_target,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.05278056324302284,1452
per90_linkup_plays,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,4.754669805429782,2210
per90_loose_ball_duels_won,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.33719091250767297,4242
per90_matches_coming_off,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.2651242466492688,3600
per90_matches_in_start,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.014492195645289545,3227
per90_matches_substituted,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.08196985079647742,3655
per90_missed_balls,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.084080277844714807,3785
per90_new_defensive_duels_won,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,2.4977385087590753,4533
per90_new_duels_won,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,9.525125288278982,4736
per90_new_offensive_duels_won,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,3.441566591780708,4548
per90_new_successful_dribbles,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,1.4544880862125653,4235
per90_offensive_duels_won,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,5.348497320008068,4602
per90_offsides,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.0886792449784732,2705
per90_penalties,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.0016397708944445105,567
per90_pressing_duels_won,TRUE,FALSE,TRUE,FALSE,FALSE,not in curated thesis feature set,0,0,4944,0,1
per90_red_cards,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,8.455372469312081e-4,745
per90_second_assists,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.003312553975839386,1679
per90_shot_on_target_assists,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.0685387259112485,3325
per90_shots_on_target,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.14818344724474022,3469
per90_successful_attacking_actions,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,3.8248554019095464,4443
per90_successful_back_passes,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,7.628754443281644,4482
per90_successful_crosses,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,0.24501458224432796,3494
per90_successful_defensive_actions,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,10.376408980036885,4789
per90_successful_dribbles,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,2.563468792775931,4332
per90_successful_forward_passes,TRUE,FALSE,TRUE,TRUE,FALSE,not in curated thesis feature set,0,0,4944,20.584574832898745,4829
