player_id,player_index,n_observed_seasons,first_season_index,last_season_index,span_seasons,n_missing_within_span,has_gap,gap_count,recurrence_class
12,1,2,5,6,2,0,FALSE,0,consecutive-repeat
38,2,3,10,12,3,0,FALSE,0,consecutive-repeat
118,3,2,8,10,3,1,TRUE,1,repeated-with-gap
145,4,1,8,8,1,0,FALSE,0,one-season
151,5,4,2,5,4,0,FALSE,0,consecutive-repeat
253,6,1,5,5,1,0,FALSE,0,one-season
254,7,6,1,6,6,0,FALSE,0,consecutive-repeat
267,8,3,6,8,3,0,FALSE,0,consecutive-repeat
312,9,7,6,12,7,0,FALSE,0,consecutive-repeat
1720,10,2,10,11,2,0,FALSE,0,consecutive-repeat
1751,11,1,4,4,1,0,FALSE,0,one-season
3269,12,9,1,9,9,0,FALSE,0,consecutive-repeat
3270,13,7,1,8,8,1,TRUE,1,repeated-with-gap
3274,14,3,1,3,3,0,FALSE,0,consecutive-repeat
3275,15,1,2,2,1,0,FALSE,0,one-season
3276,16,2,2,3,2,0,FALSE,0,consecutive-repeat
3277,17,8,1,9,9,1,TRUE,1,repeated-with-gap
3280,18,5,1,6,6,1,TRUE,1,repeated-with-gap
3281,19,1,11,11,1,0,FALSE,0,one-season
3282,20,9,1,9,9,0,FALSE,0,consecutive-repeat
3284,21,2,1,2,2,0,FALSE,0,consecutive-repeat
3285,22,1,2,2,1,0,FALSE,0,one-season
3286,23,11,1,11,11,0,FALSE,0,consecutive-repeat
3287,24,9,4,12,9,0,FALSE,0,consecutive-repeat
3290,25,5,1,5,5,0,FALSE,0,consecutive-repeat
3291,26,7,1,8,8,1,TRUE,1,repeated-with-gap
3293,27,5,1,5,5,0,FALSE,0,consecutive-repeat
3294,28,5,2,8,7,2,TRUE,1,repeated-with-gap
3300,29,6,6,11,6,0,FALSE,0,consecutive-repeat
3301,30,1,1,1,1,0,FALSE,0,one-season
3304,31,10,1,10,10,0,FALSE,0,consecutive-repeat
3305,32,3,1,3,3,0,FALSE,0,consecutive-repeat
3306,33,8,1,10,10,2,TRUE,1,repeated-with-gap
3309,34,7,1,7,7,0,FALSE,0,consecutive-repeat
3310,35,8,1,8,8,0,FALSE,0,consecutive-repeat
3313,36,1,10,10,1,0,FALSE,0,one-season
3317,37,6,1,6,6,0,FALSE,0,consecutive-repeat
3321,38,9,1,9,9,0,FALSE,0,consecutive-repeat
3322,39,4,1,4,4,0,FALSE,0,consecutive-repeat
3324,40,5,3,10,8,3,TRUE,2,repeated-with-gap
3325,41,5,1,5,5,0,FALSE,0,consecutive-repeat
3326,42,4,1,5,5,1,TRUE,1,repeated-with-gap
3327,43,6,3,10,8,2,TRUE,1,repeated-with-gap
3334,44,3,1,8,8,5,TRUE,1,repeated-with-gap
3335,45,9,1,12,12,3,TRUE,2,repeated-with-gap
3336,46,2,1,2,2,0,FALSE,0,consecutive-repeat
3337,47,4,1,4,4,0,FALSE,0,consecutive-repeat
3338,48,10,1,11,11,1,TRUE,1,repeated-with-gap
3339,49,5,2,9,8,3,TRUE,1,repeated-with-gap
3340,50,2,4,5,2,0,FALSE,0,consecutive-repeat
3341,51,8,1,8,8,0,FALSE,0,consecutive-repeat
3344,52,4,1,8,8,4,TRUE,3,repeated-with-gap
3346,53,9,1,9,9,0,FALSE,0,consecutive-repeat
3347,54,8,2,10,9,1,TRUE,1,repeated-with-gap
3348,55,1,4,4,1,0,FALSE,0,one-season
3349,56,3,1,3,3,0,FALSE,0,consecutive-repeat
3351,57,5,3,12,10,5,TRUE,1,repeated-with-gap
3352,58,1,1,1,1,0,FALSE,0,one-season
