factor,ML2,ML7,ML5,ML1,ML10,ML3,ML9,ML4,ML8,ML11,ML6
ML2,1.0000000000000002,0.3916998179147428,0.6312769885003942,-0.0793445466519782,-0.41006659578713167,-0.11061414734226348,0.17261882554379157,-0.00188367986779884,0.23470467791322983,-0.3249557876715811,0.357747126737745
ML7,0.3916998179147428,0.9999999999999999,0.3619136650049649,-0.41174403577258717,-0.4959358358684455,-0.5323678464920133,-0.22235690872560204,0.28607428103491583,-0.005866471156876987,0.07925618633643436,-0.03189786767697977
ML5,0.6312769885003942,0.3619136650049649,0.9999999999999999,-0.21524814382381682,-0.44995556113694474,-0.05615832188480682,-0.011379796035976825,0.07668827668264559,0.20279964514143678,-0.25226247001327323,0.2710270007678791
ML1,-0.0793445466519782,-0.41174403577258717,-0.21524814382381682,1,0.4503602246607565,0.1707064711963351,0.5210768564328834,-0.3476018315018267,0.15636746049458117,0.22905805245956123,0.3248542280831748
ML10,-0.41006659578713167,-0.4959358358684454,-0.4499555611369448,0.45036022466075654,1,0.30167414478308774,0.19694037100035675,-0.11811853589762948,-0.20038555882382988,0.0014121241860682858,-0.10510154084258128
ML3,-0.11061414734226348,-0.5323678464920133,-0.05615832188480682,0.1707064711963351,0.30167414478308774,1,0.26438856963257346,0.08249198299174487,0.23615571578665742,-0.12451659565774499,0.04853009828869406
ML9,0.17261882554379157,-0.22235690872560204,-0.011379796035976842,0.5210768564328834,0.19694037100035675,0.2643885696325734,1.0000000000000004,-0.04026217551418759,0.20941117067352222,-0.04037437060282375,0.0619708568734182
ML4,-0.00188367986779884,0.28607428103491583,0.07668827668264559,-0.3476018315018267,-0.1181185358976295,0.08249198299174487,-0.0402621755141876,0.9999999999999999,0.07417968018133844,-0.020089593586159187,-0.1914605114137765
ML8,0.23470467791322983,-0.005866471156876987,0.20279964514143678,0.15636746049458117,-0.20038555882382983,0.23615571578665742,0.20941117067352225,0.07417968018133844,1.0000000000000002,0.09771669027153951,0.1552740250903249
ML11,-0.3249557876715811,0.07925618633643436,-0.25226247001327323,0.22905805245956123,0.0014121241860682858,-0.12451659565774499,-0.04037437060282375,-0.020089593586159187,0.09771669027153951,0.9999999999999999,-0.12474253054240299
ML6,0.357747126737745,-0.03189786767697977,0.2710270007678791,0.3248542280831748,-0.10510154084258132,0.04853009828869406,0.061970856873418155,-0.1914605114137765,0.1552740250903249,-0.12474253054240299,0.9999999999999999
