feature,factor,loading,abs_loading
per90_lateral_passes,ML1,1.0106628302767027,1.0106628302767027
per90_received_pass,ML1,0.735402637978496,0.735402637978496
per90_passes,ML1,0.6773851151809973,0.6773851151809973
rate_successful_passes,ML1,0.37119691651029535,0.37119691651029535
per90_recoveries,ML10,0.5998535416982762,0.5998535416982762
rate_defensive_duels_won,ML10,0.5535426676108868,0.5535426676108868
per90_interceptions,ML10,0.5184930875334111,0.5184930875334111
per90_clearances,ML10,0.5016116730379183,0.5016116730379183
rate_aerial_duels_won,ML10,0.42035551154250406,0.42035551154250406
per90_pressing_duels,ML10,-0.3762026858968258,0.3762026858968258
per90_shots_blocked,ML10,0.32890198504075385,0.32890198504075385
per90_own_half_losses,ML10,0.3192443655851049,0.3192443655851049
per90_forward_passes,ML10,0.31368636621189316,0.31368636621189316
rate_offensive_duels_won,ML10,0.3008910010300071,0.3008910010300071
rate_successful_passes,ML11,0.5948038477306762,0.5948038477306762
per90_crosses,ML11,-0.5257199966648064,0.5257199966648064
per90_losses,ML11,-0.3134475085244315,0.3134475085244315
per90_xg_assist,ML2,0.9965268721786741,0.9965268721786741
per90_shot_assists,ML2,0.8212688329419534,0.8212688329419534
per90_key_passes,ML2,0.7956044892178611,0.7956044892178611
per90_assists,ML2,0.7805273103151902,0.7805273103151902
per90_crosses,ML2,0.3265947353722453,0.3265947353722453
per90_dribbles_against,ML3,0.8967019850374969,0.8967019850374969
per90_defensive_duels,ML3,0.8713861022060947,0.8713861022060947
per90_sliding_tackles,ML3,0.4803773351448695,0.4803773351448695
per90_fouls,ML3,0.38592760646572505,0.38592760646572505
per90_interceptions,ML3,0.34452932143743265,0.34452932143743265
per90_losses,ML4,0.744827115889879,0.744827115889879
per90_aerial_duels,ML4,0.6705909039152309,0.6705909039152309
per90_loose_ball_duels,ML4,0.5243062340263234,0.5243062340263234
per90_own_half_losses,ML4,0.44068313326141284,0.44068313326141284
per90_fouls,ML4,0.32577530894505935,0.32577530894505935
per90_dribbles,ML5,0.8486253706270402,0.8486253706270402
per90_offensive_duels,ML5,0.8076042623807433,0.8076042623807433
per90_progressive_run,ML5,0.6710790863667321,0.6710790863667321
per90_accelerations,ML5,0.6525890296153696,0.6525890296153696
per90_fouls_suffered,ML5,0.5096489079190695,0.5096489079190695
rate_offensive_duels_won,ML5,0.3112151433311166,0.3112151433311166
per90_back_passes,ML6,0.582393468832635,0.582393468832635
per90_received_pass,ML6,0.3439944761954053,0.3439944761954053
per90_xg_shot,ML7,0.9291417343324967,0.9291417343324967
per90_goals,ML7,0.8875719466296974,0.8875719466296974
per90_shots,ML7,0.6813279590371802,0.6813279590371802
per90_touch_in_box,ML7,0.6666078925416498,0.6666078925416498
per90_head_shots,ML7,0.6103767191878747,0.6103767191878747
per90_opponent_half_recoveries,ML8,0.8768604689634751,0.8768604689634751
per90_dangerous_opponent_half_recoveries,ML8,0.5958094542972473,0.5958094542972473
per90_passes_to_final_third,ML9,0.649382987055143,0.649382987055143
per90_through_passes,ML9,0.5746662317648342,0.5746662317648342
per90_smart_passes,ML9,0.49209089627553937,0.49209089627553937
per90_progressive_passes,ML9,0.479064801358651,0.479064801358651
per90_forward_passes,ML9,0.47877331438738246,0.47877331438738246
rate_successful_progressive_passes,ML9,0.45999780446990773,0.45999780446990773
per90_long_passes,ML9,0.415874788631095,0.415874788631095
