factor,observed,simulated
1,14.976367712303436,0.2127472401836636
2,7.013770982137106,0.18426702496012812
3,2.9638229734877273,0.17135729799194302
4,2.016674144534206,0.15894874197704023
5,1.2824857270092827,0.14933009811854148
6,0.6841486328177044,0.13878528803126228
7,0.5006661050309373,0.12913411672026381
8,0.33900722727386556,0.1205178594730551
9,0.18457582369211456,0.11262030556886173
10,0.11908364840178409,0.10453917506734746
11,0.11116740031840955,0.09656953700908154
12,0.06785111626808904,0.08792568881829245
13,0.01977026484800326,0.08010561465828671
14,-0.02014557531668615,0.07311553018195376
15,-0.10595821217236545,0.06567756133258826
16,-0.12581562179939532,0.058447949979946685
17,-0.1668733512233277,0.05125452609652795
18,-0.18370351802817997,0.04459814300502022
19,-0.20692875085146312,0.03748944444156524
20,-0.22247434417444034,0.030811396204886835
21,-0.233987276898595,0.024128655542963454
22,-0.2584762988133995,0.017456779967332633
23,-0.2849383759412015,0.010935822321373256
24,-0.2986194892565962,0.004643959203512832
25,-0.34205959377091927,-0.0023929083041050177
26,-0.34645717697612355,-0.008790537475093806
27,-0.34735241306072506,-0.015396168234945915
28,-0.3637696009348282,-0.021832924287362963
29,-0.3944256273020813,-0.02836280889623376
30,-0.41870925840940115,-0.03454185582517295
31,-0.4315067757330659,-0.040951191141072894
32,-0.4549644232801195,-0.04775958559077895
33,-0.4694152465185556,-0.05418028385754267
34,-0.5036864509381692,-0.06110092597911513
35,-0.5271887640785187,-0.06785955787863765
36,-0.5385722090019281,-0.07467886925016341
37,-0.5530800964996819,-0.08150347090785655
38,-0.5592455376438518,-0.08846381855335662
39,-0.5867560375348307,-0.0954987010329429
40,-0.6112445522055909,-0.102966334493017
41,-0.6332943360941913,-0.11056438980885153
42,-0.6654757452749313,-0.1181364516195753
43,-0.6918880961404291,-0.12594701770554237
44,-0.7114510503079228,-0.13450424578238715
45,-0.7389969577719245,-0.1433903645230267
46,-0.7496923752632352,-0.1523719581938983
47,-0.7751701289379493,-0.16337029558201993
48,-0.7807009811241055,-0.1780963921829198
