parameter,observed_index,observed_variable,factor_index,factor,value
Lambda_a,1,per90_goals,1,A1,0.4503652548417449
Lambda_a,2,per90_assists,1,A1,0
Lambda_a,3,per90_xg_shot,1,A1,-0.1885995145099325
Lambda_a,4,per90_xg_assist,1,A1,0.0597415837086219
Lambda_a,5,per90_shots,1,A1,-0.21635068416902836
Lambda_a,6,per90_head_shots,1,A1,0.24175376130414708
Lambda_a,7,rate_shots_on_target,1,A1,0.12404492300225925
Lambda_a,8,rate_goal_conversion,1,A1,-0.023915158203365858
Lambda_a,9,per90_received_pass,1,A1,-0.14412199202589301
Lambda_a,10,per90_passes,1,A1,0.019218149065768343
Lambda_a,11,per90_forward_passes,1,A1,0.03536217917840397
Lambda_a,12,per90_back_passes,1,A1,-0.18740709743841452
Lambda_a,13,per90_lateral_passes,1,A1,-0.22744730611278194
Lambda_a,14,per90_long_passes,1,A1,-0.28875556124629037
Lambda_a,15,per90_smart_passes,1,A1,0.08299087838390354
Lambda_a,16,per90_progressive_passes,1,A1,0.15369075936779036
Lambda_a,17,per90_passes_to_final_third,1,A1,0.1605876383340325
Lambda_a,18,per90_key_passes,1,A1,-0.17991176561871028
Lambda_a,19,per90_through_passes,1,A1,-0.1541373341249503
Lambda_a,20,per90_crosses,1,A1,-0.14804828888687302
Lambda_a,21,per90_shot_assists,1,A1,0.4914635872389417
Lambda_a,22,rate_successful_passes,1,A1,0.21730687639972307
Lambda_a,23,rate_successful_progressive_passes,1,A1,0.08405041829044982
Lambda_a,24,rate_successful_crosses,1,A1,0.12202131522504933
Lambda_a,25,per90_dribbles,1,A1,0.1977242764062147
Lambda_a,26,per90_progressive_run,1,A1,0.11649605411748554
Lambda_a,27,per90_accelerations,1,A1,-0.09904212268677938
Lambda_a,28,rate_successful_dribbles,1,A1,0.05012963425105296
Lambda_a,29,per90_touch_in_box,1,A1,-0.062035942864539256
Lambda_a,30,per90_losses,1,A1,-0.11581603100237228
Lambda_a,31,per90_own_half_losses,1,A1,0.036123637724169155
Lambda_a,32,per90_dangerous_own_half_losses,1,A1,-0.026640576617340303
Lambda_a,33,per90_recoveries,1,A1,-0.07832388465824114
Lambda_a,34,per90_opponent_half_recoveries,1,A1,-0.3346435414727879
Lambda_a,35,per90_dangerous_opponent_half_recoveries,1,A1,-0.26338851621625975
Lambda_a,36,per90_interceptions,1,A1,-0.13375829953606852
Lambda_a,37,per90_clearances,1,A1,-0.15271958251452464
Lambda_a,38,per90_shots_blocked,1,A1,0.34048229639991434
Lambda_a,39,per90_defensive_duels,1,A1,-0.05768118699848235
Lambda_a,40,per90_offensive_duels,1,A1,0.2699409712110187
Lambda_a,41,per90_aerial_duels,1,A1,-0.02098823155535046
Lambda_a,42,per90_pressing_duels,1,A1,-0.2786100803006821
Lambda_a,43,per90_loose_ball_duels,1,A1,-0.09264791349879666
Lambda_a,44,per90_sliding_tackles,1,A1,-0.27180992075320887
Lambda_a,45,per90_dribbles_against,1,A1,-0.025049182029973596
Lambda_a,46,rate_defensive_duels_won,1,A1,-0.002145836516653703
Lambda_a,47,rate_offensive_duels_won,1,A1,-0.25017037323832264
Lambda_a,48,rate_aerial_duels_won,1,A1,0.043588242313020796
Lambda_a,49,rate_dribbles_against_won,1,A1,-0.12482425198756422
Lambda_a,50,rate_successful_sliding_tackles,1,A1,-0.24049569621963005
Lambda_a,51,per90_fouls,1,A1,0.3517656710839142
Lambda_a,52,per90_fouls_suffered,1,A1,0.1579436529489146
Lambda_a,53,per90_yellow_cards,1,A1,-0.0273197298603244
Lambda_a,1,per90_goals,2,A2,0
Lambda_a,2,per90_assists,2,A2,0.7921671678312122
Lambda_a,3,per90_xg_shot,2,A2,0.28856283321775145
Lambda_a,4,per90_xg_assist,2,A2,0.4954761038930672
Lambda_a,5,per90_shots,2,A2,0.33710019549292597
Lambda_a,6,per90_head_shots,2,A2,-0.1639136181635411
Lambda_a,7,rate_shots_on_target,2,A2,-0.03282534910251504
Lambda_a,8,rate_goal_conversion,2,A2,-0.30216362707184596
Lambda_a,9,per90_received_pass,2,A2,-0.06310621552617633
Lambda_a,10,per90_passes,2,A2,-0.1778687312752023
Lambda_a,11,per90_forward_passes,2,A2,-0.050595435669175695
Lambda_a,12,per90_back_passes,2,A2,0.16035761619874297
Lambda_a,13,per90_lateral_passes,2,A2,0.12771185615616704
Lambda_a,14,per90_long_passes,2,A2,-0.23337461334855264
Lambda_a,15,per90_smart_passes,2,A2,-0.33208218813862767
Lambda_a,16,per90_progressive_passes,2,A2,0.12843064787178285
Lambda_a,17,per90_passes_to_final_third,2,A2,-0.014518478986133615
Lambda_a,18,per90_key_passes,2,A2,0.004432698168949179
Lambda_a,19,per90_through_passes,2,A2,-0.28434200412999644
Lambda_a,20,per90_crosses,2,A2,-0.1157499750541676
Lambda_a,21,per90_shot_assists,2,A2,0.07165636237813161
Lambda_a,22,rate_successful_passes,2,A2,-0.062169510963727886
Lambda_a,23,rate_successful_progressive_passes,2,A2,-0.27660803373074827
Lambda_a,24,rate_successful_crosses,2,A2,0.26927675232188486
Lambda_a,25,per90_dribbles,2,A2,-0.1725639589639714
Lambda_a,26,per90_progressive_run,2,A2,0.5215786201623199
Lambda_a,27,per90_accelerations,2,A2,0.3949231452271884
Lambda_a,28,rate_successful_dribbles,2,A2,0.11513983144895767
Lambda_a,29,per90_touch_in_box,2,A2,0.28550973022865284
Lambda_a,30,per90_losses,2,A2,-0.08459994465943611
Lambda_a,31,per90_own_half_losses,2,A2,-0.23356844678652902
Lambda_a,32,per90_dangerous_own_half_losses,2,A2,0.3432422388382872
Lambda_a,33,per90_recoveries,2,A2,0.15662379222570125
Lambda_a,34,per90_opponent_half_recoveries,2,A2,0.03166343725032605
Lambda_a,35,per90_dangerous_opponent_half_recoveries,2,A2,-0.30378873682727137
Lambda_a,36,per90_interceptions,2,A2,-0.13037137746394026
Lambda_a,37,per90_clearances,2,A2,0.029212820252849117
Lambda_a,38,per90_shots_blocked,2,A2,-0.24754685578711172
Lambda_a,39,per90_defensive_duels,2,A2,-0.130181003848189
Lambda_a,40,per90_offensive_duels,2,A2,-0.09250360783624573
Lambda_a,41,per90_aerial_duels,2,A2,0.22021922107940198
Lambda_a,42,per90_pressing_duels,2,A2,0.0065670313187929895
Lambda_a,43,per90_loose_ball_duels,2,A2,0.40135698094469563
Lambda_a,44,per90_sliding_tackles,2,A2,-0.011908830117354262
Lambda_a,45,per90_dribbles_against,2,A2,-0.17394315148731943
Lambda_a,46,rate_defensive_duels_won,2,A2,-0.32786804631213917
Lambda_a,47,rate_offensive_duels_won,2,A2,0.050206268682257665
Lambda_a,48,rate_aerial_duels_won,2,A2,-0.11992815454738981
Lambda_a,49,rate_dribbles_against_won,2,A2,-0.10001351731589259
Lambda_a,50,rate_successful_sliding_tackles,2,A2,-0.11875212982002643
Lambda_a,51,per90_fouls,2,A2,-0.2822936327801606
Lambda_a,52,per90_fouls_suffered,2,A2,0.2029504771880363
Lambda_a,53,per90_yellow_cards,2,A2,0.12360239061156082
Lambda_b,1,per90_goals,1,B1,0.35147101678885523
Lambda_b,2,per90_assists,1,B1,-0.13556879350011142
Lambda_b,3,per90_xg_shot,1,B1,0.2299010118482437
Lambda_b,4,per90_xg_assist,1,B1,-0.04552872744540007
Lambda_b,5,per90_shots,1,B1,-0.0157279588948529
Lambda_b,6,per90_head_shots,1,B1,0.053143764116905
Lambda_b,7,rate_shots_on_target,1,B1,-0.08178843936112108
Lambda_b,8,rate_goal_conversion,1,B1,-0.05379919226882406
Lambda_b,9,per90_received_pass,1,B1,0.008550746681594848
Lambda_b,10,per90_passes,1,B1,0.23014017198306946
Lambda_b,11,per90_forward_passes,1,B1,-0.061416607711016126
Lambda_b,12,per90_back_passes,1,B1,-0.032809587001280005
Lambda_b,13,per90_lateral_passes,1,B1,0.06147764317072721
Lambda_b,14,per90_long_passes,1,B1,-0.18561139430599277
Lambda_b,15,per90_smart_passes,1,B1,0.04137990155729572
Lambda_b,16,per90_progressive_passes,1,B1,-0.15686350082205272
Lambda_b,17,per90_passes_to_final_third,1,B1,0.08961608566590788
Lambda_b,18,per90_key_passes,1,B1,0.13965202526581572
Lambda_b,19,per90_through_passes,1,B1,-0.185481317126418
Lambda_b,20,per90_crosses,1,B1,-0.1634484147444392
Lambda_b,21,per90_shot_assists,1,B1,0.08937157863613131
Lambda_b,22,rate_successful_passes,1,B1,-0.037539823424689645
