observed_index,observed_variable,mu,psi_a,psi_b,sigma_epsilon,Sigma_a_diag,Sigma_b_diag,Sigma_epsilon_diag
1,per90_goals,-0.05249348020701902,0.050243249074803605,0.050640617326896356,0.40557441322598603,0.25307211184347345,0.24059050001536603,0.16449060466360288
2,per90_assists,-0.07518560823327007,0.023063356692781558,0.041548507154073336,0.40231648411136117,0.6861619553558878,0.09440298240291964,0.16185855338772712
3,per90_xg_shot,-0.20833298197120612,0.07625161051755684,0.014356700206357001,0.6086949355201796,0.32531723687062464,0.016429565229154525,0.37050952452791563
4,per90_xg_assist,0.006785222789338947,0.0632480077703239,0.008777967410074848,0.6125495558371767,0.22369216811209947,0.00902533610107303,0.3752169583563225
5,per90_shots,0.015112470531478225,0.08269847736764048,0.012218315927543487,0.4930883542401716,0.16801103269180617,0.015042575592056726,0.24313612508728097
6,per90_head_shots,0.01416648819235894,0.03400406051578491,0.049929842969654255,0.5074121195590123,0.05046870698212332,0.05661919178278203,0.25746705907536943
7,rate_shots_on_target,0.443555410461644,0.09990449995742029,0.032035546184014156,0.403233346901834,0.1917792922745259,0.03492989927279205,0.16259713205365478
8,rate_goal_conversion,-0.13787205176642234,0.02524127373697208,0.03447665075471842,0.5315704114036635,0.04999481676051987,0.03454976602353122,0.28256710227986004
9,per90_received_pass,0.18680448371377398,0.025879107300932826,0.046744966495077284,0.4597886126721278,0.05788573011989705,0.09970946525547408,0.21140556834295995
10,per90_passes,0.06057161425973574,0.04319414606344428,0.04879020666861819,0.44681180655024944,0.04700452789024352,0.05256220637134704,0.19964079047269753
11,per90_forward_passes,-0.019614384443196037,0.05030019973174312,0.010035002100616721,0.591104886145331,0.11113618497497788,0.011111471099811282,0.34940498642488466
12,per90_back_passes,-0.2172589912863059,0.08810207505378985,0.030453056190491743,0.5288060308201239,0.15614467031460488,0.034232556800319,0.27963581823173383
13,per90_lateral_passes,0.19229847766914024,0.10143605072850802,0.014549721343930264,0.3754167048959061,0.23927953503475463,0.04900131104014499,0.14093770231489985
14,per90_long_passes,0.0073071171241766274,0.05680166839957704,0.03435504487348301,0.5186596556566656,0.1739677339734478,0.0360673411263745,0.26900783840589093
15,per90_smart_passes,0.08230370408619944,0.027505336985599926,0.0611780292085917,0.44871773216873406,0.06762061781341386,0.08578418709874183,0.20134760316265177
16,per90_progressive_passes,-0.06050074855055007,0.0787163200947818,0.06029884422655147,0.5672098980285227,0.10471549591255463,0.06832988703663082,0.32172706842152715
17,per90_passes_to_final_third,-0.051547499573518694,0.06010043923022625,0.04979864889074446,0.3832977312384173,0.09248833145132501,0.06930133705158849,0.146917150772518
