variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,18854.170217,18860.9685,330.36864075332016,339.2411190000007,18295.191400000003,19382.95755,1.001964879632568,778.7214330289146,1754.055272112496
mu[1],-0.20861101341,-0.20866943,0.0068762182220755705,0.006807261530999986,-0.2196832195,-0.19731164300000004,0.9999255563970441,4388.413150625242,2911.127653411146
mu[2],-0.0630208580325,-0.063027043,0.009563184711407388,0.009544668936599986,-0.07865281130000001,-0.04723741975000001,1.000644362433878,4760.102646834205,3202.576898773645
mu[3],-0.077652743319,-0.0777101385,0.007100664815523532,0.0071177379861000045,-0.08910744135,-0.06583514945000002,1.0000931738153174,5485.835995722119,3450.7506502472847
mu[4],-0.2072185719425,-0.20736417499999998,0.0071127084952100714,0.007128229605000027,-0.21860787599999998,-0.1954843035,1.0015705334787282,5032.147802582927,3242.4040018012256
mu[5],0.003012560133265376,0.0030498782499999997,0.009920958947558657,0.00970110525321,-0.013291623349999998,0.01962532089999998,1.0004906123502204,5463.013123595041,3388.25915754506
mu[6],0.001017080184664025,9.00788785e-4,0.009911950070678455,0.00989084906838,-0.01517635205,0.0172154948,1.0017125448519455,5278.582982926175,3184.4843079440475
mu[7],0.0203374076736945,0.020377854,0.007856280408406496,0.007844970336,0.0071778393300000005,0.03318806165,1.0006893233789007,4917.788751590207,3156.639871080113
mu[8],0.4393467191,0.439436555,0.008427931432268535,0.008495424020999993,0.4251258215,0.4529075935,1.0011692902992753,6350.457375458949,3278.2371696105315
mu[9],-0.136185748855,-0.13636783000000002,0.006818817359936709,0.00673374681,-0.147298643,-0.12469722100000002,1.000924361937989,5242.980630300293,3607.6983525486507
mu[10],0.203054792905,0.20291724,0.008549830424147037,0.008554349958000005,0.189058112,0.21734438,1.0006886999190592,5522.314940646277,3220.8240133601757
mu[11],0.05043336768775,0.050454222,0.007191330249729701,0.007281719476499999,0.038778967500000004,0.062391010399999995,1.0011193371717024,5656.012424331041,2984.740836914281
mu[12],-0.021164574027045,-0.021317800499999998,0.007550878250550544,0.007694884514099997,-0.033195687200000004,-0.008623524165000005,1.0000762281614377,5658.909472887969,3018.166917950826
mu[13],-0.217154318735,-0.21700224499999998,0.009495839154398479,0.00944822432399996,-0.23272791250000002,-0.20158483100000005,1.0015873898307681,5349.617841661313,3191.7100326190453
mu[14],0.1828762835425,0.18267186000000002,0.008982624236247167,0.008876859935999995,0.16844454700000003,0.197670556,1.0011315090704704,5475.704169951966,3080.729510552883
mu[15],0.015561766803777249,0.015554166,0.006500603214646197,0.006368376348600001,0.00477268852,0.026205155249999994,1.0005308114149374,4410.662132546229,2950.700818669535
mu[16],0.07292473311775,0.0727401245,0.008466278010404006,0.008455235924099995,0.05891617265,0.08690760059999998,1.0010981677349198,5209.104616675065,3059.7523267054826
mu[17],-0.056757745097000004,-0.0566646265,0.006976078611517764,0.006886857877200002,-0.06829757485,-0.0455488955,1.0007788478497113,5247.22634083119,3197.968561348832
mu[18],-0.0497455254715,-0.049864475000000005,0.00882310968164649,0.008755967249400004,-0.064202121,-0.03521960230000001,1.0005378219800996,6540.542549439158,3231.956747796649
mu[19],-0.1706353433775,-0.170736385,0.0067214089640078014,0.006694873038000009,-0.18175283250000002,-0.15963823700000004,1.0002772733071361,5394.731888692231,3363.3601559292956
mu[20],-0.1358880931275,-0.1359839,0.0073668994043923405,0.00721707441000001,-0.147915425,-0.12388448150000003,1.0008187711801084,5616.867284522012,3189.9978240777623
mu[21],-0.2151145481075,-0.21504578,0.010214250780466227,0.010634148650999995,-0.231799813,-0.1984775235,1.0001328984903426,5397.810603166544,3549.7560849844012
mu[22],0.2483739123825,0.24840032,0.008869333212079696,0.008653558137000026,0.23373803650000002,0.2629302455,1.0000074060405362,5044.577523457788,3191.9178919003148
mu[23],0.1933079515225,0.19332872,0.00654398259703486,0.006556635414000017,0.18212267299999998,0.203903647,0.9995926783654205,4517.044061601495,2991.240906777484
mu[24],0.12603124442475,0.125924265,0.009500809342462373,0.009526653864000005,0.1106834825,0.1415829155,1.0000012425178244,5609.473902953558,3447.1253273021157
mu[25],0.05480642995775,0.0548068835,0.006566782320618267,0.006469051560299998,0.043723694699999996,0.06564499054999999,1.0008096502572654,4493.8904353368225,3615.8278606985277
mu[26],-0.07424698428425,-0.074160115,0.01004950426268915,0.010130908991700003,-0.09029357724999999,-0.057582170900000014,1.0004020060785497,4649.314104483708,3292.0167997528874
mu[27],0.041601174431,0.0415579355,0.00729166410474102,0.007234065747300001,0.02969096745,0.05365377995,1.0001009773503713,5755.563080060889,3358.48156481547
mu[28],-0.140500713425,-0.140473775,0.00634177335953061,0.006278529305999987,-0.150857743,-0.1301949375,1.0016471300259928,4653.535429473794,3527.950199503178
mu[29],-0.09762623835825,-0.09753106049999999,0.007063699198714258,0.006900919596899987,-0.109614853,-0.08591797155,1.0001833555779658,5150.277744718163,3219.2813224100228
mu[30],-0.0579212190925,-0.0579549635,0.0075440600011268165,0.007507970166899996,-0.07045573145,-0.0453174999,1.0008222239582487,4599.059958721958,3441.899044895541
mu[31],-0.00329985291576285,-0.0033884886500000003,0.010731680209855944,0.01065986686842,-0.02073951575,0.01408192225,1.0005706698323484,5268.653966009946,3175.3800928744413
mu[32],-0.2316386859425,-0.23164447999999999,0.008534711708913269,0.008651808669000002,-0.245735159,-0.2177674045,1.0005061407816425,5091.322644615737,3368.1412638236025
mu[33],0.239456158915,0.239465785,0.007946451413667604,0.00781053695100003,0.226330347,0.2526045165,1.0015319022864515,5513.62060946119,3082.475114617486
mu[34],0.274373550355,0.27427535999999997,0.009204766324543059,0.009227902550999987,0.259297169,0.289307866,0.9995844324638371,5605.069520332315,2944.9239257312074
mu[35],-0.17958632764,-0.179612245,0.0073279103141473114,0.007305481848000017,-0.1913443695,-0.16769502000000003,1.0001852274679948,5645.88542820654,3376.832644706623
mu[36],0.07881005753675,0.078714396,0.007130648920022525,0.0071551936512,0.06725455135,0.0904056299,1.001300648525182,5154.785725511375,2823.717823485306
mu[37],-0.0852598522385,-0.085312467,0.0086934249093959335,0.008529213957599995,-0.099458633,-0.07085688294999999,1.0015442920002435,5759.232691952405,2863.6072473190193
mu[38],0.1262983487505,0.12646451,0.01027223875690929,0.010296582870000008,0.1093398485,0.14321032099999997,1.0007824929458358,5243.905449678384,3218.3425689090577
mu[39],-0.3618860180875,-0.36189261500000003,0.008295989000528465,0.008376386066999978,-0.37550952249999997,-0.348258715,0.9998849790506701,4212.2873738116505,3160.899010671228
mu[40],-0.27565482261,-0.27564995999999997,0.0065366892292826944,0.006652003658999921,-0.28640778100000003,-0.2648685745,1.0004575293359441,5382.076084964847,3170.363321086439
mu[41],-0.026063348278725,-0.02594499,0.007132963453123012,0.007106138864999998,-0.0379196075,-0.0144461907,1.0030389578911836,5145.736105231589,3450.7341132074844
mu[42],-0.05714925667475,-0.057005109,0.009986620288958286,0.009895706362500012,-0.07329120095,-0.04047463335,0.9998163341894686,5720.361001093417,3273.3728720732006
mu[43],-0.014259782136639575,-0.0141634165,0.007150801573163532,0.007117510406999998,-0.026112912,-0.0025237951050000014,1.001042737098361,4321.1010534714,3213.1397086335605
mu[44],0.190529734885,0.190550355,0.008069858277209714,0.008343961604999988,0.17723904599999998,0.20385263299999998,1.0007343659087489,5479.332281395939,3378.383855624974
mu[45],-0.0231324027115075,-0.023190247499999997,0.00876941795264678,0.0088056773448,-0.03752770495,-0.008699820715000006,1.0013551756899215,5036.628985431446,3573.5874076319733
mu[46],-0.07985107880725,-0.079819082,0.007822745146015294,0.0077421876084,-0.09284833239999998,-0.06700126920000002,0.9996635264907736,5540.897271988946,3320.7664828594197
mu[47],-0.1599927656775,-0.15996122499999998,0.0073335478822641985,0.0075039871619999934,-0.17231852500000003,-0.14820306,1.0005205905080918,4836.900497255601,3112.5060935965503
mu[48],-0.025428262443275,-0.0254923075,0.006987810677565094,0.007298417259000001,-0.036287075,-0.013902687100000014,0.9999353479215394,5010.663988062417,3483.07963314577
mu[49],-0.057654791781,-0.0576863055,0.00935328122305522,0.009550813572299997,-0.07269561585,-0.04243986955,1.0004751018167093,5777.999664982498,2886.975233528866
mu[50],0.2581458916625,0.258059425,0.007302229554680377,0.007199312861999977,0.246226352,0.27009037900000005,0.9995860932618119,4716.159211419292,3391.2089075743916
mu[51],0.23522207903,0.23530369,0.010241357543744879,0.010251296852999997,0.2181504945,0.2520594155,1.0012560659025036,5503.759928136634,3390.9815315543055
mu[52],0.027989934454925,0.027959879,0.007131966749206503,0.0070167477218999975,0.0160046559,0.03961274249999998,0.9997598957202445,5784.2083913068545,3440.9524217108487
mu[53],0.1533016136025,0.153214935,0.0063151570009203125,0.006197964822000008,0.14299209149999997,0.16387857,1.0006190391863539,5021.357115405104,2943.9028315907663
sigma_a[1],0.53148738424,0.5313452949999999,0.011799367751485391,0.011632768707,0.511638881,0.5513080785,1.0073448588864946,1015.6396218247957,1626.0593551204213
sigma_a[2],0.8683872607075,0.868287925,0.018036831703601753,0.01805901686400003,0.8389900330000001,0.8978527395000001,1.0021653177197822,1140.1634914373983,2428.516998537172
sigma_a[3],0.41446640107,0.414373295,0.0102508514281959,0.010138078104000026,0.3982091985,0.4319835835,1.0042800168244048,1274.5006695975228,2136.8669064853275
sigma_a[4],0.5406413338175,0.54042705,0.011966729420812552,0.011954663405999984,0.5214205785,0.5610966964999999,1.0007769345593212,1220.6185306594857,2440.043264226567
sigma_a[5],0.4796872914725,0.47935707,0.014326118435200957,0.014114641106999972,0.45622917350000003,0.5035149664999999,1.0010472795986523,1270.448815851706,2245.654234271367
sigma_a[6],0.383789318085,0.38372243,0.01331909035142548,0.013334126336999996,0.36216059,0.405428456,1.003092818203461,1528.520598412622,2153.73223234762
sigma_a[7],0.332228031405,0.331977045,0.0112978552770581,0.011134222217999996,0.3138121445,0.35081884199999996,1.003995605735707,1176.5475744292949,2365.6897220433643
