variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,17347.22157325,17351.4865,312.240547311383,314.50764449999957,16837.96585,17859.150749999997,1.0038020386445685,918.7126929971663,1376.2939914423566
mu[1],-0.2081104344425,-0.20806202000000001,0.006826563532296679,0.006838499913000004,-0.219819765,-0.196962522,1.002371178543709,5632.991645081703,3329.7453940442233
mu[2],-0.05867593407875,-0.0586286725,0.008640275922794913,0.008504469363599996,-0.07322218,-0.04453711985000001,1.0000864236021074,6640.859900157953,3622.9407536318267
mu[3],-0.077958178754,-0.077948887,0.006782124178715454,0.0066038065568999925,-0.088838933,-0.06673044655,1.000130418466015,7127.318465431982,3428.8656258021797
mu[4],-0.203208170135,-0.20341219500000002,0.006362706179062447,0.006460866866999975,-0.21365468149999997,-0.1924869975,1.0010805252629662,8475.404888160689,3088.095238720253
mu[5],0.004073825815590375,0.00398125205,0.009828843063403009,0.00984306553755,-0.012161611499999999,0.0203875478,1.001176578941337,7218.291049824452,3355.484590380875
mu[6],8.728908152747499e-4,7.95653975e-4,0.0095286011903433,0.00937549501035,-0.0148389598,0.0164782271,1.0014731129471546,7046.137630745641,3056.764528700558
mu[7],0.020706318013125,0.020539378499999997,0.007983380389826824,0.007973525840699996,0.0073480755100000005,0.033802963199999994,1.0022783396456902,6540.103399715141,3331.3155221236907
mu[8],0.43677900108,0.43674224,0.007618691647892414,0.007530192116999965,0.4240847595,0.449355171,1.0000993752883267,7538.4502259628425,2857.352362015067
mu[9],-0.13797884863,-0.13802448,0.006922111411507159,0.007091779883999995,-0.14924694400000002,-0.126768992,1.000764001465976,6204.92109838229,3430.016928611245
mu[10],0.1994592254125,0.199446725,0.008125918838448109,0.008103335625000003,0.1861000405,0.2126986755,1.0024697485460696,8197.93742256453,3384.9493730552153
mu[11],0.04976463531725,0.049831633,0.007110647454489505,0.007082847219000001,0.03795603725,0.06144495444999999,1.0004177308013573,8833.996269028337,3485.393903590417
mu[12],-0.020572467451205,-0.0204478545,0.007221621658050232,0.0071122279032000005,-0.032477756899999995,-0.008796485195000002,1.0003119296481982,6934.641598409453,3194.884517544683
mu[13],-0.217949680595,-0.21788515,0.00913335265317684,0.009133616604000009,-0.2332265355,-0.202972413,1.0013919411964232,7679.044166970925,3324.155206336922
mu[14],0.1813904186525,0.181277295,0.008588495165031185,0.008524890696000018,0.1670556675,0.195625152,1.0008023035624276,7614.404752737698,3425.5834489111016
mu[15],0.0157396627473125,0.01572633,0.006262783655723606,0.0061238704044,0.0054613720900000004,0.026281805399999997,0.9998707285059472,5738.343759439174,3139.368548137436
mu[16],0.075337689934,0.075401125,0.008323216457755545,0.008338240251599995,0.061507524699999996,0.08916353675000001,1.0024897272032003,6639.597460400294,3582.0791167451316
mu[17],-0.05639394735925,-0.056334788,0.0071379927134884525,0.006913114723200003,-0.06832860764999998,-0.04469693905,1.0009872562455713,8396.048051175158,2886.125760111119
mu[18],-0.05201192278,-0.0518001315,0.008879172456708658,0.008803783323299999,-0.0669006624,-0.03743678295000001,1.0016617893415705,6770.080333808013,3110.8447208818006
mu[19],-0.1752446865275,-0.175210235,0.0063140215973117985,0.006265675164000005,-0.18568023,-0.1649203325,0.9994249059904294,7177.160352812041,3791.455918724394
mu[20],-0.1386576100525,-0.13876107,0.0070677101285382135,0.0069766708200000105,-0.15017711150000002,-0.1268624725,1.0021269741947951,7647.221392403916,3430.1683476015023
mu[21],-0.2110802160025,-0.21117746999999998,0.009706565610570796,0.009590546511000005,-0.22670785,-0.19474863,1.0009447160508131,6861.580771485496,3092.4613280863446
mu[22],0.2496572548375,0.249740595,0.008743575751775165,0.00850575032999999,0.235093958,0.2641727335,1.0024607005608261,6445.8918393681015,3471.9633513489803
mu[23],0.191167573185,0.19103827,0.006348873123927932,0.00631483817999999,0.1807399935,0.20170661650000002,0.9996560087608423,6266.626012691321,4007.4978661246246
mu[24],0.1314387540825,0.131594235,0.00940740043142558,0.009539648852999984,0.1155974365,0.1467047075,0.999587085955162,7653.396520384898,3501.2058727365725
mu[25],0.055287765209,0.055378751000000004,0.006212898057164411,0.006291740013300008,0.0450453424,0.0654371463,1.000063525840819,5721.612234128525,3473.4502216209753
mu[26],-0.07416759505425,-0.0742797845,0.00885850966152143,0.008670264815099998,-0.08867096415,-0.05920651715,0.9999039473515547,8412.697082008703,2877.8671652328876
mu[27],0.04322101996675,0.0434196265,0.0069852475448969375,0.007020208110299999,0.031804829800000003,0.05452277654999999,1.0000628442884816,5629.460781762726,3084.0004620033974
mu[28],-0.138783214505,-0.13877114000000002,0.006323452037112966,0.006265541730000034,-0.14945482300000001,-0.1285252775,1.0000913048178408,5615.6200902052115,3346.6426181021516
mu[29],-0.0960561493875,-0.096103202,0.006784866853145863,0.0067789927968,-0.107184381,-0.08486472545,1.0006772746336365,6335.847987926923,3742.287856870735
mu[30],-0.060846418647,-0.060899561000000005,0.007548268314583499,0.007599192321000007,-0.0729598659,-0.04841297120000001,1.0011272848354895,5259.222895877178,3155.90901589066
mu[31],-0.005766745601271375,-0.0056339952,0.010363844422093054,0.01006921659723,-0.022551542399999996,0.010943935099999986,1.000590404034841,6907.0174700842435,3298.165553794796
mu[32],-0.2272070791,-0.22740284,0.00797304507074597,0.008025424994999983,-0.239930744,-0.2140487745,1.0025807674417355,7875.973662050273,3265.5833846625246
mu[33],0.2400978212125,0.24024397,0.007312258534199716,0.0074899098749999955,0.2279973495,0.2522627615,0.9999066995793766,8121.206713363188,3179.3554815754305
mu[34],0.2751742503475,0.27508081,0.008745768451572461,0.008899958844000017,0.2609482985,0.28990805750000004,0.999424177706838,6160.297275385687,3107.4436357514996
mu[35],-0.17924617845,-0.179285195,0.0069933649245840415,0.006975558869999999,-0.190643348,-0.16787615600000003,1.0013968382191052,5778.9433896585815,3447.5481993798285
mu[36],0.07589719172375,0.07586405099999999,0.007010380447715211,0.007028489913899997,0.0643846522,0.08758460685,1.0026179243199274,6981.8830324641785,3317.668383379735
mu[37],-0.087058613913,-0.086966455,0.008394888369035144,0.0083852764779,-0.1009950105,-0.07325976765000002,1.0004107707047818,7877.273517473901,2895.302346696575
mu[38],0.12644281615925,0.126218825,0.009328648912857744,0.009123260643000007,0.11132558249999999,0.14194621249999997,1.0003228712923842,5369.120162036641,3009.035633771433
mu[39],-0.3633611804,-0.363494845,0.008238613794812857,0.008301574071000016,-0.3767358005,-0.34963882150000003,0.999967071591826,5686.709059935334,3073.2511454340765
mu[40],-0.276492448935,-0.276539675,0.0061980360747824976,0.006217409120999999,-0.2866285705,-0.266364862,1.0017309308962699,5245.89873789162,2880.134276012741
mu[41],-0.024196562216635,-0.024221625,0.006873399833758634,0.0067706272263,-0.0355731413,-0.012919641250000002,1.0018391881678677,5774.982601093863,3328.2409375690568
mu[42],-0.059691225073,-0.059481312999999994,0.009583913616076068,0.009522435867000002,-0.0756771408,-0.043970745400000004,1.000667907497247,8666.806351365634,2992.028173792271
mu[43],-0.01538457311763775,-0.0153505875,0.0069939179318486144,0.0070218641745000004,-0.026681776549999998,-0.003799013575000009,1.0012011407841113,6735.56749761508,3550.311702056309
mu[44],0.18858786127,0.18856021,0.0071979271260720215,0.007329796487999996,0.1768880105,0.2001721525,1.0010344250853076,7936.4486002113745,3419.412391223213
mu[45],-0.024331947471742502,-0.024422153500000002,0.008313520089627609,0.008248534055999998,-0.037951691950000005,-0.01074817765000002,1.0011407757261344,7680.821674669136,3248.1280871227636
mu[46],-0.081775304294,-0.08193955350000001,0.007147276166983585,0.0070635474734999796,-0.0936418333,-0.06969607330000001,1.000726115128,8093.39216462783,3374.221125337553
