observed_variable,player_empirical_variance,season_empirical_variance,residual_empirical_variance
per90_goals,0.782322628712786,0.0018300152118992683,0.2166138545824447
per90_assists,0.5986122537728276,0.006523526225571925,0.3992246093896635
per90_xg_shot,0.8800442769994492,6.592087127297112e-4,0.11952139890016446
per90_xg_assist,0.7830220654119182,0.003004510745695648,0.21651403305994793
per90_shots,0.9112065985521124,0.0019966642370866632,0.08721315652385407
per90_head_shots,0.8223374743563727,0.0020610540535083866,0.17779598709498973
rate_shots_on_target,0.4629815806964807,0.0027802140508256783,0.5362676207047513
rate_goal_conversion,0.463989306758898,0.003381192008046736,0.5333819780166579
per90_received_pass,0.8679333119047213,0.014083773736548531,0.1302119208795735
per90_passes,0.8956706810313918,0.004091424021217574,0.1028178484864547
per90_forward_passes,0.9010494576235356,0.011280813266247343,0.10572898882883365
per90_back_passes,0.8863684070581793,0.00665933303252406,0.11319677670882401
per90_lateral_passes,0.8711135665525142,0.0056165126207294025,0.12606507342851442
per90_long_passes,0.8950551681307721,0.015573129461934152,0.11594718547416051
per90_smart_passes,0.7265947068597158,0.3063890066486189,0.32461895561590426
per90_progressive_passes,0.8689800829988896,0.05872038791248195,0.1571567677022822
per90_passes_to_final_third,0.8705321995255428,0.030138957320998215,0.14671708824138893
per90_key_passes,0.7731674610481262,0.0023575434519871393,0.22512745273611373
per90_through_passes,0.7783960574095407,0.09336510739379529,0.2464008013748233
per90_crosses,0.9014927506997555,0.004322020435979478,0.09993844317273087
per90_shot_assists,0.8470368675134702,0.005262894185017907,0.15397540311513777
rate_successful_passes,0.8461967373180396,0.01885218556442381,0.15634647909202523
rate_successful_progressive_passes,0.6782363205818805,0.07546241618405757,0.3534544695579822
rate_successful_crosses,0.3831739582947819,0.0038741784888878077,0.6154150248006228
per90_dribbles,0.8936871774638435,0.02910370960332142,0.10152938339994753
per90_progressive_run,0.8521110800277466,0.05638711139243735,0.17162674741042425
per90_accelerations,0.7619861136278928,0.08100969167040084,0.22134961235822598
rate_successful_dribbles,0.48901113460666124,0.007025540827308216,0.5078821084862095
per90_touch_in_box,0.9184801887552109,0.004547449121737717,0.08489849243908335
per90_losses,0.8569489486387325,0.03635459663214903,0.14498644459548746
per90_own_half_losses,0.7806899424453515,0.01298138865684473,0.21801674482327993
per90_dangerous_own_half_losses,0.6549858086561023,0.011394614862641771,0.34325334507825417
per90_recoveries,0.9294913054000843,0.012514562052443718,0.07298728813437409
per90_opponent_half_recoveries,0.8614941616601075,0.003569645238066427,0.13742926691977303
per90_dangerous_opponent_half_recoveries,0.6502668417848861,0.005743875468939921,0.3470688423184263
per90_interceptions,0.8762755253848339,0.052244600015576896,0.13863207732481145
per90_clearances,0.9005983724989941,0.02588840714609595,0.10606779516341797
per90_shots_blocked,0.7738228775533751,0.007373245029956517,0.22462030929034213
per90_defensive_duels,0.8765000730148821,0.028940087602960993,0.11736404702761692
per90_offensive_duels,0.9282015358972389,0.010790449912084922,0.06671034393714981
per90_aerial_duels,0.8907773238545096,0.047205579666477496,0.121487112394888
per90_pressing_duels,0.701755387258423,0.2763756279707662,0.27363582514924595
per90_loose_ball_duels,0.8476009413421359,0.06225967713345555,0.15427749382663533
per90_sliding_tackles,0.77386826816495,0.10369113535856164,0.2639416699539024
per90_dribbles_against,0.8374813640280229,0.07606971252372563,0.17360588070293068
rate_defensive_duels_won,0.49536977961653156,0.10241723931311922,0.4580902274200265
rate_offensive_duels_won,0.610972224343493,0.011277696376017311,0.38866935788475937
rate_aerial_duels_won,0.8453191476497874,0.002711507004481914,0.1534063961848046
rate_dribbles_against_won,0.4795080763945313,0.0077810062007733815,0.5190916711959817
rate_successful_sliding_tackles,0.38425649209327795,0.008649321929050177,0.6157582376273791
per90_fouls,0.8210638027349648,0.010843990675549206,0.17986035331435324
per90_fouls_suffered,0.8544330171613478,0.0049343521664359374,0.14445786545267214
per90_yellow_cards,0.6304754092959859,0.018987163573699613,0.37760502021562503
