component,observed_variable,mean,median,sd,q5,q95,rhat,ess_bulk,ess_tail
player,per90_goals,0.607273088335,0.60596801,0.02690038173098622,0.564544713,0.6538533304999999,1.005033291576977,812.0985455146244,1425.0516571309267
player,per90_assists,0.384658921015,0.383837175,0.02200430743867551,0.34961606349999996,0.4213015055,1.000698645717223,1679.7301388771104,2714.8124039282393
player,per90_xg_shot,0.768674597205,0.7679609999999999,0.03053570784292534,0.7203485955000001,0.8208664744999999,1.0032304832309995,709.4874731448506,1552.6088576567408
player,per90_xg_assist,0.6327473639675,0.6329955300000001,0.02730472410841261,0.5872113995,0.677422271,1.0014418980479525,1206.6194302626477,1717.7611083694276
player,per90_shots,0.837228376465,0.83591092,0.03084214000642653,0.7884242665,0.8897387250000001,1.00744252640242,798.3389348039358,1185.7965389680437
player,per90_head_shots,0.7677846543325,0.7671714949999999,0.03140832842739768,0.7179536625,0.8198328915,1.00492552976794,1205.5510243135527,2109.88531159537
player,rate_shots_on_target,0.168127394015,0.167971345,0.01846776870729989,0.1388872925,0.199877171,1.002183737248634,1203.7111892484415,2238.121084615294
player,rate_goal_conversion,0.18063246389,0.179984105,0.01852106551425941,0.1511669925,0.2122023295,1.0017783101371482,1409.0390305062826,2729.5760132701703
player,per90_received_pass,0.719986597835,0.719165685,0.02826837433534307,0.6752207335,0.7680411635,1.0022046693733888,700.701037958495,1568.189265379717
player,per90_passes,0.7779078482725,0.7770249250000001,0.02913036665613669,0.7299496045,0.8271898125,1.0053258935994822,620.2064503823615,1064.2403960564652
player,per90_forward_passes,0.8270614634675,0.82649437,0.03231125361719493,0.7761674070000001,0.8824615975,1.034561050881976,159.49641716910315,289.89841736074914
player,per90_back_passes,0.806733737315,0.806287925,0.03116457249631853,0.7565717869999999,0.8593453239999999,1.0072050020376329,678.3890768545506,1395.0305820372223
player,per90_lateral_passes,0.7330565181325,0.7320403600000001,0.02851257258940041,0.6873178014999999,0.780712796,1.0061678964474527,831.248899115537,1626.1625258586616
player,per90_long_passes,0.86262489377,0.862551545,0.03342703313723798,0.8083895465000001,0.9181659405,1.0038353969938834,522.7909092511873,1057.230250381263
player,per90_smart_passes,0.491935455025,0.49155502,0.02061090886414846,0.4589627055,0.526651924,1.0019190304543466,1045.098524767957,2061.221433811414
player,per90_progressive_passes,0.7519002072025,0.751713575,0.02946979635964156,0.7039677965,0.8004047675000001,1.0152815098591312,509.16663766086214,1745.572485122425
player,per90_passes_to_final_third,0.7198898835625,0.71985588,0.02876493961444774,0.6729012665,0.7683704275000001,1.0031581479554537,796.2612407886862,1308.754689997015
player,per90_key_passes,0.61672934755,0.6160145850000001,0.026371118459314,0.5744212095,0.6617932075,1.0053294872308818,1097.4830339116045,1742.9588219969387
player,per90_through_passes,0.55435061559,0.553980045,0.02412807028485624,0.516558761,0.59432618,1.0035992968779648,1110.5256618557466,1866.4985851951203
player,per90_crosses,0.8338117878,0.8334655200000001,0.03186961365756038,0.7823698375,0.8870542220000001,1.00262070502094,615.5228061792595,1505.380299489479
player,per90_shot_assists,0.7298576772675,0.729808545,0.02952692339861668,0.6821810580000001,0.7800922994999999,1.0031460783924535,948.8522112822224,1827.102100565441
player,rate_successful_passes,0.7913178928675,0.79047869,0.03195773186842594,0.7407431345000001,0.8449665839999999,1.0001569233016854,886.567968235913,1473.0168688353722
player,rate_successful_progressive_passes,0.5242373859475,0.52436969,0.02816587939321117,0.478460225,0.5705302784999999,1.000633027495867,1017.9205942210056,2008.372816883453
player,rate_successful_crosses,0.02234036658288775,0.021990783,0.01327482660149201,0.00113511869,0.04533574534999998,1.0124608784791942,196.5763018739402,176.58406013440427
player,per90_dribbles,0.92902730449,0.92898963,0.03552408348138603,0.8702671545,0.9879661399999998,1.003693115652201,546.7072907676398,548.7150648751935
