parameter,observed_variable,factor_index,mean,median,sd,q5,q95,truth_value,error,rhat,ess_bulk,ess_tail
Lambda_a,per90_goals,1,0.23722873307265008,0.221937408,0.22108719034150415,0.0129339729,0.475704069,0.4503652548417449,-0.2131365217690948,1.7325289990351027,6.1271896151562775,129.44195052776442
Lambda_a,per90_assists,1,0,0,0,0,0,0,0,NA,NA,NA
Lambda_a,per90_xg_shot,1,3.3885855999995346e-4,-0.001935985,0.1920318444772695,-0.2052838465,0.2064780925,-0.1885995145099325,0.18893837306993247,1.735294300535815,6.139399502825483,142.4186185829149
Lambda_a,per90_xg_assist,1,-0.00136024475524998,0.005635669,0.06658996104105261,-0.0807347945,0.0775359169,0.0597415837086219,-0.061101828463871875,1.736689908056673,6.130225090599664,142.67051353059333
Lambda_a,per90_shots,1,7.078695699999449e-4,-0.00127369,0.21631253824385832,-0.2330529225,0.23387813249999995,-0.21635068416902836,0.2170585537390283,1.7351144513579668,6.120374314186349,137.42401694709616
Lambda_a,per90_head_shots,1,-7.803503349998589e-4,-5.901900000000043e-4,0.24749312100278528,-0.265354178,0.26180024649999994,0.24175376130414708,-0.24253411163914693,1.7331126487585338,6.13408975476018,166.2300964649569
Lambda_a,rate_shots_on_target,1,-8.910334575000542e-4,5.288749999999981e-4,0.1446185664367132,-0.160323659,0.15837866899999997,0.12404492300225925,-0.1249359564597593,1.7336194491647328,6.12640013521284,129.6872025586219
Lambda_a,rate_goal_conversion,1,0.00115987607786751,6.44073705e-4,0.02601543768870459,-0.0353984947,0.03888674174999999,-0.023915158203365858,0.025075034281233366,1.7318479523656105,6.124814828658971,120.67249797551894
Lambda_a,per90_received_pass,1,9.620322575000092e-4,-0.003524395,0.14017092643842455,-0.1529560955,0.15563574099999997,-0.14412199202589301,0.14508402428339304,1.736364376486603,6.125501334908395,110.30357607208263
Lambda_a,per90_passes,1,-5.45457436429469e-5,1.74723005e-4,0.01378617755216071,-0.0223654063,0.02216739405,0.019218149065768343,-0.019272694809411288,1.39209943490321,8.536052517868109,149.4322273397967
Lambda_a,per90_forward_passes,1,3.535844622500108e-4,-4.655285000000004e-4,0.04421239839311784,-0.05420509365,0.05518815339999999,0.03536217917840397,-0.03500859471615396,1.73391747867408,6.101701784706014,135.44275025706634
Lambda_a,per90_back_passes,1,6.836245750001833e-5,-6.527500000000352e-5,0.1897217058072243,-0.20303213499999995,0.2030827685,-0.18740709743841452,0.18747545989591455,1.7338464667406317,6.121877026277149,136.5642346638418
Lambda_a,per90_lateral_passes,1,4.0809951500004265e-4,0.00101882,0.23322156687377507,-0.2486260935,0.249336081,-0.22744730611278194,0.22785540562778198,1.7343366885477938,6.1111909847066785,121.01001264900158
Lambda_a,per90_long_passes,1,0.00235029775750011,0.00204424499999998,0.2844812958787494,-0.29882880650000004,0.30395022199999994,-0.28875556124629037,0.2911058590037905,1.7350122697630213,6.130186416330896,122.31396907481536
Lambda_a,per90_smart_passes,1,-3.889569217501089e-4,0.002843912,0.09408709647107238,-0.10892728,0.10741309,0.08299087838390354,-0.08337983530565364,1.732454271103766,6.137822091637085,128.89518145986258
Lambda_a,per90_progressive_passes,1,-0.00115887907999998,6.14774999999998e-4,0.15070374036015935,-0.167527705,0.1634195905,0.15369075936779036,-0.15484963844779034,1.7357659664630936,6.116277380824093,154.21310170303056
Lambda_a,per90_passes_to_final_third,1,-8.020149375001503e-4,-0.00216490499999999,0.17504981570068975,-0.1868660925,0.18643063049999997,0.1605876383340325,-0.16138965327153265,1.734654881613156,6.107239172693298,141.4622799121379
Lambda_a,per90_key_passes,1,0.0021135948925,7.437500000000014e-4,0.18521395166199328,-0.1984681035,0.202967296,-0.17991176561871028,0.18202536051121027,1.732299204656018,6.134511917372072,165.7677556321353
Lambda_a,per90_through_passes,1,9.54516727500021e-4,-1.0280499999999748e-4,0.16501526640990138,-0.17718001899999997,0.17900667399999998,-0.1541373341249503,0.1550918508524503,1.7355569389594665,6.138661393331889,147.2957620936321
Lambda_a,per90_crosses,1,2.3506664000002309e-4,0.00187245999999999,0.13712428033704638,-0.149154044,0.149801915,-0.14804828888687302,0.14828335552687305,1.7334740539412812,6.114185048384022,140.1510558615481
Lambda_a,per90_shot_assists,1,-0.0025300185524998,0.00442250500000002,0.4821101549125162,-0.504708758,0.5006574859999999,0.4914635872389417,-0.49399360579144147,1.735764410440575,6.1242364068271655,137.4072016370062
Lambda_a,rate_successful_passes,1,2.0218371500004025e-4,0.00159899,0.20005769311507057,-0.2167165225,0.21690618699999997,0.21730687639972307,-0.21710469268472302,1.734190892850615,6.139399308511172,137.20031350967895
Lambda_a,rate_successful_progressive_passes,1,-4.5505531724991953e-4,-0.00380127249999999,0.0995162656397006,-0.113912117,0.1131152975,0.08405041829044982,-0.08450547360769974,1.737854579502132,6.112484178701344,157.32921931572972
Lambda_a,rate_successful_crosses,1,-0.00143816786899997,-0.00184799399999999,0.12233342458427718,-0.139122458,0.136118336,0.12202131522504933,-0.1234594830940493,1.7369888176241306,6.1136913058305185,132.38431754746324
Lambda_a,per90_dribbles,1,-3.548432425000647e-4,0.00142335999999999,0.21002581340752405,-0.224151489,0.22423042449999997,0.1977242764062147,-0.19807911964871477,1.7380841661351212,6.144287185714967,106.72673407929769
Lambda_a,per90_progressive_run,1,-0.00141803649825002,-0.0036494135,0.12313846080650968,-0.141314949,0.13760709599999998,0.11649605411748554,-0.11791409061573556,1.737184834725905,6.116045300667618,114.45488781950974
Lambda_a,per90_accelerations,1,-0.00132830312975003,-7.930239999999998e-4,0.0947948987056987,-0.1104001075,0.10778031149999998,-0.09904212268677938,0.09771381955702935,1.7352048859459528,6.12315792876304,143.3420347228419
Lambda_a,rate_successful_dribbles,1,-9.387135509999144e-5,0.0029761513,0.04907147709832957,-0.0614193931,0.0612175906,0.05012963425105296,-0.050223505606152956,1.7343242651341837,6.156516388615593,202.27879384633368
Lambda_a,per90_touch_in_box,1,-0.00176970765849999,-0.0016761275,0.06574162954282221,-0.0815849212,0.07754914545,-0.062035942864539256,0.06026623520603926,1.733575159016574,6.169196734330125,277.8949298254239
Lambda_a,per90_losses,1,0.00188849826450008,0.0059684505,0.13100358438301998,-0.14317213950000002,0.1466819875,-0.11581603100237228,0.11770452926687236,1.7358177117778175,6.14762570439007,132.59435577086953
Lambda_a,per90_own_half_losses,1,7.076987613999673e-5,-3.1831903500000004e-4,0.02857692569581247,-0.04259903815,0.04314529779999999,0.036123637724169155,-0.036052867848029156,1.7016977609100117,6.2360846846154026,148.4650516228354
Lambda_a,per90_dangerous_own_half_losses,1,-0.00116350910249998,-0.006220465,0.03960041084831637,-0.0530271216,0.05111887014999999,-0.026640576617340303,0.025477067514840322,1.7353388339144564,6.121279021758966,118.31544286959124
Lambda_a,per90_recoveries,1,-1.140543692501215e-4,-0.002843701,0.09408227005730072,-0.105771008,0.105881177,-0.07832388465824114,0.07820983028899102,1.732440270133938,6.126013976680295,124.13742691339938
Lambda_a,per90_opponent_half_recoveries,1,0.0023154107724998,0.00381357000000001,0.3445524138704526,-0.358287604,0.363714239,-0.3346435414727879,0.3369589522452877,1.7341861835485792,6.143761856567488,131.04268969927216
Lambda_a,per90_dangerous_opponent_half_recoveries,1,0.00164131385499991,-0.00233927999999999,0.25283128106565783,-0.2675108605,0.27131120799999997,-0.26338851621625975,0.2650298300712597,1.7359389272915955,6.154703813054456,127.54420626911885
Lambda_a,per90_interceptions,1,8.99132254750027e-4,0.00199681449999999,0.13657217558642692,-0.14768321650000002,0.14894417799999998,-0.13375829953606852,0.13465743179081854,1.7342090348367891,6.118531481619989,112.28182106602574
Lambda_a,per90_clearances,1,-4.2343814250012297e-4,-0.00209468499999999,0.17851705506066434,-0.193152185,0.1928649805,-0.15271958251452464,0.15229614437202452,1.734416357486947,6.098681227224155,130.2463458489637
Lambda_a,per90_shots_blocked,1,-0.00119301285249965,0.002870745,0.33835844163654516,-0.3595519565,0.35586338449999994,0.34048229639991434,-0.341675309252414,1.7346435278645138,6.135905965843425,128.51581215448115
Lambda_a,per90_defensive_duels,1,0.00117182431582499,-0.0011882015,0.04828039805991234,-0.06090446755,0.0654191589,-0.05768118699848235,0.05885301131430734,1.7367388008820823,6.128991404562496,126.23429828987818
Lambda_a,per90_offensive_duels,1,-0.00174970557500012,0.00117778999999999,0.2681942371569208,-0.284440396,0.2808023865,0.2699409712110187,-0.27169067678601877,1.7346428125724016,6.129529769929878,121.31663950150492
Lambda_a,per90_aerial_duels,1,-7.551208698687548e-4,-0.00184340025,0.02614682457933494,-0.0385803399,0.0376766773,-0.02098823155535046,0.020233110685481705,1.726725632642755,6.186384714706235,150.3241944313098
Lambda_a,per90_pressing_duels,1,5.67803807499941e-4,0.00144882499999998,0.26804913858457563,-0.282864013,0.28494755800000005,-0.2786100803006821,0.279177884108182,1.733631742096252,6.124710616293837,125.0946291808495
Lambda_a,per90_loose_ball_duels,1,-2.4191675275001744e-4,-0.00298876649999999,0.11137891246198128,-0.1276926605,0.1275280055,-0.09264791349879666,0.09240599674604663,1.7381124242638557,6.151387248044794,133.3250771526037
Lambda_a,per90_sliding_tackles,1,0.00109315012250013,0.00277759499999998,0.283602492923973,-0.2957065535,0.297834871,-0.27180992075320887,0.272903070875709,1.7328474109232537,6.1183339664033065,116.71379117810702
Lambda_a,per90_dribbles_against,1,4.029652044635034e-4,-3.652228e-4,0.02032886114566267,-0.03049234415,0.03223007774999999,-0.025049182029973596,0.0254521472344371,1.6643123056011029,6.385449384588334,126.66294448869311
Lambda_a,rate_defensive_duels_won,1,1.433189282057518e-4,4.20849775e-4,0.01228846531052681,-0.02020871085,0.02008126759999999,-0.002145836516653703,0.0022891554448594546,1.33082251786845,9.592216102201355,180.8472086071394
Lambda_a,rate_offensive_duels_won,1,-7.379948500005854e-5,-8.06925e-4,0.2508714608673836,-0.2654441745,0.2648666895,-0.25017037323832264,0.25009657375332256,1.7329498369881668,6.163895924335587,153.03213323157672
Lambda_a,rate_aerial_duels_won,1,-3.291611685000066e-4,-0.0024657475,0.05758222897601278,-0.07107653605,0.06996961155,0.043588242313020796,-0.0439174034815208,1.7335481451479022,6.128727311664306,128.19998493852407
