observed_index,observed_variable,true_var_a,true_var_b,true_var_e,true_psi_a,true_psi_b,true_sigma_epsilon
1,per90_goals,0.2785747881351361,0.15109754641851642,0.15227906402685396,0.07574592536646628,0.027565670775924648,0.39022950173821297
2,per90_assists,0.7207426461779534,0.0610303939044852,0.285041821851246,0.09321382438822948,0.04265149613340934,0.533893080917187
3,per90_xg_shot,0.16908153466284168,0.10349509257574266,0.16449060466360288,0.050243249074803605,0.050640617326896356,0.40557441322598603
4,per90_xg_assist,0.2721289830458493,0.043621372176870864,0.16185855338772712,0.023063356692781558,0.041548507154073336,0.40231648411136117
5,per90_shots,0.2366957708593324,0.014604068897355183,0.37050952452791563,0.07625161051755684,0.014356700206357001,0.6086949355201796
6,per90_head_shots,0.14856056309448956,0.011602227074588089,0.3752169583563225,0.0632480077703239,0.008777967410074848,0.6125495558371767
7,rate_shots_on_target,0.09916312383397889,0.018907664740671265,0.24313612508728097,0.08269847736764048,0.012218315927543487,0.4930883542401716
8,rate_goal_conversion,0.12587885283289052,0.05282419605843215,0.25746705907536943,0.03400406051578491,0.049929842969654255,0.5074121195590123
9,per90_received_pass,0.12465804298096808,0.03210866145282696,0.16259713205365478,0.09990449995742029,0.032035546184014156,0.403233346901834
10,per90_passes,0.0572478965559363,0.08744114951511521,0.28256710227986004,0.02524127373697208,0.03447665075471842,0.5315704114036635
11,per90_forward_passes,0.029689489127732067,0.05051696619780613,0.21140556834295995,0.025879107300932826,0.046744966495077284,0.4597886126721278
12,per90_back_passes,0.10403013130667903,0.049866675667812756,0.19964079047269753,0.04319414606344428,0.04879020666861819,0.44681180655024944
13,per90_lateral_passes,0.11834279499255815,0.013814502710443982,0.34940498642488466,0.05030019973174312,0.010035002100616721,0.591104886145331
14,per90_long_passes,0.22594555936003646,0.06490464588670647,0.27963581823173383,0.08810207505378985,0.030453056190491743,0.5288060308201239
15,per90_smart_passes,0.2186021163023788,0.01626201759682175,0.14093770231489985,0.10143605072850802,0.014549721343930264,0.3754167048959061
16,per90_progressive_passes,0.09691694922739097,0.05896120276363315,0.26900783840589093,0.05680166839957704,0.03435504487348301,0.5186596556566656
17,per90_passes_to_final_third,0.053504512803372754,0.06920907201867105,0.20134760316265177,0.027505336985599926,0.0611780292085917,0.44871773216873406
18,per90_key_passes,0.11110421231588055,0.0798015323873955,0.32172706842152715,0.0787163200947818,0.06029884422655147,0.5672098980285227
19,per90_through_passes,0.16470913231403572,0.0842019678936953,0.146917150772518,0.06010043923022625,0.04979864889074446,0.3832977312384173
20,per90_crosses,0.08209951268062102,0.04530650895369735,0.20030506644627297,0.04678316011324959,0.018591124671227147,0.44755454019177704
21,per90_shot_assists,0.35897663077535014,0.06811031586182703,0.36394699720497686,0.11230553892431516,0.060123036793912836,0.6032801979221404
22,rate_successful_passes,0.166841463400424,0.022317261814313153,0.28203755269183467,0.11575413677635041,0.020908023471556274,0.5310720786219463
23,rate_successful_progressive_passes,0.18269931420146146,0.03679640428091831,0.1389593606506451,0.09912283706227111,0.036724051576113664,0.3727725320495665
24,rate_successful_crosses,0.13903001045715074,0.03458767459231826,0.35590860239020355,0.051630839746878154,0.034477616677781736,0.5965807593194768
