parameter,observed_variable,mean,median,sd,q5,q95,truth_value,error,rhat,ess_bulk,ess_tail
psi_a_sd,per90_goals,0.4176972985875,0.415078395,0.12726872498307462,0.2779182435,0.560885098,0.27521977648139,0.14247752210610998,1.7368778437251031,6.175816325824983,151.85732732645053
psi_a_sd,per90_assists,0.27872280251,0.27895344499999997,0.01436461923555636,0.255529344,0.30218472999999996,0.30530939125455914,-0.02658658874455916,1.0051805958944005,986.594065272941,2065.56626095549
psi_a_sd,per90_xg_shot,0.2352051831,0.235198665,0.00952818750688853,0.2196058725,0.2513041215,0.2241500592790544,0.01105512382094559,1.0064590138227725,1194.6591997679884,2249.698983013977
psi_a_sd,per90_xg_assist,0.13635730457375,0.136830815,0.01204226375812426,0.116104088,0.15565151500000002,0.15186624606139956,-0.015508941487649558,1.0065427518991923,819.63576915963,1166.029761826321
psi_a_sd,per90_shots,0.273114586655,0.27328046500000003,0.01455525950264608,0.2483351045,0.296155155,0.27613694160245356,-0.003022354947453565,1.0053210511668371,1242.028786079698,2477.737990749981
psi_a_sd,per90_head_shots,0.2425716145025,0.24260471,0.01426510974771673,0.2189497845,0.266150572,0.25149156600236894,-0.008919951499868933,1.0037035919210295,1163.3135909745092,2144.969654637692
psi_a_sd,rate_shots_on_target,0.2954934664225,0.295213455,0.01123654424804175,0.277107851,0.3143050725,0.2875734295230359,0.007920036899464133,1.000540106991504,1650.6241134565803,1968.848535003319
psi_a_sd,rate_goal_conversion,0.167541591115,0.16786077,0.01239067148191049,0.146707375,0.1873080705,0.18440189943648874,-0.016860308321488743,1.0013396771126728,1210.6322276674653,1891.9770558384944
psi_a_sd,per90_received_pass,0.3037553723625,0.303456975,0.00961614426136234,0.28857546549999996,0.319779124,0.31607673112303014,-0.012321358760530143,1.00191905703427,1509.5437392677093,2369.616895366899
psi_a_sd,per90_passes,0.15935359842,0.15939551000000002,0.01371794382404123,0.136890364,0.1824400715,0.1588750255294144,4.7857289058558794e-4,1.0018989625697523,1257.0930207037009,2110.0534738654897
psi_a_sd,per90_forward_passes,0.16325488626,0.16315954,0.01114235024189532,0.1447044635,0.181487811,0.16086984584107994,0.0023850404189200702,1.001478460479293,1407.6415642908107,2001.6016415369145
psi_a_sd,per90_back_passes,0.2189677091375,0.218874635,0.01037821945367717,0.2023011565,0.235958394,0.20783201404847204,0.011135695089027953,1.001474946571984,1460.7404020136123,2358.644790427384
psi_a_sd,per90_lateral_passes,0.2230936971725,0.22318508,0.01405204055623884,0.1999351365,0.2461511635,0.22427706019952892,-0.0011833630270289275,1.00487346813641,1193.3777738902056,1692.3157193162333
psi_a_sd,per90_long_passes,0.284032834085,0.283924415,0.01277295984725547,0.2631572485,0.30514297449999994,0.2968199370894581,-0.012787103004458067,1.0014262355521255,1542.0915331171082,2527.754812776073
psi_a_sd,per90_smart_passes,0.306703674425,0.306717665,0.00957830869448334,0.29077029299999996,0.3225926325,0.3184902678709477,-0.01178659344594768,1.0013417089060497,1373.5997528119372,2205.094100071294
psi_a_sd,per90_progressive_passes,0.252901007725,0.25269941500000004,0.01233221088242318,0.2327099475,0.27330315450000003,0.23833100595511494,0.014570001769885071,1.0010903980789685,1445.6562431855052,2338.3249050666686
psi_a_sd,per90_passes_to_final_third,0.16146001432,0.161547625,0.01113093514123357,0.1427876875,0.1792633515,0.1658473303541541,-0.0043873160341540984,1.0061409033942896,877.527407907392,1906.9260660022985
psi_a_sd,per90_key_passes,0.2824669286125,0.28240585500000004,0.01232978880944463,0.26239977600000003,0.30276085050000007,0.28056428870186206,0.0019026399106379377,1.000676680461284,1297.7206649582372,2220.241530273345
psi_a_sd,per90_through_passes,0.2392565265,0.239107365,0.00899652386132364,0.224703575,0.254157357,0.2451539092697203,-0.005897382769720294,1.0021581443334369,1395.4618009725352,2519.370623189111
psi_a_sd,per90_crosses,0.2049000213,0.20499217,0.01060009332068866,0.1876162085,0.2221166465,0.2162941518239677,-0.011394130523967677,1.0048627168929452,1229.9455921092313,1980.1592346023465
psi_a_sd,per90_shot_assists,0.33537177961,0.335135705,0.01477808052709397,0.3117737125,0.3600850155,0.33512018579058345,2.5159381941652903e-4,1.0011978437183089,1599.024184367146,2748.3071242398446
psi_a_sd,rate_successful_passes,0.3518552451575,0.35168284000000005,0.01212493184444487,0.3326646725,0.372368175,0.3402265962213278,0.011628648936172215,1.0082750957827404,1294.3544391226856,2454.861101646026
psi_a_sd,rate_successful_progressive_passes,0.325194849295,0.3250693,0.00958112691588428,0.309757369,0.3413554315,0.3148377948440611,0.010357054450938874,1.0039825745090534,1449.6051535740355,2288.545795559968
psi_a_sd,rate_successful_crosses,0.2221251870275,0.22255539,0.01404206909823148,0.19866675699999997,0.2450083115,0.22722420589998363,-0.005099018872483624,1.001849308049117,1385.6930105264382,2640.293103608179
psi_a_sd,per90_dribbles,0.3308679926975,0.33071254,0.00939085662985746,0.3157347375,0.34659185400000003,0.3377472493331879,-0.0068792566356878915,1.0019784092047597,1414.5538711036088,2490.721371422705
psi_a_sd,per90_progressive_run,0.2224562647975,0.22306726,0.01435400268372299,0.1982738955,0.245746924,0.2096157462336123,0.01284051856388771,1.0034845514604744,1240.9575262519936,2179.8913498616143
psi_a_sd,per90_accelerations,0.26840265697,0.26840709500000004,0.00953084019263452,0.25271580450000003,0.28388741500000003,0.2483562816865742,0.020046375283425788,1.0010222988890698,1598.9771588680794,2556.4872386211455
psi_a_sd,rate_successful_dribbles,0.292374061415,0.292243605,0.00884307847795623,0.27795493899999996,0.307319274,0.27716456074267626,0.01520950067232374,1.0028631499689284,1456.7344004922995,1826.797441853474
psi_a_sd,per90_touch_in_box,0.30382593239,0.30363811500000004,0.00977811012744151,0.287756956,0.3201384465,0.3050874386914074,-0.0012615063014074224,1.0030905129072216,1578.561831469393,2675.652363099913
psi_a_sd,per90_losses,0.2752515248925,0.274962685,0.01071224593260293,0.2579016055,0.2927450655,0.2852929872926324,-0.010041462400132428,1.001785410220529,1338.063007474455,2627.0659986748906
psi_a_sd,per90_own_half_losses,0.2968576323075,0.29649369999999997,0.01506233841401653,0.27280086000000003,0.321906288,0.30889765019528564,-0.012040017887785637,1.0024655925903665,1432.5494656059216,2366.842329964631
psi_a_sd,per90_dangerous_own_half_losses,0.17557735134,0.17565354,0.01230034974556676,0.15493939250000002,0.195516823,0.1925560346804559,-0.016978683340455908,1.0005694887005063,1433.3924892622192,2164.371352413319
psi_a_sd,per90_recoveries,0.1614367830525,0.161425135,0.0121834954374806,0.141509281,0.1816283985,0.15168263474479318,0.009754148307706823,1.0010882110722128,1156.5868058655765,1940.3186058862716
psi_a_sd,per90_opponent_half_recoveries,0.2585366706425,0.25869884,0.01268561790957173,0.2376026295,0.279386808,0.2703916404861957,-0.011854969843695662,1.0010837071879513,1450.425878514954,2420.5633461762764
psi_a_sd,per90_dangerous_opponent_half_recoveries,0.3271887958725,0.32690697,0.01043222729060022,0.3101119255,0.3449292595,0.3276641982141882,-4.754023416881914e-4,1.0024716039154544,1206.785737831306,2063.4549262414616
psi_a_sd,per90_interceptions,0.17932649738,0.1794751,0.0106214623717601,0.1614165885,0.196450246,0.1735204355791211,0.005806061800878892,1.0006992204071825,1293.7784222848882,1825.2820163262231
psi_a_sd,per90_clearances,0.1722200954075,0.17267355,0.01377738534060311,0.14954512050000002,0.1943907265,0.16218081125989556,0.010039284147604438,1.005100179446386,1462.2823254059138,2152.2054962019847
psi_a_sd,per90_shots_blocked,0.3395963433275,0.339645835,0.01362005934192234,0.3170196175,0.3618424405,0.33360645100474356,0.005989892322756429,1.0011899532751516,1518.465927733837,2184.5872487020893
psi_a_sd,per90_defensive_duels,0.3440129372725,0.34403286499999997,0.0116933090874996,0.32502588299999996,0.3634763935,0.34561137580312784,-0.0015984385306278548,1.003006037075017,1502.986251978282,2564.5453662890072
psi_a_sd,per90_offensive_duels,0.31101571864,0.310778055,0.00960429434890911,0.29531944649999997,0.326869561,0.31601514089852567,-0.0049994222585256765,1.0009240414931757,1427.238241632837,2553.665360209094
psi_a_sd,per90_aerial_duels,0.2904620560675,0.290366515,0.01001175169532221,0.2736733105,0.30716510750000003,0.294991264026612,-0.004529207959112047,1.001083103673392,1636.577537162315,2519.082720550158
psi_a_sd,per90_pressing_duels,0.1992117736825,0.199721645,0.01641271942923259,0.171927589,0.225453207,0.18245926578529179,0.016752507897208224,1.0050386924981158,1065.3576709993454,1801.2342464791816
psi_a_sd,per90_loose_ball_duels,0.3469848238075,0.34690603,0.01017620387717235,0.330423394,0.363329382,0.3459886292926967,9.961945148033169e-4,1.004070332008827,1376.2725833794498,2749.121991260113
psi_a_sd,per90_sliding_tackles,0.1693321228375,0.16925901999999998,0.0123037193568095,0.1492286445,0.1896060075,0.16084582176990805,0.008486301067591934,1.0014522778425845,1083.7401066843788,1714.1012757062906
psi_a_sd,per90_dribbles_against,0.2177347219125,0.21750294,0.01286924630895479,0.1962604585,0.2387493955,0.20239035012200474,0.015344371790495276,1.001125289744187,1452.0983020046076,2338.2133469212104
psi_a_sd,rate_defensive_duels_won,0.13361058507675,0.133734775,0.01282238268969368,0.112510754,0.1547550585,0.150444862479344,-0.016834277402593995,1.0015485477203447,1077.710171026061,2092.0775578813527
psi_a_sd,rate_offensive_duels_won,0.280586072805,0.28049034500000003,0.01027073052800296,0.26383857199999994,0.297896903,0.2863584810867905,-0.005772408281790542,1.0081360852414762,1354.4585196398732,2453.9457838061203
psi_a_sd,rate_aerial_duels_won,0.3083906716325,0.308188605,0.0101393737107588,0.2917888315,0.3254054975,0.30952936164103445,-0.0011386900085344487,1.001558842137805,1292.1343606589633,2455.578137114279
psi_a_sd,rate_dribbles_against_won,0.195020342725,0.195051085,0.01429505850425022,0.1714374835,0.218863554,0.20808764174580574,-0.01306729902080575,1.004300017652216,1394.0250693113262,2538.5423166390256
psi_a_sd,rate_successful_sliding_tackles,0.2359683856275,0.235750435,0.00999057041393702,0.219946809,0.2522510535,0.23318910477682947,0.002779280850670529,1.0012710536241092,1339.446266763132,2364.087129777179
psi_a_sd,per90_fouls,0.30816896352,0.308203425,0.01409344366232143,0.2849927125,0.331627898,0.3054640626534819,0.0027049008665180896,1.0034746976013589,1203.7964859794492,2267.491387618395
psi_a_sd,per90_fouls_suffered,0.2445759002025,0.244663645,0.00936632267519524,0.2292213995,0.2600535345,0.24240775192156433,0.0021681482809356722,1.0006624720991777,1573.1739176334468,2494.9140571273406
psi_a_sd,per90_yellow_cards,0.305696404875,0.3056608,0.00869335181622149,0.291638352,0.3204251035,0.31043640431016684,-0.004739999435166842,1.002154222162536,1327.6090806566428,2721.9654067329634
psi_b_sd,per90_goals,0.33188931880385497,0.33669019499999997,0.24644924637294616,0.03420558155,0.7014701559999998,0.16602912628790362,0.16586019251595135,1.7373467786949657,6.184986198515221,224.6401156076503
