variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,17404.6843115,17408.889499999997,309.0866220530685,315.1340430000004,16892.3233,17901.9446,1.0056851526464863,760.9275371582984,1523.9491289694672
mu[1],-0.2079892121925,-0.20784709499999998,0.006696820854110857,0.0067377127649999695,-0.21921934399999998,-0.1968437695,1.0025620671109736,3997.1119917576702,3241.770098997124
mu[2],-0.05848094597425,-0.058224952999999996,0.008682969512999562,0.00866824625519999,-0.0729700599,-0.044393290950000004,1.0011962650127,5509.623035485996,3161.4728313531905
mu[3],-0.07812010359225,-0.0781231005,0.006707592961138757,0.006639701785499997,-0.08911087605,-0.06711255030000002,1.0008727065066227,5709.821096328549,3351.3386900889263
mu[4],-0.203324276835,-0.20330531000000002,0.006254968756553938,0.006213902771999972,-0.213560455,-0.19303273799999998,0.9999609966352462,6477.893220385021,2969.5446421109223
mu[5],0.003991621758824525,0.004123826000000001,0.009983409733893136,0.00981102788589,-0.012976559499999998,0.019888785149999998,1.0023345046239545,6216.468071804574,2929.1461923923853
mu[6],5.52219056752475e-4,5.325821400000001e-4,0.00922709585684922,0.009625609096613998,-0.014747532649999999,0.015408821499999989,1.0006907738411404,6892.67659452794,3214.5044841945182
mu[7],0.0206427410124845,0.0205131065,0.008297592797458208,0.008176375913999999,0.00730068629,0.03420079135,1.0025405103460787,5570.720981999823,2597.4183283466045
mu[8],0.4368911115225,0.43688757,0.007802234816037694,0.007818832098000005,0.42440864899999997,0.4497715905,0.9998143542268131,6618.655056131775,3302.587822573864
mu[9],-0.13798786993,-0.13804076,0.006898017566728256,0.0070092880200000015,-0.14939793299999998,-0.126921639,1.0015725691088226,5192.012713831233,3505.710606027752
mu[10],0.19942609622,0.199370235,0.008062295870665983,0.00787706862600001,0.1860175325,0.21250020049999999,1.0010877777485758,5976.541837284329,2580.5637979339613
mu[11],0.04978951774,0.0496626005,0.0071744827451638155,0.007149968968799998,0.03794736120000001,0.061781831350000004,1.0000229650991093,6138.5106371428265,3408.1474419624365
