variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-314.5670824461875,-315.84162000000003,326.1552739113042,330.3424618788,-860.7239744999999,225.06874049999982,1.0023615818335787,745.5771518755867,1425.0550891560088
mu[1],-0.03625566793605,-0.0364467755,0.010205154032303859,0.0100945319181,-0.052898926400000004,-0.019248769000000013,1.016271519783976,281.5642545118478,2859.517172662339
mu[2],-0.05648205876865,-0.056613913,0.012560398714839735,0.013140284541299998,-0.076454071,-0.03562135025000001,1.0046398987857708,4435.477680008734,3183.043599444345
mu[3],-0.01619897582420825,-0.016088371499999997,0.007368216632618436,0.0073862842892999945,-0.0284350147,-0.0041707162850000154,1.0004602159251297,4832.438772127212,3313.9647190167366
mu[4],-0.06025934233275,-0.060175553500000006,0.009368160696430742,0.009344124306299993,-0.07536724770000001,-0.04528708065,1.0003810223028968,4286.728046547109,3456.8307313372457
mu[5],-0.017458552938118502,-0.0174191765,0.00632597730880984,0.006217772357999999,-0.028023580699999998,-0.007137868715000001,1.0004773412521046,3843.752616227883,3142.325229790297
mu[6],1.526491007974997e-4,3.27682255e-4,0.00917126522066532,0.00915668207937,-0.01473861005,0.015031404749999994,1.0006040330615558,4246.202127072927,3256.7624894568685
mu[7],0.001491937864389025,0.0011677035000000001,0.014303032990241625,0.0140201060832,-0.02250394025,0.0254204371,1.0019255514055136,4498.793730512908,3230.4134829381887
mu[8],-0.010836026524854,-0.01087428,0.014668466098690604,0.015015177706599,-0.034946932949999995,0.013226420249999982,0.9998075949668078,4088.3900145902467,2978.7500318707725
mu[9],-0.129903160345,-0.129763615,0.006797303177178168,0.006662181707999995,-0.14123228699999998,-0.11875695450000001,1.0007002510490437,4495.373001590654,3246.823486179567
mu[10],-0.1315940357225,-0.131459465,0.005679492829235904,0.005654050772999996,-0.141189901,-0.12231937000000001,1.0022083206072283,4705.878827456179,3303.313194634685
mu[11],-0.10202203851,-0.10201484,0.0062280143075068356,0.006216012511799994,-0.1121792235,-0.09208027025000001,1.0001622860279058,4200.050712739563,3322.938823514433
mu[12],-0.05787512294525,-0.057901601999999996,0.00707746086434567,0.007180113191999995,-0.06957328025000001,-0.04641951665000001,1.0000391783499176,4627.483608347531,3336.5580718270253
mu[13],-0.11751962073375,-0.11743089500000001,0.007035665352752788,0.007100734788000004,-0.1289695435,-0.10592003900000001,1.000435861163712,4734.476712685125,3645.1370096739806
mu[14],-0.068796858009,-0.0688452305,0.007104398947114714,0.007013770661099998,-0.08057361425,-0.057145037899999994,1.0014967185251873,3891.3023521328496,3353.9927493210753
mu[15],-0.051500655958,-0.051608413500000005,0.007891317794671166,0.007703084033400007,-0.0644627717,-0.0386017647,1.0010846614785003,4506.845896530902,3424.680997770638
mu[16],-0.11027034570275,-0.11035172,0.007372452559404154,0.0073866171329999945,-0.12237849099999999,-0.09818635855,1.0028240211738089,3850.520062805182,2937.3235475627052
mu[17],-0.1205966757685,-0.120681925,0.00741088868428374,0.007321901642999996,-0.132728625,-0.108316001,1.0003205818088665,4560.137744176087,3240.1481068427834
mu[18],-0.0579581896685,-0.0579177535,0.009605144631870278,0.0096581034039,-0.07358654275,-0.041901597250000006,1.00063691751154,4631.233183347458,3164.75004623309
mu[19],-0.08763497313025,-0.0874615265,0.00901469094046826,0.008914881954299991,-0.10224760699999999,-0.07298484990000001,1.000790349348733,4213.090052700751,3222.5868256914696
mu[20],-0.031410814522225,-0.0314358275,0.006808804158753191,0.006591325288799998,-0.042711818650000004,-0.020154043900000005,1.0021540390060215,4066.6517825685514,3162.702985255067
mu[21],-0.06312311195875,-0.06305825500000001,0.007879234371553554,0.007824372574200012,-0.07638428145,-0.050085985250000006,0.999930976318391,4223.935850639745,3672.4623471534996
mu[22],-0.0623522078275,-0.0623201975,0.008282264197335094,0.008568506564100001,-0.07587253379999999,-0.0487177272,1.0015643076542418,3927.768082723498,3136.8142884228496
mu[23],-0.10029834955975,-0.100329465,0.011768373708423025,0.011772724664400002,-0.1199013255,-0.08140476315000002,1.0025532375909187,4197.6524985771475,3217.987088843723
mu[24],-0.016529975607099248,-0.016448592499999998,0.014333100984088583,0.014556594752489998,-0.0404896065,0.00708321707,1.0010620493485836,3945.9392718876306,3080.7043121184856
