feature,factor,loading,q5,q95,group,sign,abs_loading,communality
per90_goals,Factor_1,0.53535532061,0.4773188925,0.590957918,Attacking output,+,0.53535532061,0.2866053193054359
per90_assists,Factor_1,0,0,0,Attacking output,+,0,0.08802909299043465
per90_xg_shot,Factor_1,0.6266550569825,0.5384473155,0.7120738055,Attacking output,+,0.6266550569825,0.42248955628229873
per90_xg_assist,Factor_1,0.3753836118515,0.1234447385,0.626793477,Attacking output,+,0.3753836118515,0.15900664014893082
per90_shots,Factor_1,0.6527889377449999,0.4925341595,0.810509581,Attacking output,+,0.6527889377449999,0.46205238152147954
per90_head_shots,Factor_1,0.332232475,0.2493873445,0.414734377,Attacking output,+,0.332232475,0.11641606185731238
rate_shots_on_target,Factor_1,0.203315680425,0.1692447385,0.2370932655,Shooting rates,+,0.203315680425,0.044422949263175054
rate_goal_conversion,Factor_1,0.14952629819425,0.1192450825,0.17862015,Shooting rates,+,0.14952629819425,0.023835779865379284
per90_received_pass,Factor_1,-0.5405618320950002,-0.8211341495000001,-0.2458434085,Passing volume,-,0.5405618320950002,0.3072706398132792
per90_passes,Factor_1,-0.62869241113,-0.897720016,-0.34527102700000006,Passing volume,-,0.62869241113,0.41718125660800487
per90_forward_passes,Factor_1,-0.81576418725,-0.9150225145,-0.7090634305,Passing volume,-,0.81576418725,0.711240906327323
per90_back_passes,Factor_1,0.15728969771525003,-0.166707875,0.485870864,Passing volume,+,0.15728969771525003,0.029954837352226517
per90_lateral_passes,Factor_1,-0.6576795966024999,-0.8578700065,-0.447533131,Passing volume,-,0.6576795966024999,0.45969653130385446
per90_long_passes,Factor_1,-0.6060013238475,-0.7333940284999999,-0.4748940315,Passing volume,-,0.6060013238475,0.3965838421192552
per90_smart_passes,Factor_1,0.17580131261682522,-0.0366364912,0.3898408635,Passing volume,+,0.17580131261682522,0.035666553416204436
per90_progressive_passes,Factor_1,-0.6938961405024999,-0.80540206,-0.576915109,Passing volume,-,0.6938961405024999,0.5123723566603998
per90_passes_to_final_third,Factor_1,-0.5985960619625001,-0.7962530325,-0.3908127775,Passing volume,-,0.5985960619625001,0.37981964287416853
per90_key_passes,Factor_1,0.378330926123,0.134633924,0.6230553050000001,Passing volume,+,0.378330926123,0.1610603989677462
per90_through_passes,Factor_1,0.03172056295400008,-0.20693893849999995,0.27307752949999997,Passing volume,+,0.03172056295400008,0.0021364998538760693
per90_crosses,Factor_1,0.27266094383874995,0.07817020025,0.465737853,Passing volume,+,0.27266094383874995,0.08410062884005787
per90_shot_assists,Factor_1,0.35360805882400004,0.075579915,0.6319886270000001,Passing volume,+,0.35360805882400004,0.14186951007643891
rate_successful_passes,Factor_1,-0.556682807585,-0.6416052045,-0.4691287625,Passing quality,-,0.556682807585,0.33263543238955634
rate_successful_progressive_passes,Factor_1,-0.11930722635242814,-0.283742505,0.04709338364999999,Passing quality,-,0.11930722635242814,0.014447259939794427
rate_successful_crosses,Factor_1,-0.1173433293885,-0.153100135,-0.08187910685000002,Passing quality,-,0.1173433293885,0.014578328917001416
per90_dribbles,Factor_1,0.5488259488,0.31889578399999996,0.774665077,Progressive actions,+,0.5488259488,0.33103710530583547
per90_progressive_run,Factor_1,0.31930602654575013,0.07798601834999999,0.5596169175000001,Progressive actions,+,0.31930602654575013,0.11449855380144561
per90_accelerations,Factor_1,0.34181445786549985,0.14257902199999997,0.5401964225,Progressive actions,+,0.34181445786549985,0.12984151220529772
rate_successful_dribbles,Factor_1,-0.2531474085575,-0.291810958,-0.2122967125,Progressive actions,-,0.2531474085575,0.06895127882972481
per90_touch_in_box,Factor_1,0.690856880225,0.5468987215,0.8296503114999999,Attacking output,+,0.690856880225,0.5168452400005986
per90_losses,Factor_1,0.43069797458249987,0.237335963,0.6224151524999999,Defending,+,0.43069797458249987,0.2034393235649853
per90_own_half_losses,Factor_1,-0.334856698305,-0.454448447,-0.2136423405,Defending,-,0.334856698305,0.11964661871572604
per90_dangerous_own_half_losses,Factor_1,-0.45014478497,-0.4849918955,-0.414774144,Defending,-,0.45014478497,0.21832128762867023
per90_recoveries,Factor_1,-0.736516015375,-0.7821439905,-0.6903025230000001,Defending,-,0.736516015375,0.5838904872428681
per90_opponent_half_recoveries,Factor_1,-0.13760158398945005,-0.3882798609999999,0.11908037799999996,Defending,-,0.13760158398945005,0.019287774230724922
per90_dangerous_opponent_half_recoveries,Factor_1,0.13504960892578502,-0.08976380315,0.362471608,Defending,+,0.13504960892578502,0.021429044926108646
per90_interceptions,Factor_1,-0.6145585316625,-0.6611099305,-0.5677023415,Defending,-,0.6145585316625,0.4057861867579229
per90_clearances,Factor_1,-0.5598240597449999,-0.6691018575000001,-0.4488207235,Defending,-,0.5598240597449999,0.3395146278947047
per90_shots_blocked,Factor_1,-0.512222131045,-0.574569487,-0.44870892050000005,Defending,-,0.512222131045,0.28421033149063163
per90_defensive_duels,Factor_1,-0.2439135280777499,-0.433610158,-0.04958541035000002,Dueling,-,0.2439135280777499,0.062490186124012165
per90_offensive_duels,Factor_1,0.6708922713075,0.4490605135,0.889839635,Dueling,+,0.6708922713075,0.49105599410727147
per90_aerial_duels,Factor_1,0.20231830050350005,0.11677255,0.28737362899999996,Dueling,+,0.20231830050350005,0.042579590833649386
per90_pressing_duels,Factor_1,0.472250607355,0.386967558,0.5554984454999999,Dueling,+,0.472250607355,0.24082422782266835
per90_loose_ball_duels,Factor_1,0.3717816051825,0.254209113,0.4856748705,Dueling,+,0.3717816051825,0.14862825833333812
per90_sliding_tackles,Factor_1,-0.22686324361400004,-0.314156352,-0.138385443,Defending,-,0.22686324361400004,0.054990691894589126
per90_dribbles_against,Factor_1,-0.348652156865,-0.502145547,-0.18968493100000003,Defending,-,0.348652156865,0.12845432848118862
rate_defensive_duels_won,Factor_1,-0.3246453204225,-0.35260300099999997,-0.297001681,Defending,-,0.3246453204225,0.11354213915563102
rate_offensive_duels_won,Factor_1,-0.298743781695,-0.371393361,-0.22471947200000003,Dueling,-,0.298743781695,0.09589715464842365
rate_aerial_duels_won,Factor_1,-0.4346971246425001,-0.6548749185,-0.21362439200000008,Dueling,-,0.4346971246425001,0.20755587560032507
rate_dribbles_against_won,Factor_1,-0.2756291087175,-0.338426733,-0.2112136005,Defending,-,0.2756291087175,0.0821268070287441
rate_successful_sliding_tackles,Factor_1,-0.119993922334,-0.1478770705,-0.092216429,Defending,-,0.119993922334,0.015475549624587966
per90_fouls,Factor_1,0.1727941682759,0.05434218594999999,0.28972239899999996,Discipline,+,0.1727941682759,0.03223972855708887
per90_fouls_suffered,Factor_1,0.4043023761975,0.1987916695,0.608300184,Discipline,+,0.4043023761975,0.17912655990452328
per90_yellow_cards,Factor_1,-0.106385284625775,-0.164159054,-0.04787590365000001,Discipline,-,0.106385284625775,0.012183481828386673
per90_goals,Factor_2,0,0,0,Attacking output,+,0,0.2866053193054359
per90_assists,Factor_2,0.296696971657,0.02377769835,0.5829631774999999,Attacking output,+,0.296696971657,0.08802909299043465
per90_xg_shot,Factor_2,0.17260647682099997,0.0377292481,0.30974935649999996,Attacking output,+,0.17260647682099997,0.42248955628229873
per90_xg_assist,Factor_2,0.13451313728499983,-0.4491287015,0.7130714185,Attacking output,+,0.13451313728499983,0.15900664014893082
per90_shots,Factor_2,0.18952304419049987,-0.1328028865,0.51125545,Attacking output,+,0.18952304419049987,0.46205238152147954
per90_head_shots,Factor_2,0.07770228061444996,-0.125273627,0.27906095399999997,Attacking output,+,0.07770228061444996,0.11641606185731238
rate_shots_on_target,Factor_2,0.05554892759085748,0.0194827375,0.092159431,Shooting rates,+,0.05554892759085748,0.044422949263175054
rate_goal_conversion,Factor_2,0.03844042161193749,0.00958601425,0.06728152374999999,Shooting rates,+,0.03844042161193749,0.023835779865379284
per90_received_pass,Factor_2,-0.12273363636499968,-0.8349886595,0.5992539215,Passing volume,-,0.12273363636499968,0.3072706398132792
per90_passes,Factor_2,-0.1480780496750008,-0.8394695245,0.5567869715,Passing volume,-,0.1480780496750008,0.41718125660800487
per90_forward_passes,Factor_2,-0.21393853586408856,-0.5014912465,0.0810826948,Passing volume,-,0.21393853586408856,0.711240906327323
per90_back_passes,Factor_2,0.07221349143250025,-0.6951688325,0.8357962745,Passing volume,+,0.07221349143250025,0.029954837352226517
per90_lateral_passes,Factor_2,-0.16478494930250004,-0.6860811059999999,0.3654945975,Passing volume,-,0.16478494930250004,0.45969653130385446
per90_long_passes,Factor_2,-0.17130743595749867,-0.41744319,0.07549406894999998,Passing volume,-,0.17130743595749867,0.3965838421192552
per90_smart_passes,Factor_2,0.06899602813500012,-0.4263964405,0.560899518,Passing volume,+,0.06899602813500012,0.035666553416204436
per90_progressive_passes,Factor_2,-0.17572849187349993,-0.48526219949999994,0.1389204935,Passing volume,-,0.17572849187349993,0.5123723566603998
per90_passes_to_final_third,Factor_2,-0.14663695808749988,-0.655770312,0.371134603,Passing volume,-,0.14663695808749988,0.37981964287416853
per90_key_passes,Factor_2,0.13388842110750016,-0.4306869955,0.694189632,Passing volume,+,0.13388842110750016,0.1610603989677462
per90_through_passes,Factor_2,0.03362001992499985,-0.5296126314999999,0.5980860359999999,Passing volume,+,0.03362001992499985,0.0021364998538760693
per90_crosses,Factor_2,0.09877569815000004,-0.3439371275,0.5371476479999999,Passing volume,+,0.09877569815000004,0.08410062884005787
per90_shot_assists,Factor_2,0.1297337689700004,-0.5164107065,0.7707842335,Passing volume,+,0.1297337689700004,0.14186951007643891
rate_successful_passes,Factor_2,-0.15079683063260377,-0.3672465625,0.0659315734,Passing quality,-,0.15079683063260377,0.33263543238955634
rate_successful_progressive_passes,Factor_2,-0.01459608440249995,-0.406375811,0.380001819,Passing quality,-,0.01459608440249995,0.014447259939794427
rate_successful_crosses,Factor_2,-0.02844067448256819,-0.1011608185,0.04466914209999997,Passing quality,-,0.02844067448256819,0.014578328917001416
per90_dribbles,Factor_2,0.1727054811799997,-0.3288904825,0.670253285,Progressive actions,+,0.1727054811799997,0.33103710530583547
per90_progressive_run,Factor_2,0.11199203191749992,-0.4387104035,0.6596097695,Progressive actions,+,0.11199203191749992,0.11449855380144561
per90_accelerations,Factor_2,0.1140367861675001,-0.3362158825,0.562001727,Progressive actions,+,0.1140367861675001,0.12984151220529772
