feature,sigma_a_diag_mean,var_b_mean,var_e_mean,prop_a_mean,prop_b_mean,prop_e_mean
per90_goals,0.6050072847975,0.005651805842435,0.32079733843,0.64933393634,0.00605142503328749,0.3446146385725
per90_assists,0.3772000971925,0.014635384245125,0.5962123637625,0.3816502063675,0.014722958842525,0.6036268348
per90_xg_shot,0.76294437051,0.00145277959613297,0.17808679384,0.8093402956975,0.00154038747260292,0.18911931691
per90_xg_assist,0.6330005141775,0.008241136337825,0.3191486443675,0.6589285731725,0.008554317806325,0.3325171089925
per90_shots,0.8283407094525,0.0097478682179,0.1283617510925,0.8570035421675,0.0100585951664,0.1329378626525
per90_head_shots,0.7684904397675,0.00124015155375749,0.2663861306425,0.74149544797,0.00119627582496393,0.257308276235
rate_shots_on_target,0.1619378085225,0.00209811966029118,0.84110503721,0.1610181042175,0.00208189564138492,0.8369000001725
rate_goal_conversion,0.17751646252,0.00297427496240201,0.8246180528025,0.176508680465,0.00294843948304499,0.820542880085
per90_received_pass,0.7581262765425,0.034279524591525,0.1730451403225,0.785387695715,0.03514498597065,0.1794673184
per90_passes,0.8192592627625,0.00919636641855,0.1305525075,0.854161799485,0.009567488789925,0.13627071173
per90_forward_passes,0.825613376945,0.004180184097185,0.14100355034,0.8503167652,0.004307332679915,0.145375902065
per90_back_passes,0.7960197375075,0.0075147641226,0.166577251175,0.8203870508125,0.00773331251575,0.1718796366225
per90_lateral_passes,0.75587498876,0.018410998729925,0.1787300628,0.7930684253225,0.019203019177075,0.1877285555675
per90_long_passes,0.84959707545,0.0044484545780525,0.1553315089075,0.84156844033,0.004405431260235,0.154026128425
per90_smart_passes,0.47709146512,0.423284992855,0.2071525631,0.44033595837,0.368352308885,0.19131173275075
per90_progressive_passes,0.75263991507,0.04811291272125,0.174750550575,0.7719214687175,0.04865863993599999,0.179419891295
per90_passes_to_final_third,0.731878710205,0.02072663441377499,0.1837842167325,0.7815386401925,0.021985786619525,0.19647557322
per90_key_passes,0.61994100298,0.0047564823335825,0.33162104588,0.648058729305,0.0049711491278225,0.34697012162
per90_through_passes,0.55702405929,0.1301908527355,0.28064225284,0.57776786549,0.130844606406,0.29138752802
per90_crosses,0.831927224185,0.0076909885359325,0.1455907967925,0.8442934492625,0.0077810389354275,0.147925511705
per90_shot_assists,0.72128914942,0.01096529779705,0.22590454614,0.75263654082,0.01140201460645,0.23596144459
rate_successful_passes,0.7680882048525,0.0377652569271,0.2213442265925,0.7478408394925,0.0364206151654,0.215738545485
rate_successful_progressive_passes,0.4960522031175,0.094191750666,0.47577188785,0.465975769415,0.08666407002925,0.4473601605325
rate_successful_crosses,0.026426969465175,0.00388798803093256,0.972357850265,0.026345904576775,0.00386628425492687,0.9697878111975
per90_dribbles,0.9060063044775,0.10918907751175,0.11627031704,0.802209070335,0.09474225897425,0.1030486707395
per90_progressive_run,0.75183075757,0.0442768796697,0.20129111456,0.754005465255,0.043902848386975,0.2020916864025
per90_accelerations,0.6512714581975,0.1719397749075,0.26271317092,0.6028725191875,0.1536822384545,0.24344524221825
rate_successful_dribbles,0.2297626455225,0.00803235763241,0.76550564494,0.2288792289375,0.0079764621640675,0.763144308955
per90_touch_in_box,0.82279607556,9.90998041623625e-4,0.1206660940575,0.87106685668,0.00104985629289682,0.1278832871525
per90_losses,0.7790442307125,0.075556330433,0.18429549341,0.7507918417275,0.07141682098425,0.1777913373225
per90_own_half_losses,0.696215099285,0.018736349346575,0.318561462285,0.673475739015,0.01802978284975,0.3084944779775
per90_dangerous_own_half_losses,0.49282043665,0.015575907241925,0.524908794465,0.4767370513475,0.01499787352045,0.508265075185
per90_recoveries,0.863791825025,0.01081339983785,0.09875125989975,0.887367626605,0.0110822054284,0.10155016803675
per90_opponent_half_recoveries,0.78927508295,0.004979883010895,0.204096904935,0.7903941958925,0.00498496762591,0.204620836575
per90_dangerous_opponent_half_recoveries,0.459527035405,0.0077728551677175,0.5314030785275,0.4599007598225,0.00776110149475,0.532338138715
per90_interceptions,0.8026879595475,0.06939172931325,0.1571945851775,0.7806371912825,0.0663148090305,0.1530479996
per90_clearances,0.8681506592875,0.029815609942025,0.1358815841125,0.8397913331975,0.028625279452325,0.1315833873575
per90_shots_blocked,0.6817341239025,0.01601000503855,0.33782566349,0.6581380535775,0.015376079376,0.326485867135
per90_defensive_duels,0.84839797166,0.085467468558,0.147152752755,0.7860174982225,0.077482891283,0.1364996105385
per90_offensive_duels,0.9452232663675,0.05696762620375,0.0843164178775,0.8706201427075,0.051638343788,0.0777415134665
