feature,factor,loading,q5,q95,group,sign,abs_loading,communality
per90_goals,Factor_1,0.2373757728695749,0.013050725000000001,0.4755165625,Attacking output,+,0.2373757728695749,0.05634725754542801
per90_assists,Factor_1,0,0,0,Attacking output,+,0,0.6805942706561054
per90_xg_shot,Factor_1,0.00111453628000005,-0.204836066,0.207853308,Attacking output,+,0.00111453628000005,0.08487211372926874
per90_xg_assist,Factor_1,-5.638310134999544e-4,-0.07915668255,0.0773141253,Attacking output,-,5.638310134999544e-4,0.2737846951256418
per90_shots,Factor_1,0.00124943141499995,-0.233732293,0.236211149,Attacking output,+,0.00124943141499995,0.11352176711853007
per90_head_shots,Factor_1,-0.00144049153000008,-0.2662957765,0.2616454525,Attacking output,-,0.00144049153000008,0.03409848056098258
rate_shots_on_target,Factor_1,-9.448983224999016e-4,-0.1604444265,0.15875353999999997,Shooting rates,-,9.448983224999016e-4,0.002219312060022058
rate_goal_conversion,Factor_1,3.044557373300133e-4,-0.03593471635,0.03671664494999999,Shooting rates,+,3.044557373300133e-4,0.10379190144795589
per90_received_pass,Factor_1,0.00148206727749988,-0.15321861550000002,0.1563206185,Passing volume,+,0.00148206727749988,0.0037433996548150578
per90_passes,Factor_1,-6.288213145067096e-5,-0.02297922899999999,0.02315414725,Passing volume,-,6.288213145067096e-5,0.03827171717330834
per90_forward_passes,Factor_1,8.349632562501895e-5,-0.05485183245,0.0553185283,Passing volume,+,8.349632562501895e-5,0.00327008957029196
per90_back_passes,Factor_1,6.548368949998267e-4,-0.202074709,0.20482978149999995,Passing volume,+,6.548368949998267e-4,0.031514822288455854
per90_lateral_passes,Factor_1,0.001075211885,-0.247545332,0.2505771525,Passing volume,+,0.001075211885,0.020331269161267228
per90_long_passes,Factor_1,0.00223909489999977,-0.2992960475,0.303618309,Passing volume,+,0.00223909489999977,0.0540361800331604
per90_smart_passes,Factor_1,-7.49149825749955e-4,-0.1114075225,0.109219853,Passing volume,-,7.49149825749955e-4,0.12166105495382944
per90_progressive_passes,Factor_1,-0.00101005628000001,-0.165601619,0.164150628,Passing volume,-,0.00101005628000001,0.020988060344088
per90_passes_to_final_third,Factor_1,-0.00121009212999988,-0.188365129,0.1855832015,Passing volume,-,0.00121009212999988,5.578958656174168e-4
per90_key_passes,Factor_1,0.00215093911000008,-0.197886576,0.20360010649999996,Passing volume,+,0.00215093911000008,1.2641397782160805e-4
per90_through_passes,Factor_1,6.257717874999728e-4,-0.17687174949999998,0.1790709605,Passing volume,+,6.257717874999728e-4,0.08853021023154029
per90_crosses,Factor_1,7.36496175000835e-5,-0.1487071585,0.149392111,Passing volume,+,7.36496175000835e-5,0.015148250127828285
per90_shot_assists,Factor_1,-0.00276908097250001,-0.5054194689999999,0.4990208945,Passing volume,-,0.00276908097250001,0.007322935108927292
rate_successful_passes,Factor_1,-5.35185777499859e-4,-0.2182737275,0.216782341,Passing quality,-,5.35185777499859e-4,0.00346561784874809
rate_successful_progressive_passes,Factor_1,-0.00154802223325,-0.117064415,0.1124714385,Passing quality,-,0.00154802223325,0.09590555543102071
rate_successful_crosses,Factor_1,-0.00122715704949996,-0.139075233,0.13554107849999997,Passing quality,-,0.00122715704949996,0.08929485613598613
per90_dribbles,Factor_1,-0.00118447265249991,-0.22794038099999997,0.2238130145,Progressive actions,-,0.00118447265249991,0.036537671825996106
per90_progressive_run,Factor_1,-7.485119012500194e-4,-0.1401419485,0.1382431475,Progressive actions,-,7.485119012500194e-4,0.28067765965701075
per90_accelerations,Factor_1,-3.1581147650000025e-4,-0.1101582785,0.110281168,Progressive actions,-,3.1581147650000025e-4,0.1693140507172423
rate_successful_dribbles,Factor_1,2.0851865550043403e-5,-0.0614663729,0.06110305284999999,Progressive actions,+,2.0851865550043403e-5,0.014961132757369943
per90_touch_in_box,Factor_1,-7.888865955000206e-4,-0.08038214965000001,0.07864992304999999,Attacking output,-,7.888865955000206e-4,0.08505911270110167
per90_losses,Factor_1,0.00201649157424986,-0.143022873,0.146794373,Defending,+,0.00201649157424986,0.0064367803454316716
per90_own_half_losses,Factor_1,-4.962240208082818e-4,-0.04354940785,0.04303501834999999,Defending,-,4.962240208082818e-4,0.05788589084889851
per90_dangerous_own_half_losses,Factor_1,-4.934026015749847e-4,-0.0531012805,0.05251767609999997,Defending,-,4.934026015749847e-4,0.13047215815384655
per90_recoveries,Factor_1,7.4020639749962e-5,-0.1056372325,0.1061690715,Defending,+,7.4020639749962e-5,0.024629164401794447
per90_opponent_half_recoveries,Factor_1,0.00221343058999961,-0.35825857949999995,0.3637292635,Defending,+,0.00221343058999961,0.004149964226219291
per90_dangerous_opponent_half_recoveries,Factor_1,0.00167649776749995,-0.266543084,0.26974434199999997,Defending,+,0.00167649776749995,0.10015849214822618
per90_interceptions,Factor_1,0.00106600760000012,-0.1473298365,0.1491964425,Defending,+,0.00106600760000012,0.022950340080988185
per90_clearances,Factor_1,-3.429218274999191e-4,-0.19235672,0.19232062049999996,Defending,-,3.429218274999191e-4,6.251973456848205e-4
per90_shots_blocked,Factor_1,-0.00134059906499989,-0.3591868165,0.35648984250000004,Defending,-,0.00134059906499989,0.06021073385339687
per90_defensive_duels,Factor_1,3.583475071250326e-4,-0.06300119159999999,0.0632449878,Dueling,+,3.583475071250326e-4,0.016948638228363285
per90_offensive_duels,Factor_1,-0.00188202206749986,-0.28612796900000004,0.281051431,Dueling,-,0.00188202206749986,0.008556023954289607
per90_aerial_duels,Factor_1,-2.1073255017433072e-4,-0.0381484015,0.03808097764999998,Dueling,-,2.1073255017433072e-4,0.04784911940303603
per90_pressing_duels,Factor_1,9.090768149999864e-4,-0.2823556015,0.28497988550000003,Dueling,+,9.090768149999864e-4,2.6366770890534836e-4
per90_loose_ball_duels,Factor_1,5.58279646250052e-4,-0.12762357549999995,0.128168446,Dueling,+,5.58279646250052e-4,0.1916575637099818
per90_sliding_tackles,Factor_1,0.00161780964999991,-0.2950614805,0.298576938,Defending,+,0.00161780964999991,3.006826737132404e-6
per90_dribbles_against,Factor_1,-4.209088044154982e-4,-0.03219506705,0.03126849269999999,Defending,-,4.209088044154982e-4,0.03358716208480086
rate_defensive_duels_won,Factor_1,-2.7946932160065064e-4,-0.0210795432,0.0204573844,Defending,-,2.7946932160065064e-4,0.1200966049657212
