feature,sigma_a_diag_mean,var_b_mean,var_e_mean,prop_a_mean,prop_b_mean,prop_e_mean
per90_goals,0.2952015826875,0.2430714299115,0.152569290165,0.43666622385,0.337528993245,0.225804782941
per90_assists,0.7591279493925,0.031655828290275,0.289701110465,0.7025279978675,0.029076258593975,0.268395743655
per90_xg_shot,0.17722314497,0.223190664657,0.163798780675,0.323301287135,0.3776112159875,0.29908749678
per90_xg_assist,0.2971903732025,0.067465797733,0.161904944795,0.5665924872675,0.12444472386125,0.308962788795
per90_shots,0.2350772109325,0.01373652748285,0.379963639655,0.3737313114475,0.0216946563118,0.6045740322625
per90_head_shots,0.1545841861375,0.0070569469023525,0.3601331003025,0.2961178390575,0.0134647802151,0.6904173807975
rate_shots_on_target,0.110700162404,0.021534779958125,0.23987955829,0.2976339975825,0.05692159552075,0.6454444070425
rate_goal_conversion,0.1327049086375,0.12213489513825,0.26052609975,0.26042070316,0.22801300134225,0.5115662955975
per90_received_pass,0.11564778905375,0.07588038750125,0.1678699137525,0.325113506095,0.2026370104315,0.47224948354
per90_passes,0.064113576036,0.1154870746305,0.2858843584025,0.13951717335225,0.23812892604975,0.6223539004225
per90_forward_passes,0.03205239532225,0.039877947227675,0.2123302855675,0.11332713398575,0.13550463992,0.7511682259925
per90_back_passes,0.11626768547225,0.0604407987885,0.198025412485,0.3121520535025,0.155808189639,0.532039756925
per90_lateral_passes,0.12536527793575,0.0246066661169,0.344299369465,0.25365624413,0.04913554305815,0.6972082127775
per90_long_passes,0.215164405365,0.111654037389,0.28043957094,0.356742314205,0.17794764665775,0.465310038915
per90_smart_passes,0.2251300747575,0.00993574639795,0.1411875566725,0.5982322302825,0.02616983853175,0.3755979311
per90_progressive_passes,0.10789377011375,0.1078374016445,0.273149177175,0.22294626292625,0.2122504276215,0.5648033095625
per90_passes_to_final_third,0.0572894987755,0.07993914618275,0.1973361322075,0.17342151317225,0.228735480198,0.597843006535
per90_key_passes,0.11445040856625,0.07682311881475,0.312493532835,0.2284326745175,0.14746792756825,0.62409939795
per90_through_passes,0.17293030672,0.15275619825725,0.148634459005,0.3724215526975,0.3071777260215,0.320400721255
per90_crosses,0.07606673326625,0.075941747819,0.20261361631,0.2169622453735,0.204772408908,0.5782653456475
per90_shot_assists,0.3528363742725,0.13827022277475,0.3620780248925,0.415929930095,0.15688658422175,0.427183485745
rate_successful_passes,0.1684157465375,0.04192478805155,0.27864266213,0.34494563316,0.0838778074305,0.571176559445
rate_successful_progressive_passes,0.211876479275,0.05555765360725,0.13737205896,0.526097974035,0.13248615625875002,0.3414158697175
rate_successful_crosses,0.1540228745125,0.02656065975544999,0.35341765114,0.2884938616375,0.0490510389605,0.6624550994225
per90_dribbles,0.1902055961675,0.06280457911875,0.138392971305,0.4887870742375,0.15525870702625,0.355954218715
per90_progressive_run,0.3460040107575,0.063542628498,0.3263484910225,0.4709551516425,0.08445855057875,0.44458629779
per90_accelerations,0.2502134451975,0.04220785886635,0.16900380485,0.54322137135,0.089522559865,0.3672560687825
rate_successful_dribbles,0.1028156552745,0.0409315347575,0.137969698415,0.3666960632475,0.1407550007305,0.4925489359875
per90_touch_in_box,0.1821361277625,0.01400185655915,0.1686100540975,0.4993389304325,0.03794062466385,0.462720444915
per90_losses,0.09979308875375,0.058626232332,0.22078865916,0.2646080141075,0.149456522411,0.5859354635225
per90_own_half_losses,0.1470963059925,0.0790653880875,0.4118314860475,0.231383153855,0.12051119158075,0.6481056545525
per90_dangerous_own_half_losses,0.16286843039,0.066357151404,0.27271369906,0.3259376880025,0.12785645453575,0.5462058575425
per90_recoveries,0.05998941728675,0.08015129203475001,0.2419913710225,0.15851966911725,0.20178515390075,0.6396951768525
per90_opponent_half_recoveries,0.1904505662325,0.114875932329,0.2962774665375,0.31907309452,0.18432606872925,0.4966008368075
per90_dangerous_opponent_half_recoveries,0.2717659628925,0.028493514908225,0.172856607015,0.57474753725,0.05933451657825,0.36591794609
per90_interceptions,0.073985223357,0.078899896293,0.1960150861325,0.21456543071775,0.21670386748,0.568730701825
per90_clearances,0.0624153719725,0.0719080272285,0.30703041823,0.142230894129,0.1576457786415,0.700123327145
