feature,factor,loading,q5,q95,group,abs_loading
per90_goals,PCA_Factor_1,0.5176336192828291,0.4161708894219049,0.5917391974864596,Attacking output,0.5176336192828291
per90_assists,PCA_Factor_1,0.09365788699846643,-0.003774451049815163,0.29699411532881814,Attacking output,0.09365788699846643
per90_xg_shot,PCA_Factor_1,0.6520723897979666,0.5931640652334119,0.7097737535554042,Attacking output,0.6520723897979666
per90_xg_assist,PCA_Factor_1,0.5051570650918287,0.2577275959095417,0.6589957338260092,Attacking output,0.5051570650918287
per90_shots,PCA_Factor_1,0.7205655966679696,0.5873310376965925,0.8148637857332173,Attacking output,0.7205655966679696
per90_head_shots,PCA_Factor_1,0.2930664453159182,0.2231943137729642,0.3728655912449086,Attacking output,0.2930664453159182
rate_shots_on_target,PCA_Factor_1,0.20698379539290107,0.17987277387030595,0.2354871915136205,Shooting rates,0.20698379539290107
rate_goal_conversion,PCA_Factor_1,0.1493641665518405,0.12151470609177903,0.1776624068981053,Shooting rates,0.1493641665518405
per90_received_pass,PCA_Factor_1,-0.38577628489549043,-0.7031954121390913,-0.17329427884508602,Passing volume,0.38577628489549043
per90_passes,PCA_Factor_1,-0.4791620037730676,-0.7881734445029059,-0.26902826082533493,Passing volume,0.4791620037730676
per90_forward_passes,PCA_Factor_1,-0.7600541452051908,-0.8795499571512466,-0.6626966459970854,Passing volume,0.7600541452051908
per90_back_passes,PCA_Factor_1,0.3261804063330033,-0.012358685306236999,0.539184686509002,Passing volume,0.3261804063330033
per90_lateral_passes,PCA_Factor_1,-0.5485473623176799,-0.779132995530128,-0.38967952068855727,Passing volume,0.5485473623176799
per90_long_passes,PCA_Factor_1,-0.6569267250639397,-0.7364075728522315,-0.5557170154944654,Passing volume,0.6569267250639397
per90_smart_passes,PCA_Factor_1,0.2838258591681443,0.07020669077356934,0.4205265390333081,Passing volume,0.2838258591681443
per90_progressive_passes,PCA_Factor_1,-0.6322851205828567,-0.7642543476437226,-0.5336772131595948,Passing volume,0.6322851205828567
per90_passes_to_final_third,PCA_Factor_1,-0.4908440190305222,-0.7158766761615186,-0.33604019443105143,Passing volume,0.4908440190305222
per90_key_passes,PCA_Factor_1,0.5032767836648034,0.2601644823943873,0.6541412046829583,Passing volume,0.5032767836648034
per90_through_passes,PCA_Factor_1,0.15488639695769224,-0.09319374854785656,0.3119914060450496,Passing volume,0.15488639695769224
