feature,factor,loading,q5,q95,group,abs_loading
per90_goals,PCA_Factor_1,-0.03328154406040769,-0.08565778378177226,0.0030351467567478183,Attacking output,0.03328154406040769
per90_assists,PCA_Factor_1,0.8154556030280601,0.7822723776400605,0.8486976551385669,Attacking output,0.8154556030280601
per90_xg_shot,PCA_Factor_1,0.31624436525223404,0.2937919880452477,0.336726088188891,Attacking output,0.31624436525223404
per90_xg_assist,PCA_Factor_1,0.5086184257178576,0.4865796311020841,0.5315220069744597,Attacking output,0.5086184257178576
per90_shots,PCA_Factor_1,0.36425269237971386,0.3358735777602704,0.3899979534343488,Attacking output,0.36425269237971386
per90_head_shots,PCA_Factor_1,-0.21755397657437384,-0.24452860405659196,-0.1903413621975525,Attacking output,0.21755397657437384
rate_shots_on_target,PCA_Factor_1,-0.06681445127463699,-0.08893110214208502,-0.04456321971179316,Shooting rates,0.06681445127463699
rate_goal_conversion,PCA_Factor_1,-0.3158462547519596,-0.3341575040324949,-0.29751914315529154,Shooting rates,0.3158462547519596
per90_received_pass,PCA_Factor_1,-0.04076597616056475,-0.060350477871678444,-0.02147313910840008,Passing volume,0.04076597616056475
per90_passes,PCA_Factor_1,-0.19493740996044215,-0.21070152549589177,-0.17828150342069524,Passing volume,0.19493740996044215
per90_forward_passes,PCA_Factor_1,-0.06283541213817814,-0.07628888709986385,-0.049166382195474104,Passing volume,0.06283541213817814
per90_back_passes,PCA_Factor_1,0.2026991754969473,0.18292352125085765,0.2227849487918205,Passing volume,0.2026991754969473
per90_lateral_passes,PCA_Factor_1,0.17410527079915086,0.14852275825287042,0.1997816246543089,Passing volume,0.17410527079915086
per90_long_passes,PCA_Factor_1,-0.18930162951698348,-0.22112245654887813,-0.15867595150546854,Passing volume,0.18930162951698348
per90_smart_passes,PCA_Factor_1,-0.35850034986749196,-0.3793065134182087,-0.33812432875305054,Passing volume,0.35850034986749196
per90_progressive_passes,PCA_Factor_1,0.12183346937075677,0.10070272750989727,0.1428496168984046,Passing volume,0.12183346937075677
per90_passes_to_final_third,PCA_Factor_1,-0.047926171467795035,-0.06741951039296995,-0.028891050044924833,Passing volume,0.047926171467795035
per90_key_passes,PCA_Factor_1,0.03683259452531086,0.011352426408908597,0.061125909722286674,Passing volume,0.03683259452531086
per90_through_passes,PCA_Factor_1,-0.2704917551082073,-0.292245380223863,-0.24731620699995485,Passing volume,0.2704917551082073
per90_crosses,PCA_Factor_1,-0.10238161323697409,-0.12143792637283143,-0.08359806942020678,Passing volume,0.10238161323697409
per90_shot_assists,PCA_Factor_1,0.016457964880371177,-0.02572538667639017,0.0596486020752109,Passing volume,0.016457964880371177
rate_successful_passes,PCA_Factor_1,-0.08686411663923412,-0.11209724224509665,-0.06031050569992239,Passing quality,0.08686411663923412
rate_successful_progressive_passes,PCA_Factor_1,-0.32087710831624244,-0.34157867258041474,-0.3001160261681358,Passing quality,0.32087710831624244
rate_successful_crosses,PCA_Factor_1,0.2783983389937038,0.254651741923199,0.3014429817368612,Passing quality,0.2783983389937038
per90_dribbles,PCA_Factor_1,-0.21885405472557526,-0.24146674473615004,-0.19548351255248267,Progressive actions,0.21885405472557526
per90_progressive_run,PCA_Factor_1,0.5071766198999713,0.47874350775542196,0.5339770261158884,Progressive actions,0.5071766198999713
per90_accelerations,PCA_Factor_1,0.42073524590049916,0.3991426880078453,0.44206140272441247,Progressive actions,0.42073524590049916
rate_successful_dribbles,PCA_Factor_1,0.11437508213831009,0.09637542787341699,0.13276133138766455,Progressive actions,0.11437508213831009
per90_touch_in_box,PCA_Factor_1,0.2981266654819918,0.27798702349860505,0.3178394203559898,Attacking output,0.2981266654819918
per90_losses,PCA_Factor_1,-0.061209568440822204,-0.0817803107299159,-0.04140050083495877,Defending,0.061209568440822204
per90_own_half_losses,PCA_Factor_1,-0.2407902368305183,-0.26269808280690055,-0.21894896818938475,Defending,0.2407902368305183
per90_dangerous_own_half_losses,PCA_Factor_1,0.3625531824761611,0.34293177340196135,0.38097076877326363,Defending,0.3625531824761611
per90_recoveries,PCA_Factor_1,0.16886246914571143,0.15287389073897245,0.18478944318791263,Defending,0.16886246914571143
per90_opponent_half_recoveries,PCA_Factor_1,0.1125817788380374,0.08008986326901199,0.14479385614972137,Defending,0.1125817788380374
per90_dangerous_opponent_half_recoveries,PCA_Factor_1,-0.2773364721816594,-0.3062524485527325,-0.24647302094874252,Defending,0.2773364721816594
per90_interceptions,PCA_Factor_1,-0.13009785016214523,-0.14702941527697785,-0.11133027182664175,Defending,0.13009785016214523
per90_clearances,PCA_Factor_1,0.05031809653343885,0.029061395830454015,0.07111289959490803,Defending,0.05031809653343885
per90_shots_blocked,PCA_Factor_1,-0.29086014806022015,-0.32171871212567255,-0.25582421253093285,Defending,0.29086014806022015
per90_defensive_duels,PCA_Factor_1,-0.12253215980875377,-0.14317660916236602,-0.10283378599958512,Dueling,0.12253215980875377
per90_offensive_duels,PCA_Factor_1,-0.13005284551739665,-0.15602512066558405,-0.10162751386819374,Dueling,0.13005284551739665
per90_aerial_duels,PCA_Factor_1,0.21964300477825097,0.20160488908750981,0.2379845421384585,Dueling,0.21964300477825097
per90_pressing_duels,PCA_Factor_1,0.05397414216284102,0.027677428553976872,0.08007143349000007,Dueling,0.05397414216284102
per90_loose_ball_duels,PCA_Factor_1,0.4495371920756827,0.42650337989856857,0.4734027162928743,Dueling,0.4495371920756827
per90_sliding_tackles,PCA_Factor_1,0.039819247250397115,0.012862110404807966,0.06502035451814417,Defending,0.039819247250397115
