feature,icc_player,icc_season,icc_residual,sigma_a_diag_mean,var_b_mean,var_e_mean,group,icc_player_q05,icc_player_q95,icc_season_q05,icc_season_q95
per90_goals,0.6513918452975,0.0052832774344675,0.34332487734,0.6077773993,0.004938008883175,0.319998783895,Attacking output,0.631201129,0.6710502695,0.001518188385,0.01217654754999999
per90_assists,0.389845080045,0.01104759462390249,0.59910732538,0.3859140922575,0.010949436758095,0.59224689274,Attacking output,0.3581505675,0.42235695,0.003561197305,0.0249367601
per90_xg_shot,0.8010288069075,0.00162510057923515,0.197346092545,0.7256148099375,0.00147051042958218,0.178256365135,Attacking output,0.783508532,0.817792387,2.7642932150000004e-4,0.004115769415
per90_xg_assist,0.6511706933275,0.007962716350875,0.34086659036,0.611306331765,0.00748152326679,0.319213145395,Attacking output,0.6249386520000001,0.6766415754999999,0.00282216533499999,0.01702145765
per90_shots,0.84778843233,0.010352299842625,0.1418592679425,0.7716947636875,0.009398413829175,0.12835785518,Attacking output,0.8281339655000001,0.8662542545,0.004201310185,0.02173902265
per90_head_shots,0.742666605355,0.00122861516950273,0.2561047794525,0.77398778521,0.00127880854491921,0.26656004411,Attacking output,0.7263517135,0.7587963885,4.0972119400000005e-5,0.00353518547499999
rate_shots_on_target,0.1580616488875,0.00215395252022999,0.8397843985425,0.1584939290675,0.00216232042969164,0.841413992155,Shooting rates,0.130771105,0.1845013735,2.616805025e-5,0.00659281488999999
rate_goal_conversion,0.175782786975,0.00311311832864576,0.821104094655,0.17652723922,0.00313242848417862,0.82404500172,Shooting rates,0.14966353300000002,0.20244173049999997,1.2535342750000003e-4,0.00869715805499999
per90_received_pass,0.80483932249,0.0314710183831,0.163689659145,0.8631429708049999,0.03367002162825,0.173217545235,Passing volume,0.7647557484999999,0.8377719094999999,0.01420531615,0.06308721599999997
per90_passes,0.8670890082725,0.00885943449935,0.12405155720375,0.924621215495,0.009367828515925,0.13061737484,Passing volume,0.8457690425,0.8870667295,0.00364167748,0.01848932789999999
per90_forward_passes,0.8513568000575,0.0041355729085475,0.144507627,0.8316673996975,0.0040368030673225,0.14096373652,Passing volume,0.8400721245,0.861977836,0.00162107069,0.00872411843999999
per90_back_passes,0.8256006239,0.00744071120772499,0.166958664835,0.825249516875,0.007444996395525,0.16664241367,Passing volume,0.8118008004999999,0.8383657935000001,0.0029735809,0.01551048909999999
per90_lateral_passes,0.8049896735825,0.017919446779725,0.1770908797675,0.818043130375,0.01820270433375,0.1787610712275,Passing volume,0.779122452,0.8295651085,0.007528713185,0.03681197574999999
per90_long_passes,0.834262952925,0.00440490483545749,0.161332142235,0.805952798305,0.004247924600545,0.1553304720875,Passing volume,0.8185578225,0.8499002465000001,0.00156216113,0.00980942083499999
per90_smart_passes,0.4426931877425,0.365924212715,0.19138259947625,0.4798317849575,0.42190049386,0.2072456918275,Passing volume,0.327186519,0.5373398659999999,0.231268415,0.532023507
per90_progressive_passes,0.7748928023725,0.04855868121,0.176548516485,0.7684740488075,0.0487297686422,0.1747619075225,Passing volume,0.7371598859999999,0.802397602,0.02224235305,0.09434615369999996
per90_passes_to_final_third,0.7934034476825,0.020813559176175,0.1857829931175,0.789728164155,0.020759323387775,0.1837083503475,Passing volume,0.764648542,0.8204768734999999,0.00868532073,0.0432344976
per90_key_passes,0.638681296175,0.0052923423480825,0.3560263614125,0.597107672345,0.00494465086342,0.3320149553925,Passing volume,0.612103053,0.664527498,0.001715358,0.01165047899999999
per90_through_passes,0.591027874935,0.12413454761475,0.2848375774,0.58329521199,0.125954156436,0.28067639781,Passing volume,0.5219712205000001,0.6400163835,0.0621328037,0.223282407
per90_crosses,0.8423486135075,0.00777134051855,0.1498800460575,0.81864423347,0.007565043259825,0.145453285175,Passing volume,0.829059759,0.8544487494999999,0.002807451945,0.01687241284999999
per90_shot_assists,0.7486582960175,0.0113396006873,0.2400021032275,0.706519903385,0.0107209804765,0.226028622935,Passing volume,0.7283767130000001,0.768346336,0.004566390285,0.02376752789999999
rate_successful_passes,0.748217692555,0.03671369897924999,0.2150686084675,0.771040965825,0.038234154964875,0.22137011184,Passing quality,0.716812207,0.770898729,0.0163811768,0.07225613280000001
rate_successful_progressive_passes,0.47631178416,0.08543398393150001,0.4382542320675,0.5183036276625,0.0949398702715,0.476002162795,Passing quality,0.4299098385,0.517402347,0.0411335129,0.16028173599999984
