feature,sigma_e_mean,nu_mean
per90_goals,0.329936,2.950752
per90_assists,0.505327,2.950752
per90_xg_shot,0.226298,2.950752
per90_xg_assist,0.355801,2.950752
per90_shots,0.228599,2.950752
per90_head_shots,0.281281,2.950752
rate_shots_on_target,0.585352,2.950752
rate_goal_conversion,0.522536,2.950752
per90_received_pass,0.287024,2.950752
per90_passes,0.258044,2.950752
per90_forward_passes,0.269802,2.950752
per90_back_passes,0.271566,2.950752
per90_lateral_passes,0.279378,2.950752
per90_long_passes,0.261373,2.950752
per90_smart_passes,0.252118,2.950752
per90_progressive_passes,0.301151,2.950752
per90_passes_to_final_third,0.302973,2.950752
per90_key_passes,0.37292,2.950752
per90_through_passes,0.351549,2.950752
per90_crosses,0.21589,2.950752
per90_shot_assists,0.308493,2.950752
rate_successful_passes,0.315796,2.950752
rate_successful_progressive_passes,0.466395,2.950752
rate_successful_crosses,0.56247,2.950752
per90_dribbles,0.202996,2.950752
per90_progressive_run,0.288141,2.950752
per90_accelerations,0.316554,2.950752
rate_successful_dribbles,0.530861,2.950752
per90_touch_in_box,0.20499,2.950752
per90_losses,0.302416,2.950752
per90_own_half_losses,0.405661,2.950752
per90_dangerous_own_half_losses,0.493499,2.950752
per90_recoveries,0.220671,2.950752
per90_opponent_half_recoveries,0.313286,2.950752
per90_dangerous_opponent_half_recoveries,0.502658,2.950752
per90_interceptions,0.280654,2.950752
per90_clearances,0.232454,2.950752
per90_shots_blocked,0.353955,2.950752
per90_defensive_duels,0.270949,2.950752
per90_offensive_duels,0.178872,2.950752
per90_aerial_duels,0.218136,2.950752
per90_pressing_duels,0.318419,2.950752
per90_loose_ball_duels,0.285321,2.950752
per90_sliding_tackles,0.337154,2.950752
per90_dribbles_against,0.290206,2.950752
rate_defensive_duels_won,0.423201,2.950752
rate_offensive_duels_won,0.406701,2.950752
rate_aerial_duels_won,0.321668,2.950752
rate_dribbles_against_won,0.531177,2.950752
rate_successful_sliding_tackles,0.689296,2.950752
per90_fouls,0.349321,2.950752
per90_fouls_suffered,0.31075,2.950752
per90_yellow_cards,0.511503,2.950752
