feature_k,feature_l,obs_corr,pred_corr,pred_lo,pred_hi
per90_assists,per90_goals,0.32352563867571316,0.21932701783642763,0.1964273648241072,0.24250558488079935
per90_xg_shot,per90_goals,0.8546115997964437,0.45899303071443626,0.43841858818234075,0.4795905872320157
per90_xg_assist,per90_goals,0.3558633866983873,0.28794878396947293,0.2606615858944437,0.3140620670172831
per90_shots,per90_goals,0.714150454306538,0.47491476293770324,0.4530677553546616,0.49530580157145565
per90_head_shots,per90_goals,0.44088244142093863,0.17297588751214696,0.1477550251025046,0.19905572467852353
per90_received_pass,per90_goals,-0.2527491240803669,-0.3370397995212684,-0.36529396571654976,-0.310797184367639
per90_passes,per90_goals,-0.36468500121610514,-0.41349806552916013,-0.44141807662424687,-0.38848682210131547
per90_forward_passes,per90_goals,-0.5244175864800309,-0.5394640813224071,-0.5634506793769793,-0.5169991210660553
per90_back_passes,per90_goals,0.17910686113534743,0.180638401882967,0.151551112224147,0.20824697434346334
per90_lateral_passes,per90_goals,-0.3750599637170201,-0.4366631475840056,-0.4597458153608837,-0.4123510801840198
per90_long_passes,per90_goals,-0.5078678835845979,-0.501181852439272,-0.5229467789356255,-0.48010925140387994
per90_smart_passes,per90_goals,0.2815712819925753,0.18142319311288396,0.1420656110855868,0.21530459431794602
per90_progressive_passes,per90_goals,-0.5008290052165746,-0.4751554780749495,-0.5022318422341747,-0.4503430549352582
per90_passes_to_final_third,per90_goals,-0.33971680995427617,-0.38962343413388556,-0.4170584463175764,-0.36731282265415144
per90_key_passes,per90_goals,0.3543161476758794,0.2908932120553607,0.2640209661380512,0.317080209528205
per90_through_passes,per90_goals,0.16825476540581658,0.034727899313835235,0.0083833337834017755,0.060125474922957105
per90_crosses,per90_goals,0.07417722800856849,0.224572086194383,0.19774596340212972,0.2530067992088736
per90_shot_assists,per90_goals,0.32528476767000125,0.30405069508939747,0.27365581492620983,0.33233787439490814
rate_successful_passes,per90_goals,-0.2377490356706188,-0.32913318357821897,-0.3523068052904843,-0.3081639287762091
rate_successful_progressive_passes,per90_goals,0.040533940854598764,-0.04205250394008252,-0.06600335280263953,-0.018118048100869765
per90_dribbles,per90_goals,0.33492881500217203,0.38032913500383997,0.3472851697479156,0.40878389738809984
per90_progressive_run,per90_goals,0.16209300486177622,0.22400280983357634,0.19760717597662775,0.24911390513665188
per90_accelerations,per90_goals,0.14529438754917443,0.22060216774391458,0.19301586669365003,0.2458601696714855
rate_successful_dribbles,per90_goals,-0.13097007810704175,-0.17232411893611127,-0.19145198739523017,-0.15419502655964445
per90_touch_in_box,per90_goals,0.7267931759827072,0.49683945806910496,0.47601425514381507,0.5183303970165879
per90_losses,per90_goals,0.3020708045652086,0.3037480584943268,0.27856968641173147,0.3258203522551353
per90_own_half_losses,per90_goals,-0.4019342696968152,-0.31285451964839683,-0.3332941745025597,-0.292454525101118
per90_dangerous_own_half_losses,per90_goals,-0.3575165748912446,-0.3344279289993122,-0.3530353292060225,-0.314250874645684
per90_recoveries,per90_goals,-0.6267308423395316,-0.5553236749509886,-0.5764211561299099,-0.5334666815375652
per90_opponent_half_recoveries,per90_goals,-0.18562601568925133,-0.09842286458018497,-0.1247061090711451,-0.07215740181483975
per90_dangerous_opponent_half_recoveries,per90_goals,0.12379714128230168,0.10990278286453889,0.08838539710443495,0.13192890753754838
per90_interceptions,per90_goals,-0.5859948466314362,-0.48805800337101585,-0.5109296838993304,-0.46206324088845396
per90_clearances,per90_goals,-0.47603454594868105,-0.4525419114143159,-0.47572886275510895,-0.42825580165291627
per90_shots_blocked,per90_goals,-0.3640418864628023,-0.39726441474606383,-0.419046168145867,-0.37402984933792843
per90_defensive_duels,per90_goals,-0.4615360231599163,-0.23387341432314512,-0.25779012577582344,-0.20812549030220742
per90_offensive_duels,per90_goals,0.4408955885490607,0.45226711404403813,0.4249720479019599,0.4746672754770736
per90_aerial_duels,per90_goals,0.18262362330067816,0.10767850099976653,0.08085510463460639,0.13631557649934367
per90_pressing_duels,per90_goals,0.3482353980281345,0.32775528199574117,0.28351669513849376,0.36476566895654383
per90_loose_ball_duels,per90_goals,0.2917140092827062,0.2628133566310227,0.2335524544360574,0.2901734021753131
per90_sliding_tackles,per90_goals,-0.17825238167418334,-0.16140977212800514,-0.18368391550027494,-0.13929617311281417
per90_dribbles_against,per90_goals,-0.4942353646849458,-0.28128304661029274,-0.30819887123285006,-0.25453350737643177
rate_defensive_duels_won,per90_goals,-0.2679668130965949,-0.29560770350347737,-0.32289615367235147,-0.2640986327337426
rate_offensive_duels_won,per90_goals,-0.28526198058279006,-0.25154037494650816,-0.27452859900281973,-0.23124424443770003
rate_aerial_duels_won,per90_goals,-0.3137158376268313,-0.36831534355944584,-0.3903992331166399,-0.345546034418588
per90_fouls,per90_goals,0.03106344185653728,0.10067571505006866,0.07680396088676529,0.12384376849710498
per90_fouls_suffered,per90_goals,0.28088707228691595,0.2930544267463235,0.26971047092407463,0.31764826820063746
