feature,feature_type,group,icc_player,icc_season,icc_residual,verdict
rate_successful_crosses,rate,Passing quality,0.026345904576775,0.00386628425492687,0.9697878111975,drop_candidate
rate_successful_sliding_tackles,rate,Defending,0.0490659732185,0.0118090440586275,0.9391249827225,drop_candidate
rate_dribbles_against_won,rate,Defending,0.15478400741,0.00599377464469842,0.8392222179025,drop_candidate
rate_shots_on_target,rate,Shooting rates,0.1610181042175,0.00208189564138492,0.8369000001725,drop_candidate
rate_goal_conversion,rate,Shooting rates,0.176508680465,0.00294843948304499,0.820542880085,drop_candidate
rate_defensive_duels_won,rate,Defending,0.21956395802,0.13070246963124998,0.6497335723275,borderline
rate_successful_dribbles,rate,Progressive actions,0.2288792289375,0.0079764621640675,0.763144308955,borderline
per90_assists,per90,Attacking output,0.3816502063675,0.014722958842525,0.6036268348,keep
rate_offensive_duels_won,rate,Dueling,0.4094234239425,0.012330071454725,0.578246504655,keep
per90_smart_passes,per90,Passing volume,0.44033595837,0.368352308885,0.19131173275075,keepseason_driven
per90_yellow_cards,per90,Discipline,0.4406178883525,0.016402708916625,0.5429794028275,keep
per90_dangerous_opponent_half_recoveries,per90,Defending,0.4599007598225,0.00776110149475,0.532338138715,keep
per90_pressing_duels,per90,Dueling,0.4653666637375,0.3049849803025,0.2296483560075,keepseason_driven
rate_successful_progressive_passes,rate,Passing quality,0.465975769415,0.08666407002925,0.4473601605325,keep
per90_dangerous_own_half_losses,per90,Defending,0.4767370513475,0.01499787352045,0.508265075185,keep
per90_through_passes,per90,Passing volume,0.57776786549,0.130844606406,0.29138752802,keep
per90_accelerations,per90,Progressive actions,0.6028725191875,0.1536822384545,0.24344524221825,keep
per90_sliding_tackles,per90,Defending,0.6093377836475,0.11267841295125,0.2779838034425,keep
per90_key_passes,per90,Passing volume,0.648058729305,0.0049711491278225,0.34697012162,keep
per90_goals,per90,Attacking output,0.64933393634,0.00605142503328749,0.3446146385725,keep
per90_shots_blocked,per90,Defending,0.6581380535775,0.015376079376,0.326485867135,keep
per90_xg_assist,per90,Attacking output,0.6589285731725,0.008554317806325,0.3325171089925,keep
per90_own_half_losses,per90,Defending,0.673475739015,0.01802978284975,0.3084944779775,keep
per90_dribbles_against,per90,Defending,0.69932018073,0.1277122281165,0.172967591075,keep
per90_loose_ball_duels,per90,Dueling,0.7182396514175,0.1133905076205,0.1683698408725,keep
per90_fouls,per90,Discipline,0.7282816387925,0.025891511436325,0.24582684995,keep
per90_head_shots,per90,Attacking output,0.74149544797,0.00119627582496393,0.257308276235,keep
rate_successful_passes,rate,Passing quality,0.7478408394925,0.0364206151654,0.215738545485,keep
per90_losses,per90,Defending,0.7507918417275,0.07141682098425,0.1777913373225,keep
per90_shot_assists,per90,Passing volume,0.75263654082,0.01140201460645,0.23596144459,keep
per90_progressive_run,per90,Progressive actions,0.754005465255,0.043902848386975,0.2020916864025,keep
rate_aerial_duels_won,rate,Dueling,0.77050427556,0.0039308212506,0.22556490315,keep
per90_progressive_passes,per90,Passing volume,0.7719214687175,0.04865863993599999,0.179419891295,keep
per90_fouls_suffered,per90,Discipline,0.778851362315,0.019207917731875,0.201940719855,keep
per90_interceptions,per90,Defending,0.7806371912825,0.0663148090305,0.1530479996,keep
per90_passes_to_final_third,per90,Passing volume,0.7815386401925,0.021985786619525,0.19647557322,keep
per90_received_pass,per90,Passing volume,0.785387695715,0.03514498597065,0.1794673184,keep
per90_defensive_duels,per90,Dueling,0.7860174982225,0.077482891283,0.1364996105385,keep
per90_opponent_half_recoveries,per90,Defending,0.7903941958925,0.00498496762591,0.204620836575,keep
per90_lateral_passes,per90,Passing volume,0.7930684253225,0.019203019177075,0.1877285555675,keep
per90_dribbles,per90,Progressive actions,0.802209070335,0.09474225897425,0.1030486707395,keep
per90_xg_shot,per90,Attacking output,0.8093402956975,0.00154038747260292,0.18911931691,keep
per90_aerial_duels,per90,Dueling,0.810303223145,0.06235049734575,0.12734627950525,keep
per90_back_passes,per90,Passing volume,0.8203870508125,0.00773331251575,0.1718796366225,keep
per90_clearances,per90,Defending,0.8397913331975,0.028625279452325,0.1315833873575,keep
per90_long_passes,per90,Passing volume,0.84156844033,0.004405431260235,0.154026128425,keep
per90_crosses,per90,Passing volume,0.8442934492625,0.0077810389354275,0.147925511705,keep
per90_forward_passes,per90,Passing volume,0.8503167652,0.004307332679915,0.145375902065,keep
per90_passes,per90,Passing volume,0.854161799485,0.009567488789925,0.13627071173,keep
per90_shots,per90,Attacking output,0.8570035421675,0.0100585951664,0.1329378626525,keep
per90_offensive_duels,per90,Dueling,0.8706201427075,0.051638343788,0.0777415134665,keep
per90_touch_in_box,per90,Attacking output,0.87106685668,0.00104985629289682,0.1278832871525,keep
per90_recoveries,per90,Defending,0.887367626605,0.0110822054284,0.10155016803675,keep
