feature,median_abs_std,p90,p95,p99,max_abs_std,n_gt3sd,n_gt5sd
rate_offensive_duels_won,0.43621600877851285,1.3477203106062374,2.006177805864172,3.706602638093025,7.009378406914298,96,18
rate_successful_crosses,0.37395012744801237,1.8163028479654932,1.9801623059586082,3.678723938811537,4.002493894640791,130,0
rate_dribbles_against_won,0.4301358688728917,1.35808383971725,2.056361459449524,3.4948838120405186,4.3760402194964065,149,0
rate_goal_conversion,0.5537597998327881,1.1814821048693098,1.5737017568981293,3.469357043999889,9.075975988479707,65,13
rate_defensive_duels_won,0.4483106007692398,1.3689975372572372,2.0106582181209123,3.453188784141457,12.241413802477801,73,18
per90_xg_shot,0.38856321099767877,1.3654525544683023,1.872091999544904,3.4131240045939797,7.002118210142243,78,8
per90_head_shots,0.3670627835047139,1.3471121619830595,1.8622312218781896,3.3359875542279878,7.159130879837831,63,11
rate_shots_on_target,0.41096833946645633,1.4243241763834034,1.6203273239990161,3.282943945814371,3.9080252362280365,73,0
per90_smart_passes,0.40109267255595915,1.310479403247152,1.7711778094005877,3.245821306806221,14.427789517443882,63,10
per90_goals,0.3822693929644617,1.3479429935246083,1.8014291091382877,3.0445722678732743,6.2319360085922515,55,5
per90_touch_in_box,0.3870522336404636,1.3190662032750282,1.7427021494682113,2.91679014434819,5.34266996078751,42,1
per90_crosses,0.3700482234189334,1.366435730566599,1.8227088191004317,2.911197074348677,5.8521875200821105,45,1
per90_dribbles,0.3772077295209143,1.2459010341103052,1.7072868821144083,2.8989457936573704,6.4951860738212135,42,3
per90_aerial_duels,0.3716043755904388,1.2071687174546872,1.6108636784462278,2.8986797531243984,8.151538406601052,45,6
per90_accelerations,0.4151012456133527,1.2203091530374164,1.674294654964094,2.8133060078478547,5.263344428010298,37,2
per90_offensive_duels,0.39617914463901205,1.23359963913104,1.6444452336473205,2.710204655624675,5.5012068059796055,28,1
per90_assists,0.44848538620990974,1.322891816394438,1.6603092600275202,2.70295522493851,5.703324003023315,28,2
rate_successful_dribbles,0.44128822847757554,1.4268189708390162,1.6813790487680298,2.681770306077776,5.694894291300043,41,16
per90_xg_assist,0.44420119185894535,1.3537820209207267,1.695723849375915,2.656519904729461,7.501184897608531,30,1
per90_shots_blocked,0.42046908304286784,1.282632737102796,1.6861388049286576,2.598609935995249,6.389495144224871,27,3
per90_sliding_tackles,0.39586653870202115,1.229730242770557,1.5815870379578918,2.5983793103962594,6.341782097796497,30,2
per90_key_passes,0.4297621581933912,1.3100006767635792,1.6870301029238237,2.5543017240337984,4.45400101667406,27,0
per90_shot_assists,0.41901092370530657,1.297207307920601,1.6390060776548572,2.5393487696041825,4.975683519661213,21,0
per90_progressive_run,0.3993478563604056,1.2295647358034805,1.598369165591703,2.5192066705231237,4.8319134231828045,19,0
per90_lateral_passes,0.4696137821769014,1.2762025579479728,1.643701542033685,2.5116102158812894,5.520387405093096,20,1
per90_clearances,0.38634490931386356,1.190803330448696,1.5712757327068305,2.496511467763269,6.076847126876135,18,2
per90_shots,0.39303189664376803,1.2470012406095874,1.6121959695624506,2.4791450900194114,4.716615843563019,16,0
per90_through_passes,0.442350646819373,1.1489842978230822,1.5100233190464099,2.4622138222174845,8.038859215285633,28,2
per90_pressing_duels,0.4658887813830671,1.1518886590177737,1.456411019509435,2.451141747204028,4.430159413059992,15,0
per90_received_pass,0.4876229238655944,1.3181777295998116,1.6296565377262369,2.4251073350731267,6.234110990386198,11,1
rate_successful_progressive_passes,0.4376636782073049,1.1783189541033288,1.5071571680388527,2.4028892397266253,5.343786699282808,21,1
per90_dangerous_opponent_half_recoveries,0.4490420613974895,1.2145289726647106,1.529609107543426,2.3923011033804737,4.062625170500468,13,0
per90_long_passes,0.4205666160846606,1.1615900680834639,1.4891337924984336,2.3622842773875483,6.091464568023763,23,1
per90_passes,0.49340923085144,1.2951924246812818,1.6551237731681134,2.3340505757573276,5.667951762074893,9,1
per90_dangerous_own_half_losses,0.4456168903495926,1.1949108185759716,1.5004131838880908,2.3183046681053576,5.386201822607468,10,1
rate_successful_passes,0.4102467428086991,1.1720358490195784,1.4534614720364516,2.3110745123937844,6.3893214656038495,13,1
per90_back_passes,0.4378022879307702,1.2151244491988622,1.5336577766078163,2.3095596542907693,4.417602955805929,10,0
