player_name,player_id,season_id,season_index,feature,eps_std,eps_raw,abs_std
José Antonio Reyes,3477,8504,1,per90_smart_passes,14.427789517443882,6.408204792949979,14.427789517443882
Aitor Fernández,6362,186267,7,rate_defensive_duels_won,12.241413802477801,9.126641580371,12.241413802477801
Sergio Álvarez,3821,9630,2,rate_defensive_duels_won,11.649934152559394,8.685661244766631,11.649934152559394
Fernando Pacheco,3299,10837,3,rate_defensive_duels_won,10.526789631788985,7.848295753375902,10.526789631788985
Dani Cárdenas,404298,189974,11,rate_defensive_duels_won,10.470622980945306,7.806420452100135,10.470622980945306
Kiko Casilla,3785,181144,4,rate_defensive_duels_won,10.445597381380233,7.78776250284283,10.445597381380233
Álex Remiro,230858,189012,10,rate_defensive_duels_won,10.294494547010496,7.675107099363893,10.294494547010496
Juan Soriano,302547,189974,11,rate_defensive_duels_won,10.22343242207134,7.622126409819035,10.22343242207134
A. Aréola,25418,9630,2,rate_defensive_duels_won,10.104049901338463,7.533120230036955,10.104049901338463
G. Mamardashvili,475709,188124,9,rate_defensive_duels_won,9.781202218099802,7.2924196755490405,9.781202218099802
Jesús Owono,627298,189974,11,rate_defensive_duels_won,9.667363053274448,7.207546369905253,9.667363053274448
Roberto Jiménez,3719,185828,6,rate_defensive_duels_won,9.466933212640802,7.058114993187647,9.466933212640802
Joan García,556979,191659,12,rate_defensive_duels_won,9.41702197236819,7.020903441634041,9.41702197236819
Roberto Jiménez,3719,181144,4,rate_defensive_duels_won,9.080498819958981,6.770007079082052,9.080498819958981
S. Savić,8311,10837,3,rate_goal_conversion,9.075975988479707,8.354919810036325,9.075975988479707
Omar Mascarell,4509,191659,12,rate_goal_conversion,8.914031127876315,8.205840931279234,8.914031127876315
Luis Hernández,5472,189012,10,rate_goal_conversion,8.825246740405689,8.124110168808967,8.825246740405689
Y. Bounou,120631,186267,7,rate_goal_conversion,8.605683445077636,7.921990448789689,8.605683445077636
S. Mitrović,128171,189012,10,rate_goal_conversion,8.424049933688446,7.754787117225323,8.424049933688446
M. Musacchio,3526,8504,1,rate_goal_conversion,8.328998414781845,7.667287126117499,8.328998414781845
Nolito,70125,8504,1,per90_smart_passes,8.308804648259521,3.6904143705649832,8.308804648259521
Alexis,3466,9630,2,rate_goal_conversion,8.156128936236582,7.508151554066432,8.156128936236582
Juanmi Latasa,558779,188124,9,per90_aerial_duels,8.151538406601052,3.132561856669599,8.151538406601052
A. Alcáraz,8609,9630,2,rate_goal_conversion,8.099595720334975,7.456109714592535,8.099595720334975
José Antonio Reyes,3477,8504,1,per90_through_passes,8.038859215285633,4.978666332433013,8.038859215285633
Pol Lirola,354123,188124,9,rate_goal_conversion,7.954447816160103,7.3224933298075605,7.954447816160103
M. Krohn-Dehli,56025,8504,1,per90_smart_passes,7.705590311056797,3.4224924548643805,7.705590311056797
Unai Simón,344059,188124,9,rate_defensive_duels_won,7.597986477779006,5.664713278555983,7.597986477779006
Edu Expósito,499843,191659,12,per90_xg_assist,7.501184897608531,4.701860785029234,7.501184897608531
L. Messi,3359,8504,1,per90_smart_passes,7.195815821183953,3.1960725084562944,7.195815821183953
A. Sørloth,55224,189974,11,per90_head_shots,7.159130879837831,3.547590070703085,7.159130879837831
M. Dmitrović,140046,187526,8,rate_offensive_duels_won,-7.009378406914298,-5.022124535251752,7.009378406914298
A. Sørloth,55224,189974,11,per90_xg_shot,7.002118210142243,2.7915337650739094,7.002118210142243
Rui Silva,222746,189974,11,rate_offensive_duels_won,-6.951648795565149,-4.980762051913556,6.951648795565149
Álvaro Rodríguez,788748,189974,11,per90_aerial_duels,6.830707672747038,2.624978653401193,6.830707672747038
Aitor Fernández,6362,189012,10,rate_aerial_duels_won,-6.830582494430839,-3.8707785953720064,6.830582494430839
Fernando Pacheco,3299,185828,6,rate_offensive_duels_won,-6.82545949315614,-4.890349128694937,6.82545949315614
K. Gameiro,25445,8504,1,per90_xg_shot,6.80617683442856,2.713417836455694,6.80617683442856
Juanmi Latasa,558779,189974,11,per90_aerial_duels,-6.588544984398433,-2.5319177411180456,6.588544984398433
T. Courtois,3429,187526,8,rate_offensive_duels_won,-6.5709421085875865,-4.70799087558237,6.5709421085875865
Ander Barrenetxea,596052,185828,6,per90_dribbles,6.4951860738212135,2.3227999541358018,6.4951860738212135
Gorka Iraizoz,3399,181144,4,rate_defensive_duels_won,6.453443184675694,4.811393835400072,6.453443184675694
Fernando Calero,450769,191659,12,per90_shots_blocked,6.389495144224871,3.9842568434390895,6.389495144224871
Miguel Ángel Moyà,3994,8504,1,rate_successful_passes,-6.3893214656038495,-3.5546274908595024,6.3893214656038495
Adrián Marín,286994,9630,2,per90_sliding_tackles,6.341782097796497,3.766798280112026,6.341782097796497
Joselu,3327,189012,10,per90_aerial_duels,-6.2507484683729375,-2.402105621167724,6.2507484683729375
K. Navas,3915,181144,4,rate_defensive_duels_won,6.245170907550967,4.656115494587809,6.245170907550967
Carles Aleñà,282442,185641,5,per90_received_pass,6.234110990386198,3.152284988521388,6.234110990386198
A. Sørloth,55224,189974,11,per90_goals,6.2319360085922515,3.6223083865121755,6.2319360085922515
Fernando,70094,186267,7,rate_goal_conversion,6.204822301795648,5.71186975734952,6.204822301795648
Aitor Paredes,549129,189974,11,rate_goal_conversion,6.160450364728452,5.671023023457433,6.160450364728452
M. Wakaso,3538,10837,3,per90_sliding_tackles,6.134091932242619,3.6434375360277476,6.134091932242619
Kike García,3874,191659,12,per90_xg_shot,6.130321376916006,2.44397460894448,6.130321376916006
Iñaki Peña,367389,191659,12,per90_long_passes,6.091464568023763,2.804885751698276,6.091464568023763
B. Espinosa,3692,9630,2,per90_clearances,6.076847126876135,2.4885597131626076,6.076847126876135
Diego López,634666,188124,9,per90_xg_shot,6.060673835205975,2.4162082304711303,6.060673835205975
Aymeric Laporte,134502,191659,12,per90_shots_blocked,6.015232591259009,3.750880323974167,6.015232591259009
M. Diakhaby,292654,189974,11,per90_head_shots,5.975904448642305,2.9612615890539584,5.975904448642305
J. Cillessen,33,187526,8,rate_offensive_duels_won,-5.937543306823252,-4.254169227174593,5.937543306823252
Sergio Rico,3458,10837,3,rate_offensive_duels_won,-5.88822347766218,-4.218832238682159,5.88822347766218
Rubén Peña,225948,185641,5,per90_crosses,5.8521875200821105,2.22578643472599,5.8521875200821105
David Soria,278320,185828,6,rate_offensive_duels_won,-5.801554974757609,-4.156735432146329,5.801554974757609
A. Ezzalzouli,643199,187526,8,per90_dribbles,5.759838281868401,2.059825837919763,5.759838281868401
Jaime Mata,7629,188124,9,per90_head_shots,5.738995003790169,2.843864993249265,5.738995003790169
Aitor Fernández,6362,188124,9,rate_offensive_duels_won,-5.722173675045429,-4.099859807835411,5.722173675045429
O. Dembélé,286390,187526,8,per90_assists,5.703324003023315,5.07730530781539,5.703324003023315
R.García Escudero,3503,188124,9,per90_head_shots,5.696527694038097,2.8228210133396066,5.696527694038097
Juanpe,4360,189974,11,rate_successful_dribbles,-5.694894291300043,-5.325976172920767,5.694894291300043
Fernando Pacheco,3299,187526,8,rate_defensive_duels_won,5.676897098873384,4.232436379168735,5.676897098873384
Carles Aleñà,282442,185641,5,per90_passes,5.667951762074893,2.5766334592385345,5.667951762074893
Andrés Fernández,3486,185641,5,rate_offensive_duels_won,-5.631530893417776,-4.034915484511869,5.631530893417776
S. Savić,8311,185641,5,rate_successful_dribbles,-5.616142525640436,-5.2523259862756415,5.616142525640436
Rafa Mir,364845,186267,7,per90_head_shots,5.5721389525543845,2.7611822094678065,5.5721389525543845
Álvaro Odriozola,278289,186267,7,rate_goal_conversion,5.546464417264238,5.105816222330586,5.546464417264238
Iborra,3928,8504,1,per90_aerial_duels,5.524261991057067,2.1229234944684174,5.524261991057067
