feature,icc_player_model,icc_outfield,icc_residual,decision,rationale
rate_successful_crosses,0.026345904576775,0.0751,0.9697878111975,drop,icc_player_model=0.026; well below 0.20 threshold; outfield-only ICC even lower
rate_successful_sliding_tackles,0.0490659732185,0.0867,0.9391249827225,drop,icc_player_model=0.049; well below 0.20 threshold; outfield-only ICC even lower
rate_dribbles_against_won,0.15478400741,0.3003,0.8392222179025,drop,icc_player_model=0.155; well below 0.20 threshold; outfield-only ICC even lower
rate_shots_on_target,0.1610181042175,0.1995,0.8369000001725,drop,icc_player_model=0.161; well below 0.20 threshold; outfield-only ICC even lower
rate_goal_conversion,0.176508680465,0.2021,0.820542880085,drop,icc_player_model=0.177; well below 0.20 threshold; outfield-only ICC even lower
rate_defensive_duels_won,0.21956395802,0.3893,0.6497335723275,"keep (borderline pre-GK; keep-tier post-GK, icc_outfield=0.389)",icc_player_model=0.220 (borderline) but this is GK-confounded; icc_outfield=0.389 (keep-tier)
rate_successful_dribbles,0.2288792289375,0.2451,0.763144308955,keep (borderline; p99 unremarkable),"icc_player_model=0.229 (borderline); icc_outfield=0.245; p99 unremarkable (3.37 expected, 2.68 observed)"
per90_assists,0.3816502063675,0.3718,0.6036268348,keep,icc_player_model=0.382
rate_offensive_duels_won,0.4094234239425,0.4705,0.578246504655,keep,icc_player_model=0.409
per90_smart_passes,0.44033595837,0.5719,0.19131173275075,keep,icc_player_model=0.44
per90_yellow_cards,0.4406178883525,0.3959,0.5429794028275,keep,icc_player_model=0.441
per90_dangerous_opponent_half_recoveries,0.4599007598225,0.3819,0.532338138715,keep,icc_player_model=0.46
per90_pressing_duels,0.4653666637375,0.5236,0.2296483560075,keep,icc_player_model=0.465
rate_successful_progressive_passes,0.465975769415,0.5184,0.4473601605325,keep,icc_player_model=0.466
per90_dangerous_own_half_losses,0.4767370513475,0.4396,0.508265075185,keep,icc_player_model=0.477
per90_through_passes,0.57776786549,0.6466,0.29138752802,keep,icc_player_model=0.578
per90_accelerations,0.6028725191875,0.6175,0.24344524221825,keep,icc_player_model=0.603
per90_sliding_tackles,0.6093377836475,0.6352,0.2779838034425,keep,icc_player_model=0.609
per90_key_passes,0.648058729305,0.6303,0.34697012162,keep,icc_player_model=0.648
per90_goals,0.64933393634,0.6611,0.3446146385725,keep,icc_player_model=0.649
per90_shots_blocked,0.6581380535775,0.636,0.326485867135,keep,icc_player_model=0.658
per90_xg_assist,0.6589285731725,0.6479,0.3325171089925,keep,icc_player_model=0.659
per90_own_half_losses,0.673475739015,0.5284,0.3084944779775,keep,icc_player_model=0.673
per90_dribbles_against,0.69932018073,0.6951,0.172967591075,keep,icc_player_model=0.699
per90_loose_ball_duels,0.7182396514175,0.6768,0.1683698408725,keep,icc_player_model=0.718
per90_fouls,0.7282816387925,0.6449,0.24582684995,keep,icc_player_model=0.728
per90_head_shots,0.74149544797,0.723,0.257308276235,keep,icc_player_model=0.741
rate_successful_passes,0.7478408394925,0.7943,0.215738545485,keep,icc_player_model=0.748
per90_losses,0.7507918417275,0.7017,0.1777913373225,keep,icc_player_model=0.751
per90_shot_assists,0.75263654082,0.7459,0.23596144459,keep,icc_player_model=0.753
per90_progressive_run,0.754005465255,0.7539,0.2020916864025,keep,icc_player_model=0.754
rate_aerial_duels_won,0.77050427556,0.6734,0.22556490315,keep,icc_player_model=0.771
per90_progressive_passes,0.7719214687175,0.8172,0.179419891295,keep,icc_player_model=0.772
per90_fouls_suffered,0.778851362315,0.7455,0.201940719855,keep,icc_player_model=0.779
per90_interceptions,0.7806371912825,0.793,0.1530479996,keep,icc_player_model=0.781
per90_passes_to_final_third,0.7815386401925,0.8018,0.19647557322,keep,icc_player_model=0.782
per90_received_pass,0.785387695715,0.7861,0.1794673184,keep,icc_player_model=0.785
per90_defensive_duels,0.7860174982225,0.7091,0.1364996105385,keep,icc_player_model=0.786
per90_opponent_half_recoveries,0.7903941958925,0.7096,0.204620836575,keep,icc_player_model=0.79
per90_lateral_passes,0.7930684253225,0.8003,0.1877285555675,keep,icc_player_model=0.793
per90_dribbles,0.802209070335,0.8272,0.1030486707395,keep,icc_player_model=0.802
per90_xg_shot,0.8093402956975,0.8094,0.18911931691,keep,icc_player_model=0.809
per90_aerial_duels,0.810303223145,0.8155,0.12734627950525,keep,icc_player_model=0.81
per90_back_passes,0.8203870508125,0.7704,0.1718796366225,keep,icc_player_model=0.82
per90_clearances,0.8397913331975,0.8447,0.1315833873575,keep,icc_player_model=0.84
per90_long_passes,0.84156844033,0.8317,0.154026128425,keep,icc_player_model=0.842
per90_crosses,0.8442934492625,0.8406,0.147925511705,keep,icc_player_model=0.844
per90_forward_passes,0.8503167652,0.86,0.145375902065,keep,icc_player_model=0.85
per90_passes,0.854161799485,0.8271,0.13627071173,keep,icc_player_model=0.854
per90_shots,0.8570035421675,0.852,0.1329378626525,keep,icc_player_model=0.857
per90_offensive_duels,0.8706201427075,0.8774,0.0777415134665,keep,icc_player_model=0.871
per90_touch_in_box,0.87106685668,0.866,0.1278832871525,keep,icc_player_model=0.871
per90_recoveries,0.887367626605,0.8884,0.10155016803675,keep,icc_player_model=0.887
