feature,icc_all,icc_outfield,delta,icc_player_model
rate_defensive_duels_won,0.2429,0.3893,-0.1464,0.21956395802
per90_own_half_losses,0.6711,0.5284,0.1427,0.673475739015
per90_defensive_duels,0.8148,0.7091,0.1057,0.7860174982225
per90_loose_ball_duels,0.7714,0.6768,0.0946,0.7182396514175
rate_aerial_duels_won,0.768,0.6734,0.0946,0.77050427556
per90_dangerous_opponent_half_recoveries,0.4754,0.3819,0.0935,0.4599007598225
per90_fouls,0.7316,0.6449,0.0867,0.7282816387925
per90_losses,0.7855,0.7017,0.0838,0.7507918417275
per90_opponent_half_recoveries,0.7923,0.7096,0.0827,0.7903941958925
rate_dribbles_against_won,0.2191,0.3003,-0.0812,0.15478400741
per90_dribbles_against,0.7563,0.6951,0.0612,0.69932018073
per90_back_passes,0.8296,0.7704,0.0592,0.8203870508125
rate_offensive_duels_won,0.4164,0.4705,-0.0541,0.4094234239425
per90_yellow_cards,0.4457,0.3959,0.0498,0.4406178883525
per90_dangerous_own_half_losses,0.4825,0.4396,0.0429,0.4767370513475
per90_fouls_suffered,0.7817,0.7455,0.0362,0.778851362315
per90_key_passes,0.6598,0.6303,0.0295,0.648058729305
per90_pressing_duels,0.5526,0.5236,0.029,0.4653666637375
per90_xg_assist,0.6746,0.6479,0.0267,0.6589285731725
per90_assists,0.3979,0.3718,0.0261,0.3816502063675
per90_sliding_tackles,0.6608,0.6352,0.0256,0.6093377836475
per90_accelerations,0.643,0.6175,0.0255,0.6028725191875
rate_successful_passes,0.7693,0.7943,-0.025,0.7478408394925
per90_shots_blocked,0.6608,0.636,0.0248,0.6581380535775
per90_shot_assists,0.7706,0.7459,0.0247,0.75263654082
per90_progressive_run,0.7782,0.7539,0.0243,0.754005465255
per90_interceptions,0.8145,0.793,0.0215,0.7806371912825
per90_through_passes,0.6676,0.6466,0.021,0.57776786549
per90_aerial_duels,0.8362,0.8155,0.0207,0.810303223145
per90_smart_passes,0.5899,0.5719,0.018,0.44033595837
per90_passes,0.8435,0.8271,0.0164,0.854161799485
per90_received_pass,0.8019,0.7861,0.0158,0.785387695715
per90_offensive_duels,0.8923,0.8774,0.0149,0.8706201427075
per90_shots,0.8668,0.852,0.0148,0.8570035421675
per90_progressive_passes,0.8035,0.8172,-0.0137,0.7719214687175
per90_dribbles,0.8406,0.8272,0.0134,0.802209070335
per90_goals,0.6735,0.6611,0.0124,0.64933393634
rate_successful_dribbles,0.2333,0.2451,-0.0118,0.2288792289375
per90_touch_in_box,0.8778,0.866,0.0118,0.87106685668
per90_crosses,0.8523,0.8406,0.0117,0.8442934492625
per90_long_passes,0.8426,0.8317,0.0109,0.84156844033
per90_xg_shot,0.8201,0.8094,0.0107,0.8093402956975
per90_head_shots,0.7336,0.723,0.0106,0.74149544797
rate_successful_sliding_tackles,0.0761,0.0867,-0.0106,0.0490659732185
per90_forward_passes,0.8516,0.86,-0.0084,0.8503167652
per90_lateral_passes,0.8067,0.8003,0.0064,0.7930684253225
rate_goal_conversion,0.1958,0.2021,-0.0063,0.176508680465
per90_clearances,0.8509,0.8447,0.0062,0.8397913331975
per90_recoveries,0.8943,0.8884,0.0059,0.887367626605
rate_shots_on_target,0.1943,0.1995,-0.0052,0.1610181042175
per90_passes_to_final_third,0.8058,0.8018,0.004,0.7815386401925
rate_successful_progressive_passes,0.5174,0.5184,-0.001,0.465975769415
rate_successful_crosses,0.0744,0.0751,-7e-4,0.026345904576775
