feature,p99,p99_excess,max_abs_std,n_gt5sd,genuinely_underfitting,skewness,recommended_transform,icc_player,icc_season,verdict
rate_offensive_duels_won,3.706602638093025,0.336,7.009378406914298,18,TRUE,0.7530749149013002,none,0.4094234239425,0.012330071454725,contamination-driven
rate_successful_crosses,3.678723938811537,0.308,4.002493894640791,0,TRUE,1.1367900478001751,sqrt,0.026345904576775,0.00386628425492687,drop_candidate_rate
rate_dribbles_against_won,3.4948838120405186,0.124,4.3760402194964065,0,TRUE,0.1530795118826627,none,0.15478400741,0.00599377464469842,drop_candidate_rate
rate_goal_conversion,3.469357043999889,0.098,9.075975988479708,13,TRUE,2.370237384437768,log1p,0.176508680465,0.00294843948304499,drop_candidate_rate
rate_defensive_duels_won,3.453188784141457,0.082,12.2414138024778,18,TRUE,1.9667647618742357,sqrt,0.21956395802,0.13070246963124998,GK-contaminated
per90_xg_shot,3.4131240045939797,0.042,7.002118210142243,8,TRUE,1.8697431121864363,sqrt,0.8093402956975,0.00154038747260292,contamination-driven
per90_head_shots,3.335987554227988,-0.035,7.159130879837831,11,FALSE,2.3274789159976117,log1p,0.74149544797,0.00119627582496393,unremarkable_p99
rate_shots_on_target,3.282943945814371,-0.088,3.908025236228037,0,FALSE,0.46817059876087,none,0.1610181042175,0.00208189564138492,unremarkable_p99
per90_smart_passes,3.245821306806221,-0.125,14.427789517443882,10,FALSE,3.130602606645216,log1p,0.44033595837,0.368352308885,unremarkable_p99
per90_goals,3.0445722678732743,-0.326,6.2319360085922515,5,FALSE,2.293489375295159,log1p,0.64933393634,0.00605142503328749,unremarkable_p99
per90_touch_in_box,2.91679014434819,-0.454,5.34266996078751,1,FALSE,1.22884502008856,sqrt,0.87106685668,0.00104985629289682,unremarkable_p99
per90_crosses,2.911197074348677,-0.46,5.8521875200821105,1,FALSE,1.2018043088269952,sqrt,0.8442934492625,0.0077810389354275,unremarkable_p99
per90_dribbles,2.8989457936573704,-0.472,6.4951860738212135,3,FALSE,1.613770029357501,sqrt,0.802209070335,0.09474225897425,unremarkable_p99
per90_aerial_duels,2.8986797531243984,-0.472,8.151538406601052,6,FALSE,1.9451529938625691,sqrt,0.810303223145,0.06235049734575,unremarkable_p99
per90_accelerations,2.8133060078478547,-0.558,5.263344428010298,2,FALSE,1.71294788261713,sqrt,0.6028725191875,0.1536822384545,unremarkable_p99
