variable,q5,q95,mean,rhat,ess_bulk,true_value,covered_90,abs_bias
"Lambda_a[1,1]",0.8917679869999999,1.123285605,1.00667457724,1.0005769951677534,2283.349942731586,1.2,FALSE,0.19332542275999987
"Lambda_a[2,1]",0.18380220349999998,0.472919965,0.3293668859995,0.9998549323881029,1395.564109661777,0.3,TRUE,0.029366885999499992
"Lambda_a[3,1]",0.6573818885000001,0.8682064635,0.76064879319,1.0026011962521415,2747.1056004307707,0.8,TRUE,0.03935120681000004
"Lambda_a[4,1]",-0.6423897535,-0.46765136,-0.55595275188,1.0015897538305445,1863.9709680386243,-0.6,TRUE,0.04404724811999994
"Lambda_a[5,1]",-0.492400302,-0.323898226,-0.40642045704,1.0037117660983494,2558.5668029017875,-0.5,FALSE,0.09357954295999998
"Lambda_a[6,1]",0.489635658,0.7135639445,0.599752288,1.0000358992230018,1744.0709166625034,0.7,TRUE,0.10024771199999993
"Lambda_a[7,1]",0.3293375015,0.468405423,0.397198671485,1.000576393543887,2742.22409135937,0.4,TRUE,0.0028013285150000344
"Lambda_a[8,1]",-0.06720948889999999,0.16214153349999996,0.0498281477891295,1.000258552643916,1491.138693392742,0,TRUE,0.0498281477891295
"Lambda_a[9,1]",-0.17480742300000002,-0.003563007055,-0.0906924461378385,1.0075534145156075,2236.5000092960927,0,FALSE,0.0906924461378385
"Lambda_a[10,1]",-0.11112027199999999,0.10550997299999999,-0.0038830079420184996,1.0041029189287958,1477.9277800191846,0,TRUE,0.0038830079420184996
"Lambda_a[1,2]",0,0,0,NA,NA,0,TRUE,0
"Lambda_a[2,2]",0.8186879690000001,1.01805364,0.916279078695,0.9997075286200839,2286.865431161476,0.9,TRUE,0.016279078695000004
"Lambda_a[3,2]",-0.2459593755,-0.03453713375000001,-0.139209833174795,0.9986313895271872,2266.410257860919,0,FALSE,0.139209833174795
"Lambda_a[4,2]",-0.42261996,-0.2606507755,-0.341817157065,1.0004989517190908,1986.8422510264184,-0.4,TRUE,0.058182842935000034
"Lambda_a[5,2]",-0.016339079450000002,0.153197062,0.06645648139564,1.0044282666561355,2569.561136992697,0,TRUE,0.06645648139564
"Lambda_a[6,2]",0.2925089245,0.49817291649999995,0.39434784648,1.0002980667665244,2396.7929140070382,0.5,FALSE,0.10565215352000001
"Lambda_a[7,2]",-0.07502872615,0.06855273625000001,-0.005507156607587,1.0005567347777098,2637.937833926405,0,TRUE,0.005507156607587
"Lambda_a[8,2]",0.43782665499999995,0.6342363305000001,0.533592651375,1.005801430124293,2294.895948007684,0.6,TRUE,0.06640734862499997
"Lambda_a[9,2]",-0.3856498365,-0.22898267850000004,-0.305021564545,0.9996444865524584,3369.8076833678742,-0.3,TRUE,0.0050215645450000235
"Lambda_a[10,2]",0.6043725935,0.7538185575,0.6791618918,1.0059281623938239,2134.8926924323396,0.7,TRUE,0.020838108199999983
psi_a[1],0.5033292785000001,0.7154602004999999,0.610180423525,0.9998439302963485,2261.7535327485994,0.5,FALSE,0.11018042352500002
psi_a[2],0.1136298735,0.421467267,0.290214876985315,1.0038137069305824,1101.8465665999793,0.4,TRUE,0.10978512301468502
psi_a[3],0.507920905,0.6856459349999999,0.594002469615,1.0024188925914639,2912.653008704785,0.6,TRUE,0.0059975303849999495
psi_a[4],0.239034587,0.39352844000000003,0.316295292375,1.002080876282063,2740.057091310208,0.3,TRUE,0.016295292374999992
psi_a[5],0.42661545700000003,0.5660841595,0.49441259775,1.0068941482416638,3376.091635677473,0.5,TRUE,0.005587402249999984
psi_a[6],0.5250550995,0.6860703089999999,0.60522440558,1.0005574486640259,2590.0909543789717,0.7,FALSE,0.09477559441999994
psi_a[7],0.284890198,0.4342150435,0.35933883805,1.0033996494478297,2786.1155677428937,0.4,TRUE,0.040661161950000024
psi_a[8],0.5426296654999999,0.693558356,0.616658033935,1.0009186871907672,3112.8574131227,0.5,FALSE,0.11665803393499996
psi_a[9],0.44263917199999997,0.5773083155,0.507593342225,1.0003432815326503,3162.6920483296462,0.6,FALSE,0.09240665777500001
psi_a[10],0.126597535,0.35930351149999995,0.25463346913035,1.0042710101214647,1027.7529311135356,0.3,TRUE,0.04536653086964998
sigma_b[1],0.261222947,0.597077054,0.40110791423500003,1.0034310639130306,956.8962664700654,0.4,TRUE,0.001107914235000007
sigma_b[2],0.232445879,0.530641855,0.354038782,1.0042288277210567,879.2304771166746,0.4,TRUE,0.045961218000000026
sigma_b[3],0.2244951145,0.541540436,0.349424540965,0.9997791674678903,868.999951341665,0.4,TRUE,0.05057545903500005
sigma_b[4],0.35974540050000003,0.769684375,0.53363607543,1.002692910636833,979.3591618390581,0.4,TRUE,0.13363607543
sigma_b[5],0.32902912900000003,0.7191989859999999,0.48823711364,1.001155010088812,956.2596526447801,0.4,TRUE,0.08823711363999998
sigma_b[6],0.3217086015,0.6860966875,0.46773919458,1.0017627518817567,969.0892466692275,0.4,TRUE,0.06773919458
sigma_b[7],0.195869482,0.45574592099999994,0.305988594565,1.0040149409060046,742.8192134594467,0.4,TRUE,0.09401140543500003
sigma_b[8],0.169244704,0.42535226749999994,0.273590422435,1.0034189358373085,694.6218721335177,0.4,TRUE,0.12640957756500004
sigma_b[9],0.281572098,0.6525611625000001,0.434252566875,1.0013732583023307,830.701616241443,0.4,TRUE,0.034252566875
sigma_b[10],0.286741894,0.631615318,0.4282262604,1.0036148742009243,966.2574046384882,0.4,TRUE,0.02822626039999998
sigma_e[1],0.5499699935,0.6185215295,0.5828820225,0.9990737704531378,2826.926879886236,0.6,TRUE,0.017117977499999992
sigma_e[2],0.5785837949999999,0.6516353265,0.6141601132,1.000440253630085,2886.9121043426444,0.6,TRUE,0.01416011319999999
sigma_e[3],0.5239491775,0.5875706215,0.55448711006,0.9994734411904781,2586.847176026956,0.6,FALSE,0.04551288994000002
sigma_e[4],0.5620662730000001,0.6308092085,0.59588590986,0.9997114052940451,3209.1431847603126,0.6,TRUE,0.004114090139999971
sigma_e[5],0.5504407695,0.618955362,0.58256063745,1.0071994740624741,3058.886797394413,0.6,TRUE,0.017439362550000004
sigma_e[6],0.5789585575,0.651105736,0.613306596405,0.9993939505196977,2744.6669381076003,0.6,TRUE,0.013306596404999982
sigma_e[7],0.5855318695,0.659787845,0.6215311411,1.0014904061589964,2671.0795921482522,0.6,TRUE,0.021531141099999984
sigma_e[8],0.5682176925,0.6385836735,0.603131079785,1.0066266984676508,3989.4570649558227,0.6,TRUE,0.003131079785000046
sigma_e[9],0.5677497275,0.6379782655,0.601148227305,1.0001907179782943,2699.3354397843627,0.6,TRUE,0.0011482273049999714
sigma_e[10],0.5207041429999999,0.5845440485000001,0.551577476515,1.007327888847975,2830.5878276334383,0.6,FALSE,0.04842252348499998
