variable,q5,q95,mean,rhat,ess_bulk,true_value,covered_90,abs_bias
"Lambda_a[1,1]",1.130539525,1.243898555,1.18788942485,1.0010015073634144,2916.919146872586,1.2,TRUE,0.012110575149999914
"Lambda_a[2,1]",0.2686590845,0.3889572495,0.326976146445,1.0009415430080502,2132.5078858879156,0.3,TRUE,0.026976146445000015
"Lambda_a[3,1]",0.7820159555,0.879099961,0.829824044465,1.0015006191387201,2599.0740771327887,0.8,TRUE,0.029824044464999977
"Lambda_a[4,1]",-0.6421555175,-0.5587040365,-0.599935883215,1.0017814804839835,2262.4402863271744,-0.6,TRUE,6.411678499995688e-5
"Lambda_a[5,1]",-0.572749653,-0.494027325,-0.53356022841,1.001617729264768,3024.503039172654,-0.5,TRUE,0.03356022840999995
"Lambda_a[6,1]",0.6623893615,0.779515486,0.71985729443,1.0000769626205117,2271.73654140147,0.7,TRUE,0.01985729443000006
"Lambda_a[7,1]",0.37984884449999995,0.444917349,0.412901558865,1.0013265777423646,2617.9182930717284,0.4,TRUE,0.012901558864999996
"Lambda_a[8,1]",-0.03770926885,0.06194333659999998,0.010323022324714,1.000259558679898,2244.3423147172402,0,TRUE,0.010323022324714
"Lambda_a[9,1]",-0.03699999235,0.046251348399999996,0.0048026877956105,1.003061704444659,2847.762530013486,0,TRUE,0.0048026877956105
"Lambda_a[10,1]",-0.018408359149999998,0.07738058939999999,0.027632428771628498,1.0024824023332675,2402.2111475217266,0,TRUE,0.027632428771628498
"Lambda_a[1,2]",0,0,0,NA,NA,0,TRUE,0
"Lambda_a[2,2]",0.83996857,0.9355169889999999,0.88815659921,1.0023710715601661,3097.891864697149,0.9,TRUE,0.011843400790000014
"Lambda_a[3,2]",-0.08078530155000001,0.01488623509999999,-0.03314682717644145,0.9993354953619195,3156.7449196690122,0,TRUE,0.03314682717644145
"Lambda_a[4,2]",-0.4503105675,-0.3768415775,-0.413566477535,1.0001524343930888,2780.098169707114,-0.4,TRUE,0.013566477534999954
"Lambda_a[5,2]",-0.01902258315,0.056397246049999995,0.018465206412034,0.9997511410108534,3655.258155541135,0,TRUE,0.018465206412034
"Lambda_a[6,2]",0.451209209,0.5614367165,0.50618692512,1.0028163047639327,2878.557584090082,0.5,TRUE,0.006186925119999964
"Lambda_a[7,2]",-0.04169930975,0.021058356949999996,-0.0104542386644415,0.9996934816044638,3428.8153429566673,0,TRUE,0.0104542386644415
"Lambda_a[8,2]",0.582963382,0.6710340899999999,0.62658126919,1.0005425220075712,3244.0660679324706,0.6,TRUE,0.026581269190000034
"Lambda_a[9,2]",-0.3513343635,-0.2749791455,-0.31298364025,0.9992692365790674,3435.3226348071853,-0.3,TRUE,0.012983640249999984
