feature,group,p50_abs,p90_abs,p95_abs,p99_abs,max_abs,frac_gt_tau99
per90_aerial_duels,Dueling,0.42621899781312017,1.333058762415705,1.9277791318396975,4.288805132495564,10.934147204457721,0.017226341037941562
per90_accelerations,Progressive actions,0.456761379217767,1.4291111143122568,1.9731327233487532,3.6808267195359314,8.253096232460592,0.016790231138246837
per90_xg_shot,Attacking output,0.4532672975371512,1.4829124753504899,2.0213937540367515,3.595397117135337,6.717708284596552,0.017880505887483647
rate_offensive_duels_won,Dueling,0.49981412671781966,1.4438916773689312,1.8794108272665415,3.4777565974699884,6.281835380835462,0.013737461840383776
per90_sliding_tackles,Defending,0.46304515339421437,1.3736264293354892,1.8851463115976745,3.4639707159673554,7.881873613158918,0.0141735717400785
per90_progressive_run,Progressive actions,0.4564810086084217,1.3959861957606372,1.9553069163559669,3.391381471826982,9.474013865209965,0.0141735717400785
per90_goals,Attacking output,0.4743965890727361,1.4938946255937373,2.0125879833280353,3.389643750038452,6.084150978979699,0.0141735717400785
per90_pressing_duels,Dueling,0.4883655509953136,1.3776004307057268,1.8871565487494,3.3681883053506247,8.04160776980809,0.013301351940689054
per90_touch_in_box,Attacking output,0.43748157230470597,1.4587862824386284,2.0206525524169594,3.367587407669272,7.78962017225945,0.016136066288704752
per90_offensive_duels,Dueling,0.42945183637478673,1.4095735051843081,1.916061190636327,3.3633973389424887,7.761432384721231,0.014609681639773223
rate_successful_dribbles,Progressive actions,0.4944681959569389,1.5422443615936476,1.9594464900437132,3.3401926230116192,9.783826194349684,0.012211077191452245
per90_xg_assist,Attacking output,0.5219754621602886,1.5282005782875396,1.9722358823213226,3.242079706996332,7.259861757261977,0.013955516790231139
per90_assists,Attacking output,0.5538147018515096,1.5266444645174346,1.933225309681942,3.238909070466583,7.417856926990566,0.013301351940689054
rate_successful_progressive_passes,Passing quality,0.5279250005413645,1.450305320207903,1.892647557359591,3.147019948484154,6.941577632752418,0.010466637592673354
per90_passes,Passing volume,0.5582120672177007,1.4758324899643709,1.9131464145289727,3.1399992229034295,6.296534002339404,0.010902747492368076
per90_received_pass,Passing volume,0.5443262250847984,1.5057181374756443,1.9538999598095053,3.117937991526126,5.754900016024809,0.011120802442215439
per90_lateral_passes,Passing volume,0.5221510594406086,1.4516446409045165,1.8631782862298116,3.07637095351367,5.644184505181325,0.010466637592673354
per90_passes_to_final_third,Passing volume,0.4973139108104159,1.400437211543118,1.8458471424878864,3.0524609237908082,7.212065775126348,0.009594417793283908
rate_successful_passes,Passing quality,0.49030861831570827,1.432238954232629,1.8449473369704323,2.956009661951237,6.98237888129705,0.008286088094199739
per90_losses,Defending,0.4943241021574594,1.3773155178985528,1.7247638198450845,2.886142985079556,6.930020204490753,0.007631923244657654
per90_dangerous_own_half_losses,Defending,0.5633351144554636,1.475811690340128,1.8684106086684047,2.8710522507768976,6.620552759876338,0.008286088094199739
per90_loose_ball_duels,Dueling,0.4849770745867089,1.3582154272656846,1.7567707774361434,2.8090509133737154,8.62595900244275,0.007631923244657654
per90_dribbles_against,Defending,0.5035884332613942,1.4059505020668868,1.8148965053561945,2.77965470428852,6.092661647766798,0.007631923244657654
per90_opponent_half_recoveries,Defending,0.49486907270422265,1.3363905416227708,1.7197284537787918,2.76578002047885,5.628658926461578,0.0065416484954208464
rate_aerial_duels_won,Dueling,0.5132127955478583,1.428959679217245,1.773195997700904,2.7296615732215868,5.355049248676389,0.004579153946794592
per90_forward_passes,Passing volume,0.5229792818504728,1.4592068861175118,1.822657245127262,2.7214816086878484,5.3070105227445366,0.006323593545573485
per90_shot_assists,Passing volume,0.5254804925648107,1.498545139104491,1.8567883137085055,2.7145420718125575,5.08854016009346,0.005451373746184038
per90_key_passes,Passing volume,0.5255472874111348,1.5111061321167076,1.8900459366761395,2.702208768399181,5.169138877382534,0.005015263846489315
