feature,p50_abs,p90_abs,p95_abs,p99_abs,max_abs,frac_gt_tau99
per90_aerial_duels,0.4138510316369076,1.3200306057216775,1.919017103502032,4.152931288095762,16.59249525411195,0.0198430004361099
per90_accelerations,0.44999681997581287,1.4200800285607036,1.9777275824921696,3.6911630577871697,8.519228888504081,0.016354121238552115
per90_xg_shot,0.43571793801725744,1.4571565284440084,2.0318531583819364,3.683958020589525,6.910551386326279,0.01744439598778892
per90_touch_in_box,0.4138547928479714,1.4446603941240583,2.03509870910458,3.5811493192796298,6.3707805457498266,0.016136066288704752
rate_successful_progressive_passes,0.5003346810480854,1.4546142108545994,1.9811392281456135,3.5011160379336457,9.049037830636859,0.0141735717400785
rate_offensive_duels_won,0.4869914726235751,1.4274723420775408,1.9138565775717955,3.480256256941865,7.779658369493355,0.013737461840383776
per90_offensive_duels,0.41421954970534625,1.3856978865710308,1.8907580584328276,3.424810048902285,7.7717707192049525,0.0141735717400785
per90_sliding_tackles,0.44628780666139833,1.3769057720106856,1.852951436807179,3.3588389479523655,9.874496584440056,0.013083296990841693
per90_pressing_duels,0.5096690669925452,1.3425218724790509,1.7553848941080405,3.3540963341303867,7.396123131484047,0.011993022241604884
per90_progressive_run,0.43764125285434263,1.3954551341016803,1.8544173240890305,3.2839624608310096,11.656988996185653,0.01264718709114697
per90_assists,0.5244564241003995,1.5770292625354547,1.9880623401806172,3.2792068966252703,6.818790859857821,0.013083296990841693
per90_goals,0.4351553453497672,1.5310862399824234,2.038137789943789,3.272930602404746,5.588770379015428,0.011993022241604884
per90_xg_assist,0.5141176954029956,1.5599435145476714,1.9536922845818234,3.2723553518285597,8.005213257682277,0.01155691234191016
rate_successful_dribbles,0.46985592016873384,1.5659713073833879,1.9675707021614233,3.10191880999308,7.780192644196461,0.00981247274313127
per90_dangerous_own_half_losses,0.5279959326740713,1.4932707167762609,1.8772626468606801,3.096243748858543,7.458434852340803,0.00981247274313127
per90_yellow_cards,0.5089764482597323,1.3918335812480496,1.834570774976922,3.0214207733616325,5.719837772892614,0.0089402529437418235
per90_loose_ball_duels,0.48197119779780756,1.3425442342021396,1.7760018680856635,3.0084709830692935,8.137884473832676,0.0089402529437418235
per90_dangerous_opponent_half_recoveries,0.5400568482658885,1.4607084295352921,1.84143971915025,2.990847210841294,5.306929737168433,0.00872219799389446
per90_dribbles_against,0.5120233176041256,1.4443349282715636,1.811734127207439,2.9435185903414776,5.951294984744555,0.008068033144352376
rate_successful_passes,0.4697468366044224,1.4198597386403045,1.8017235745281348,2.9252485450784476,7.105367925635639,0.008068033144352376
per90_key_passes,0.5198741990382063,1.5512499091690533,1.9505893923832267,2.8892845279149686,4.470730723157847,0.006323593545573485
per90_received_pass,0.5371222048563784,1.4893657739656345,1.8765705754127149,2.8887619001764575,6.8032435769785335,0.0067597034452682074
per90_lateral_passes,0.5133066048971947,1.4428940769533538,1.8760598387580651,2.8806078942865274,6.398776139175809,0.007413868294810292
per90_passes,0.5541477802634139,1.4722762265757985,1.8901824509274436,2.836863225303216,6.820416548140589,0.004579153946794592
per90_passes_to_final_third,0.48866079214407576,1.3957939988029602,1.7871037212644199,2.818790966207946,5.363730055444271,0.0067597034452682074
rate_aerial_duels_won,0.4857158010958992,1.4205521400951686,1.794556510287086,2.802320435922317,6.460075566570121,0.00719581334496293
per90_fouls,0.4901727166680435,1.3732355842801418,1.7482979800950167,2.7405242445782023,6.533887728860171,0.0056694286960314
per90_back_passes,0.49599757483855117,1.3805693112320494,1.736934007816511,2.7390009611424757,4.584366249880659,0.004143044047099869
per90_shots,0.47868439859138934,1.3653779140228925,1.7330946310229522,2.720115826180481,6.565921579088557,0.005451373746184038
per90_defensive_duels,0.5208429217721144,1.418865889145593,1.7947280917126738,2.71804815491903,4.7059089026137455,0.0056694286960314
per90_smart_passes,0.49174903842111417,1.4231122342044942,1.767980896241812,2.7154811462860513,6.389657662371833,0.00436109899694723
per90_shot_assists,0.5200231318335077,1.486352704229391,1.8627044846679026,2.705957457988806,4.787294372841415,0.004143044047099869
per90_clearances,0.5055861940767277,1.3728095265725022,1.7494709029958846,2.704177547813563,5.178509157295348,0.005887483645878762
per90_progressive_passes,0.528525902864003,1.432683125637729,1.8062983849808956,2.6944052745573406,4.883717761428611,0.0039249890972525075
rate_defensive_duels_won,0.5231604462701438,1.4434263746962075,1.885880658238618,2.6941730713482612,4.945416306298839,0.0032708242477104232
per90_opponent_half_recoveries,0.4861687105873268,1.3683460017383513,1.7483830613746152,2.6933206393153952,5.113644433616325,0.00436109899694723
per90_forward_passes,0.5278356230179782,1.4490732976969578,1.7870408206962591,2.6720930854779685,5.059949453344285,0.004143044047099869
per90_through_passes,0.5112230751716966,1.3788093291656,1.7652472012585176,2.6444160552999354,4.512186711999512,0.0039249890972525075
per90_losses,0.4731744046735473,1.3629786188321646,1.7449747362865762,2.6272056303728726,8.933885397102697,0.005015263846489315
per90_own_half_losses,0.5290372160525594,1.4208781607665442,1.770108925067432,2.6266590241518255,4.565276492651061,0.005233318796336677
per90_crosses,0.47849387292668144,1.34301328797617,1.6781020276495684,2.611438749396627,5.218848410808913,0.004579153946794592
per90_shots_blocked,0.5578835687586299,1.381014792259489,1.7353963167536957,2.606401587798148,3.9358486815440017,0.0028347143480157
per90_fouls_suffered,0.4803439720993993,1.337034593547865,1.6663599975624301,2.546720213771683,6.189574936246259,0.0030527692978630614
per90_dribbles,0.4705175570550542,1.340443221843083,1.6872933943600865,2.515566708429063,4.334984168293588,0.004143044047099869
per90_recoveries,0.5110341164675574,1.3886770950313536,1.7491241022046242,2.515278524487727,4.549301009992206,0.0032708242477104232
