pc,feature,group,loading,ci_lo,ci_hi,reliable
PC1,per90_goals,Attacking output,-0.6115361097144668,-0.6362655198846036,-0.5873644090971515,TRUE
PC1,per90_assists,Attacking output,-0.4176733327653233,-0.4522501022875952,-0.3828359085976413,TRUE
PC1,per90_xg_shot,Attacking output,-0.742723096727362,-0.7861577927908733,-0.7011058277973957,TRUE
PC1,per90_xg_assist,Attacking output,-0.5603143684686134,-0.6138632815329212,-0.5047875580631918,TRUE
PC1,per90_shots,Attacking output,-0.7947188707946533,-0.8434567570123523,-0.7458899647886394,TRUE
PC1,per90_head_shots,Attacking output,-0.21966087810875995,-0.2796658050065497,-0.16145187511940862,TRUE
PC1,per90_received_pass,Passing volume,0.4454758215244747,0.378570010551346,0.5120789061387848,TRUE
PC1,per90_passes,Passing volume,0.5724477771942358,0.5065242942991778,0.6378577895025386,TRUE
PC1,per90_forward_passes,Passing volume,0.8044065121343872,0.7464050309602248,0.861053360573424,TRUE
PC1,per90_back_passes,Passing volume,-0.3864358510922235,-0.4511112142873486,-0.32059982823778277,TRUE
PC1,per90_lateral_passes,Passing volume,0.6447210488490728,0.5791287723926589,0.709703573770042,TRUE
PC1,per90_long_passes,Passing volume,0.7671465257582144,0.7124660063838966,0.8220238311975647,TRUE
PC1,per90_smart_passes,Chance creation,-0.391354531905788,-0.43558475845251515,-0.34515602735134104,TRUE
PC1,per90_progressive_passes,Passing volume,0.6802455561290399,0.6264668678723329,0.733748065913056,TRUE
PC1,per90_passes_to_final_third,Passing volume,0.5307826669016592,0.47047480446348705,0.5925319064565324,TRUE
PC1,per90_key_passes,Chance creation,-0.5750394556271653,-0.6309921903278108,-0.5183552079082794,TRUE
PC1,per90_through_passes,Chance creation,-0.16545539548352747,-0.22067435778411323,-0.10789831331019463,TRUE
PC1,per90_crosses,Chance creation,-0.4563743300109084,-0.526111285812113,-0.3882085988577996,TRUE
PC1,per90_shot_assists,Chance creation,-0.6081626938568346,-0.6673295071998421,-0.5484281457704209,TRUE
PC1,rate_successful_passes,Passing quality,0.5298097796135995,0.4630986897862184,0.5964317263811112,TRUE
PC1,rate_successful_progressive_passes,Passing quality,-0.03931913242084168,-0.09103308987012959,0.013584517426284965,FALSE
PC1,per90_dribbles,Progressive actions,-0.7215273677730852,-0.7842780731925878,-0.6574201219198499,TRUE
PC1,per90_progressive_run,Progressive actions,-0.424759540842773,-0.4831615377729311,-0.3652387555905641,TRUE
PC1,per90_accelerations,Progressive actions,-0.42066153614100305,-0.47743950785385736,-0.36463651857300494,TRUE
PC1,rate_successful_dribbles,Progressive actions,0.29564858958046086,0.24808688137505416,0.3426142221638136,TRUE
PC1,per90_touch_in_box,Attacking output,-0.7980489736541229,-0.8464519782971713,-0.7512847232181977,TRUE
PC1,per90_losses,Defending,-0.5400065117213417,-0.600472578858714,-0.4791353195129846,TRUE
PC1,per90_own_half_losses,Defending,0.5210368235513105,0.4724710664620055,0.5701116867395153,TRUE
PC1,per90_dangerous_own_half_losses,Defending,0.5502636791394627,0.5059710168189914,0.5950249781737297,TRUE
PC1,per90_recoveries,Defending,0.8981947401629456,0.8492171777591584,0.9477913858173337,TRUE
