pc,feature,group,loading_LLt,loading_Sa
PC1,per90_goals,Attacking output,-0.5928547315632374,-0.5944015848621772
PC1,per90_assists,Attacking output,-0.40706761095194166,-0.4062405241160372
PC1,per90_xg_shot,Attacking output,-0.7360632376964744,-0.7372630115836543
PC1,per90_xg_assist,Attacking output,-0.5515698276194732,-0.5509109285065779
PC1,per90_shots,Attacking output,-0.7943495049487902,-0.7984639480792708
PC1,per90_head_shots,Attacking output,-0.23075097053030044,-0.2332811854646511
PC1,per90_received_pass,Passing volume,0.4595192840810507,0.4566655241492299
PC1,per90_passes,Passing volume,0.5849216915916294,0.5815366049210989
PC1,per90_forward_passes,Passing volume,0.8156277784965632,0.8129811863463077
PC1,per90_back_passes,Passing volume,-0.38027782342250654,-0.3850153755733462
PC1,per90_lateral_passes,Passing volume,0.6537961285868084,0.6514534949480126
PC1,per90_long_passes,Passing volume,0.775756897354436,0.781779759311477
PC1,per90_smart_passes,Passing volume,-0.38733534686203713,-0.38861343203231646
PC1,per90_progressive_passes,Passing volume,0.6918126952835998,0.6902596483737193
PC1,per90_passes_to_final_third,Passing volume,0.5431108638397065,0.546492398598317
PC1,per90_key_passes,Passing volume,-0.5707464071318985,-0.570151587785413
PC1,per90_through_passes,Passing volume,-0.15729187044528542,-0.15951159741705379
PC1,per90_crosses,Passing volume,-0.45967502563917956,-0.4626952790559406
PC1,per90_shot_assists,Passing volume,-0.6075844408607635,-0.6067839831672975
PC1,rate_successful_passes,Passing quality,0.5298716113416956,0.5328550236389088
PC1,rate_successful_progressive_passes,Passing quality,-0.03815618910528555,-0.03878352887770967
PC1,per90_dribbles,Progressive actions,-0.7260786211801324,-0.7308981552407463
PC1,per90_progressive_run,Progressive actions,-0.4246693710368149,-0.4308055105126385
PC1,per90_accelerations,Progressive actions,-0.416145950517973,-0.42064567492138655
PC1,rate_successful_dribbles,Progressive actions,0.3011961730836385,0.30322561772575396
PC1,per90_touch_in_box,Attacking output,-0.797710369208361,-0.8011584147670369
PC1,per90_losses,Defending,-0.5386630163036349,-0.5477061221713976
PC1,per90_own_half_losses,Defending,0.5213695610035655,0.5252451146236448
PC1,per90_dangerous_own_half_losses,Defending,0.556957170096926,0.5572892034059465
PC1,per90_recoveries,Defending,0.8996574345134273,0.8986772227799679
PC1,per90_opponent_half_recoveries,Defending,0.11351163419868658,0.1167876186799335
PC1,per90_dangerous_opponent_half_recoveries,Defending,-0.24243820397347543,-0.24481758311597396
PC1,per90_interceptions,Defending,0.8078015282524845,0.808029635742228
PC1,per90_clearances,Defending,0.77608124639978,0.7805502012522293
PC1,per90_shots_blocked,Defending,0.7063823389261319,0.7080185182552289
PC1,per90_defensive_duels,Dueling,0.38345062739176605,0.3897274153899672
PC1,per90_offensive_duels,Dueling,-0.8009288108486654,-0.8083527421813202
PC1,per90_aerial_duels,Dueling,-0.06660838689187443,-0.06736539473128389
PC1,per90_pressing_duels,Dueling,-0.5036394914708329,-0.5060459826846131
PC1,per90_loose_ball_duels,Dueling,-0.38818659881716366,-0.39648790323382227
PC1,per90_sliding_tackles,Defending,0.26378597930515657,0.27068117258497515
PC1,per90_dribbles_against,Defending,0.4481799900794223,0.45025854519934616
PC1,rate_defensive_duels_won,Defending,0.5010560747387814,0.5031759590772754
PC1,rate_offensive_duels_won,Dueling,0.37579917613273295,0.3793274470538914
PC1,rate_aerial_duels_won,Dueling,0.6399491941570165,0.6481116798991753
PC1,per90_fouls,Discipline,-0.12718555547219146,-0.13188962873187118
PC1,per90_fouls_suffered,Discipline,-0.5252931993366637,-0.5408260700621926
PC1,per90_yellow_cards,Discipline,0.19434693599073,0.19801499735981812
PC2,per90_goals,Attacking output,-0.1582899865372767,-0.16202645399207655
