K,pc,feature,group,loading,ci_lo,ci_hi,reliable
4,PC1,per90_goals,Attacking output,-0.5921423859349582,-0.618352667578576,-0.5665119646163581,TRUE
4,PC1,per90_assists,Attacking output,-0.40440548696182704,-0.4370789302419503,-0.37101103485454334,TRUE
4,PC1,per90_xg_shot,Attacking output,-0.7244076685321846,-0.7649480025330041,-0.684397620518878,TRUE
4,PC1,per90_xg_assist,Attacking output,-0.5595510712262673,-0.6124366734133542,-0.5063828659808582,TRUE
4,PC1,per90_shots,Attacking output,-0.7917042684805119,-0.8481810498734668,-0.7374878924263674,TRUE
4,PC1,per90_head_shots,Attacking output,-0.22257205651999432,-0.29348990240641154,-0.15193275924391386,TRUE
4,PC1,per90_received_pass,Passing volume,0.44994153892203675,0.3395015693303032,0.5492002364194885,TRUE
4,PC1,per90_passes,Passing volume,0.5746323515493332,0.4663875883124752,0.6724142543054551,TRUE
4,PC1,per90_forward_passes,Passing volume,0.8148814275417321,0.7265413767827872,0.8967015461407363,TRUE
4,PC1,per90_back_passes,Passing volume,-0.39526172840869883,-0.4900346900214292,-0.3069045842601595,TRUE
4,PC1,per90_lateral_passes,Passing volume,0.643390332435252,0.529491253312246,0.7436683401304562,TRUE
4,PC1,per90_long_passes,Passing volume,0.7811453412119789,0.7088119823671648,0.8567286459937228,TRUE
4,PC1,per90_smart_passes,Passing volume,-0.3897575104366905,-0.4481179617872957,-0.3339387019976795,TRUE
4,PC1,per90_progressive_passes,Passing volume,0.6954489713179908,0.6231073158534699,0.7661280996209198,TRUE
4,PC1,per90_passes_to_final_third,Passing volume,0.538044718559498,0.45113588216060563,0.6191867429229728,TRUE
4,PC1,per90_key_passes,Passing volume,-0.5725059792489005,-0.6306780352718502,-0.5117990493285158,TRUE
4,PC1,per90_through_passes,Passing volume,-0.1583138918014024,-0.22620213155678803,-0.0927021758494312,TRUE
4,PC1,per90_crosses,Passing volume,-0.4539888400912559,-0.5416804373200685,-0.35627005705952575,TRUE
4,PC1,per90_shot_assists,Passing volume,-0.6114424221022935,-0.6739124968258766,-0.548125833724616,TRUE
4,PC1,rate_successful_passes,Passing quality,0.5155839110346642,0.3967237575428785,0.6178111048540023,TRUE
4,PC1,rate_successful_progressive_passes,Passing quality,-0.041116190150639276,-0.11176247379761879,0.024701561132928165,FALSE
4,PC1,per90_dribbles,Progressive actions,-0.7252709363205878,-0.8078133770044631,-0.6425327621319858,TRUE
4,PC1,per90_progressive_run,Progressive actions,-0.4229940765726115,-0.48659815730987105,-0.3590968247701657,TRUE
4,PC1,per90_accelerations,Progressive actions,-0.4145843516062361,-0.47859036963488466,-0.34951243004422,TRUE
4,PC1,rate_successful_dribbles,Progressive actions,0.30420233251277184,0.238440031251899,0.36826121201498263,TRUE
4,PC1,per90_touch_in_box,Attacking output,-0.7917190916697763,-0.8464651473339418,-0.7387867913682303,TRUE
4,PC1,per90_losses,Defending,-0.5322920746981792,-0.6149201300624546,-0.444370893740952,TRUE
4,PC1,per90_own_half_losses,Defending,0.5261564424220726,0.47225011035947734,0.5817245198942649,TRUE
4,PC1,per90_dangerous_own_half_losses,Defending,0.5605066241228637,0.5066944740483459,0.6149491417670679,TRUE
4,PC1,per90_recoveries,Defending,0.8982221700079844,0.8405254245011413,0.9558385559364633,TRUE
4,PC1,per90_opponent_half_recoveries,Defending,0.09666151172264453,-0.013935182465176471,0.19850659339668167,FALSE
4,PC1,per90_dangerous_opponent_half_recoveries,Defending,-0.2486748783050318,-0.32857087439255384,-0.17337578963325834,TRUE
4,PC1,per90_interceptions,Defending,0.8105586682967096,0.7608278431179911,0.8621350497073489,TRUE
4,PC1,per90_clearances,Defending,0.7834388274275512,0.7091834365628831,0.8635244062311322,TRUE
4,PC1,per90_shots_blocked,Defending,0.7087215340582079,0.641539158864027,0.7784038680098293,TRUE
4,PC1,per90_defensive_duels,Dueling,0.376282861713919,0.28520423977329745,0.46092893587567696,TRUE
4,PC1,per90_offensive_duels,Dueling,-0.8011027611560845,-0.8797415423489636,-0.726973571653798,TRUE
4,PC1,per90_aerial_duels,Dueling,-0.06491795717493824,-0.132666815213241,0.0018184714079816089,FALSE
4,PC1,per90_pressing_duels,Dueling,-0.5063630425017226,-0.5646460886554748,-0.4495211778809325,TRUE
4,PC1,per90_loose_ball_duels,Dueling,-0.3900392665374917,-0.469606017427692,-0.31383645566565,TRUE
4,PC1,per90_sliding_tackles,Defending,0.25866192502640895,0.19410141947565457,0.3233762099486957,TRUE
4,PC1,per90_dribbles_against,Defending,0.4463087323857509,0.37505467335091436,0.5157426951350732,TRUE
4,PC1,rate_defensive_duels_won,Defending,0.5026265391983906,0.43909633591326347,0.5649969190224424,TRUE
4,PC1,rate_offensive_duels_won,Dueling,0.3822038096397105,0.3221795160374351,0.4422722201727446,TRUE
4,PC1,rate_aerial_duels_won,Dueling,0.6415706836573578,0.5732911654832055,0.7117867802965567,TRUE
4,PC1,per90_fouls,Discipline,-0.13261227466190795,-0.2326171262377615,-0.03848620494005264,TRUE
4,PC1,per90_fouls_suffered,Discipline,-0.5302509125070886,-0.6219559192386248,-0.446003959611197,TRUE
4,PC1,per90_yellow_cards,Discipline,0.18951352999824547,0.12506363534642165,0.2524767963392577,TRUE
4,PC2,per90_goals,Attacking output,-0.14169674019751666,-0.1479687307808209,-0.1355635073180626,TRUE
4,PC2,per90_assists,Attacking output,0.337105472679578,0.321338325062384,0.3525525586550449,TRUE
4,PC2,per90_xg_shot,Attacking output,-0.2520363711681617,-0.26316977551176884,-0.24087823097211913,TRUE
4,PC2,per90_xg_assist,Attacking output,0.49946689322806237,0.4899146633269487,0.5086399562824171,TRUE
4,PC2,per90_shots,Attacking output,0.01484535770156684,0.0049075742870365036,0.023113587469225982,TRUE
4,PC2,per90_head_shots,Attacking output,-0.5764289282552781,-0.5886660916948964,-0.5645911319423847,TRUE
4,PC2,per90_received_pass,Passing volume,0.6595848800439896,0.6087354394985782,0.7223458861727087,TRUE
4,PC2,per90_passes,Passing volume,0.6349678801957465,0.5847643117212394,0.6968421058681007,TRUE
4,PC2,per90_forward_passes,Passing volume,0.42241887429514563,0.4003493749890321,0.4500420175341206,TRUE
4,PC2,per90_back_passes,Passing volume,0.6360805730209138,0.6183965459175843,0.644607416754269,TRUE
4,PC2,per90_lateral_passes,Passing volume,0.44117611487554115,0.3936555007571146,0.500569606134497,TRUE
4,PC2,per90_long_passes,Passing volume,0.2652352157918816,0.26376761475566407,0.2703647382974026,TRUE
4,PC2,per90_smart_passes,Passing volume,0.4033097304929007,0.3909233215560969,0.41196161692969774,TRUE
4,PC2,per90_progressive_passes,Passing volume,0.5414401333844788,0.5294053703995514,0.5553023330272013,TRUE
4,PC2,per90_passes_to_final_third,Passing volume,0.4727445570324301,0.43177565643885113,0.5188206423796238,TRUE
4,PC2,per90_key_passes,Passing volume,0.5115749093072677,0.49980082326906705,0.5237967528755259,TRUE
4,PC2,per90_through_passes,Passing volume,0.47869935657823814,0.45472104681997616,0.5060885235669227,TRUE
4,PC2,per90_crosses,Passing volume,0.5465702036206399,0.5176549754428693,0.5722625425088339,TRUE
4,PC2,per90_shot_assists,Passing volume,0.5859663007374408,0.5798271365718574,0.5912433463992082,TRUE
4,PC2,rate_successful_passes,Passing quality,0.1420775570943013,0.08716102222189953,0.2106492454796941,TRUE
4,PC2,rate_successful_progressive_passes,Passing quality,0.4178273543052182,0.3889750706922138,0.4515452750958009,TRUE
4,PC2,per90_dribbles,Progressive actions,0.4171233540034396,0.409768539583616,0.418936546944497,TRUE
4,PC2,per90_progressive_run,Progressive actions,0.45029639288816625,0.4388876953855846,0.4644074999142187,TRUE
4,PC2,per90_accelerations,Progressive actions,0.37313625755273233,0.36042619348123917,0.3858283573750665,TRUE
