rank,player_name,player_id,season_id,feature,z_std,minutes,player_index,season_index
1,Álvaro Rodríguez,788748,189974,per90_aerial_duels,10.934147204457723,931,1500,11
2,Juanmi Latasa,558779,188124,per90_aerial_duels,10.108304869417402,554,1322,9
3,L. Cabrera,3885,189974,rate_successful_dribbles,-9.783826194349684,3058,226,11
4,H. Hassan,589806,191659,per90_progressive_run,9.474013865209965,910,1359,12
5,Víctor Laguardia,4358,186267,rate_successful_dribbles,-9.254003264068798,2808,298,7
6,Juanmi Latasa,558779,189012,per90_aerial_duels,9.025960935302248,1686,1322,10
7,Joselu,3327,189012,per90_aerial_duels,-8.975155354074287,1915,43,10
8,Álex Suárez,519494,189974,rate_successful_dribbles,-8.942377347639693,2670,1256,11
9,Gabriel Pires,43051,10837,per90_aerial_duels,8.827767525261152,2743,589,3
10,Juanmi Latasa,558779,189012,per90_loose_ball_duels,8.62595900244275,1686,1322,10
11,A. Christensen,135103,189012,rate_successful_dribbles,-8.372568263105112,2154,735,10
12,Álvaro Soberón,3695,8504,rate_successful_dribbles,-8.372533825160822,1945,186,1
13,Pablo Hervías,6287,186267,per90_accelerations,8.253096232460594,1313,392,7
14,Santi Mina,250885,186267,per90_pressing_duels,8.04160776980809,2565,845,7
15,Vinícius Júnior,493295,187526,per90_accelerations,7.941293277034643,2856,1225,8
16,Iborra,3928,8504,per90_aerial_duels,7.889651228876219,1747,233,1
17,Adrián Marín,286994,9630,per90_sliding_tackles,7.881873613158918,972,941,2
18,A. Griezmann,3682,186267,per90_touch_in_box,7.78962017225945,2735,182,7
19,S. Boufal,215983,185641,per90_offensive_duels,7.761432384721232,2189,788,5
20,Pablo Pérez,169000,9630,per90_sliding_tackles,7.696782569688794,796,761,2
21,Pablo Hervías,6287,185828,per90_accelerations,7.66640632275558,1109,392,6
22,Fran García,422517,188124,per90_accelerations,7.6219633628061425,3738,1143,9
23,Nolito,70125,9630,per90_offensive_duels,7.620380076885605,2585,616,2
24,Fran García,422517,187526,per90_accelerations,7.551184521728497,3320,1143,8
25,O. Dembélé,286390,187526,per90_assists,7.4178569269905665,1487,937,8
26,S. Savić,8311,185641,rate_successful_dribbles,-7.357222679254219,1471,439,5
27,E. Pérez,86234,9630,per90_sliding_tackles,7.344065972740911,1294,641,2
28,L. Messi,3359,185828,per90_progressive_run,7.300275931561945,3072,63,6
29,L. Suárez,7972,9630,per90_touch_in_box,7.2644617970480985,3269,431,2
30,Álex Baena,544859,189974,per90_xg_assist,7.259861757261977,2760,1286,11
31,M. Gómez,395636,189012,per90_loose_ball_duels,7.257941277534041,1352,1098,10
32,F. Valverde,364005,187526,per90_accelerations,7.244182072951916,1983,1053,8
33,Rubén Peña,225948,185641,per90_passes_to_final_third,7.212065775126349,2837,803,5
34,David Zurutuza,3680,9630,per90_offensive_duels,7.077785581366454,1159,180,2
35,Edu Expósito,499843,191659,per90_xg_assist,7.072300019973599,1089,1236,12
36,Kike García,3874,186267,per90_loose_ball_duels,7.0191438925462935,3248,224,7
37,Bryan Gil,532831,186267,per90_accelerations,7.006888342711783,2419,1271,7
38,Gerard Moreno,5400,181144,per90_aerial_duels,7.003569874407752,3569,371,4
39,L. Cabrera,3885,185641,rate_successful_passes,-6.98237888129705,2980,226,5
40,Luisinho,70451,8504,per90_sliding_tackles,6.945138215772053,1803,627,1
41,S. Weissman,238564,188124,rate_successful_progressive_passes,-6.941577632752418,819,826,9
42,Joselu,3327,185828,per90_losses,6.930020204490754,2992,43,6
43,Raúl Torrente,694310,189012,rate_successful_dribbles,-6.928322958161684,1397,1452,10
44,Y. Herrera,363717,186267,per90_aerial_duels,6.880070426792579,2473,1051,7
45,Santi Mina,250885,187526,per90_aerial_duels,6.840731842743635,2526,845,8
46,Marcos Llorente,279538,10837,per90_recoveries,6.795511709723329,2960,909,3
47,Imanol García,450650,10837,per90_sliding_tackles,6.728636379852686,552,1169,3
48,K. Mbappé,353833,189974,per90_touch_in_box,6.721017500460525,3023,1037,11
49,K. Benzema,3321,187526,per90_xg_shot,6.717708284596551,2755,38,8
50,G. Carrillo,86239,185641,per90_aerial_duels,6.711748920613202,2093,642,5
51,M. Wakaso,3538,10837,per90_sliding_tackles,6.693013384530216,900,131,3
52,T. Hernández,344132,185641,per90_accelerations,6.689082016757159,2075,1019,5
53,Arnau Martínez,678620,191659,per90_dangerous_own_half_losses,6.620552759876337,1041,1441,12
54,A. Griezmann,3682,188124,per90_xg_assist,6.585804822512312,3090,182,9
55,Nolito,70125,8504,per90_offensive_duels,6.575756524265669,1805,616,1
56,Íñigo Martínez,3671,189974,per90_passes_to_final_third,6.522083972629354,2573,173,11
57,C. Stuani,3714,188124,rate_successful_progressive_passes,-6.445136411967445,1316,190,9
