player_index,player_name,top1_neighbor_index,top1_neighbor_name,top1_mean_dist,p_closest_neighbor
60,J. Mascherano,1196,Eric García,0.5393714535391895,0.185
765,M. Angeleri,891,Jorge Meré,0.4054044728960708,0.04775
1088,S. Jurić,164,Tomás Pina,0.48580836039149916,0.02325
963,Marcão,1178,Alejandro Catena,0.39845367166220674,0.039
1270,Miguel Baeza,924,Carles Aleñà,0.5586177469418219,0.0295
762,Diego Rico,241,D. Suárez,0.4480075365936144,0.032
1320,T. Nianzou,1300,Aitor Paredes,0.3926776830059125,0.06175
898,J. Rodríguez,1057,Loren Morón,0.5180018577331856,0.038
798,Rubén García,887,Samu García,0.4037114172880097,0.07175
978,Dani Calvo,407,Antonio Raíllo,0.40393335404032366,0.04225
515,J. Pastore,1042,G. Lo Celso,0.5257083497235789,0.101
1103,Jota,401,Dani Rodríguez,0.5091294486319758,0.028
1338,Jon Pacheco,287,David López,0.3832573724040006,0.055
461,P. Ebert,284,Borja García,0.45479898175662575,0.0765
740,Rafa Soares,263,Ander Capa,0.4509923197210252,0.03975
503,C. Piccini,191,Juankar,0.38741639528049354,0.04075
965,R. Perraud,342,José Gayá,0.42931536226875955,0.03675
1188,Rodrigo Riquelme,326,Saúl Berjón,0.46784345759293133,0.10275
523,G. Krychowiak,173,Íñigo Martínez,0.4009528387352319,0.02975
179,Xabi Prieto,775,André Gomes,0.4595677411687957,0.0825
855,Kenedy,893,Luis Rioja,0.45089752340183575,0.057
780,C. Musonda,1370,Ander Barrenetxea,0.49126936114569875,0.023
306,Vitolo,123,Roberto Torres,0.4071155744471417,0.06675
548,A. Mandi,1118,Éder Militão,0.34346965589529876,0.20125
1360,Ilaix Moriba,1204,Kike Pérez,0.4316454752489999,0.09775
508,A. Florenzi,677,Edimar,0.5344607192880519,0.0705
1114,S. Colombatto,991,Mikel Merino,0.46948889207090866,0.04
648,L. Magallán,1295,José Gragera,0.44152119498298914,0.04025
112,I. Rakitić,603,M. Kovačić,0.48097603525223126,0.1955
336,J. González,560,T. Lemar,0.4997012935195438,0.0605
710,E. Velázquez,249,Miguel Torres,0.49744198489485353,0.0665
