query_player_name,query_archetype,neighbor_player_name,rank,style_dist,level_gap
Sergio Ramos,Centre backs,Gerard Piqué,1,0.1582,0.7793374097705988
Sergio Ramos,Centre backs,S. Umtiti,2,0.3063,1.3087487480668054
Sergio Ramos,Centre backs,Javi García,3,0.3083,1.0149077006491989
Sergio Ramos,Centre backs,R. Araújo,4,0.4194,0.5402958955575888
Sergio Ramos,Centre backs,A. Rüdiger,5,0.4791,1.0835393275686618
Sergio Ramos,Centre backs,A. Christensen,6,0.4823,0.8778821822500424
Sergio Ramos,Centre backs,T. Vermaelen,7,0.5242,0.9401779706814615
Sergio Ramos,Centre backs,J. Mathieu,8,0.5609,1.0075473257220071
Sergio Ramos,Centre backs,A. Mandi,9,0.5817,1.04038001340179
Sergio Ramos,Centre backs,Diego Carlos,10,0.5832,0.8954318671864026
K. Benzema,Attacking midfielders,Cristiano Ronaldo,1,0.6512,1.4040837129662727
K. Benzema,Attacking midfielders,L. Suárez,2,0.8292,0.4907371061001184
K. Benzema,Attacking midfielders,S. Jovetić,3,0.8796,1.0629649396821588
K. Benzema,Attacking midfielders,K. Mbappé,4,1.1849,0.27441138700865086
K. Benzema,Attacking midfielders,Rubén Castro,5,1.2151,0.9066853679274598
K. Benzema,Attacking midfielders,Paulinho,6,1.3331,2.0031020695195996
K. Benzema,Attacking midfielders,A. Griezmann,7,1.3674,1.2577598216803854
K. Benzema,Attacking midfielders,Alberto Bueno,8,1.4327,2.079208992235789
K. Benzema,Attacking midfielders,Iago Aspas,9,1.4482,1.0982439146680516
K. Benzema,Attacking midfielders,L. Vietto,10,1.4603,1.8208779255258878
Cristiano Ronaldo,Forwards,K. Benzema,1,0.6512,1.4040837129662727
Cristiano Ronaldo,Forwards,L. Suárez,2,1.0875,0.939839753689771
Cristiano Ronaldo,Forwards,S. Jovetić,3,1.2647,2.4171385841648827
Cristiano Ronaldo,Forwards,Rubén Castro,4,1.3257,2.257165896389733
Cristiano Ronaldo,Forwards,K. Mbappé,5,1.601,1.4305476487568838
Cristiano Ronaldo,Forwards,L. Jović,6,1.6721,2.6923999121588427
Cristiano Ronaldo,Forwards,W. Ben Yedder,7,1.7609,2.0006586254677234
Cristiano Ronaldo,Forwards,P. Aubameyang,8,1.7761,2.0439989756702626
Cristiano Ronaldo,Forwards,I. Uche,9,1.8008,3.107085786106624
Cristiano Ronaldo,Forwards,Chicharito,10,1.8157,2.5547129715988945
Gerard Piqué,Centre backs,Sergio Ramos,1,0.1582,0.7793374097705988
Gerard Piqué,Centre backs,S. Umtiti,2,0.2763,0.5534076429958983
Gerard Piqué,Centre backs,Javi García,3,0.4494,0.31761881229526195
Gerard Piqué,Centre backs,R. Araújo,4,0.5402,0.26515331091235833
Gerard Piqué,Centre backs,T. Vermaelen,5,0.5816,0.2418814107688448
Gerard Piqué,Centre backs,A. Christensen,6,0.5844,0.27689387173461866
Gerard Piqué,Centre backs,A. Rüdiger,7,0.5859,0.3093370028719694
Gerard Piqué,Centre backs,J. Mathieu,8,0.5994,0.33130684654084497
Gerard Piqué,Centre backs,Diego Carlos,9,0.6226,0.14600394400197303
Gerard Piqué,Centre backs,A. Mandi,10,0.6318,0.2716965216607909
Sergio Busquets,Defensive midfielders,Z. Kuzmanović,1,0.4161,0.4744549933894626
Sergio Busquets,Defensive midfielders,Damián Rodríguez,2,0.4713,0.46761111835007113
Sergio Busquets,Defensive midfielders,Marc Casadó,3,0.5103,0.43475316026891303
Sergio Busquets,Defensive midfielders,Sergio Marcos,4,0.54990000000000006,0.09575185913929071
Sergio Busquets,Defensive midfielders,M. Díaz,5,0.6053,0.27015996937292175
Sergio Busquets,Defensive midfielders,D. Blind,6,0.6484,0.08226969688457213
Sergio Busquets,Defensive midfielders,Dean Huijsen,7,0.6511,0.3704658373348952
Sergio Busquets,Defensive midfielders,Kirian Rodríguez,8,0.7549,0.8606351042552244
Sergio Busquets,Defensive midfielders,Dani Parejo,9,0.755,1.2986115835566858
Sergio Busquets,Defensive midfielders,J. Mascherano,10,0.7989,0.03941198138984797
Xavi,Midfielders,M. Pjanić,1,0.6473,0.2014146651436067
Xavi,Midfielders,T. Kroos,2,1.116,0.4632972654673672
Xavi,Midfielders,Andrés Iniesta,3,1.2289,0.6205414785392512
Xavi,Midfielders,Arthur,4,1.5094,0.13927669652057761
Xavi,Midfielders,T. Gayoso Roberto,5,1.6378,0.4477489953377196
Xavi,Midfielders,F. de Jong,6,1.6544,0.3274712198773165
Xavi,Midfielders,L. Modrić,7,1.7946,0.2811656100047049
Xavi,Midfielders,S. Nasri,8,1.821,0.7609467399625568
Xavi,Midfielders,İ. Gündoğan,9,1.8824,0.9661971297969338
Xavi,Midfielders,Riqui Puig,10,1.9274,0.7320235882810194
L. Messi,Attacking midfielders,Neymar,1,1.8177,2.252541842622912
L. Messi,Attacking midfielders,Pedro,2,2.1404,3.1708800055015556
L. Messi,Attacking midfielders,Philippe Coutinho,3,2.1717,3.5478003483370837
L. Messi,Attacking midfielders,Jonathan Viera,4,2.2451,4.100884642969239
L. Messi,Attacking midfielders,J. Rodríguez,5,2.2529,3.8053497006418846
L. Messi,Attacking midfielders,S. Nasri,6,2.3489,4.57231156180013
L. Messi,Attacking midfielders,Isco,7,2.5138,4.221539691342133
L. Messi,Attacking midfielders,Xavi,8,2.6135,5.251709001211973
L. Messi,Attacking midfielders,Riqui Puig,9,2.6175,4.569472595062768
L. Messi,Attacking midfielders,İ. Gündoğan,10,2.6244,4.41157700350344
Koke,Midfielders,Fabián Ruiz,1,0.22,0.14536909164910383
Koke,Midfielders,Dani Parejo,2,0.2313,0.7716097791592412
Koke,Midfielders,Hugo Sotelo,3,0.2848,0.2638841994700219
Koke,Midfielders,Sergi Roberto,4,0.2879,0.137257719221493
Koke,Midfielders,Aleix García,5,0.3515,0.02739726684515506
Koke,Midfielders,Marc Casadó,6,0.3851,0.10191276701283115
Koke,Midfielders,Álex López,7,0.4081,0.38148255760575345
Koke,Midfielders,S. Amrabat,8,0.4549,0.35682169121737034
Koke,Midfielders,M. Kovačić,9,0.5015,0.09508062950997535
Koke,Midfielders,H. Herrera,10,0.5172,0.42198114194710756
A. Griezmann,Attacking midfielders,G. Bale,1,0.495,0.3994577187146579
A. Griezmann,Attacking midfielders,Alberto Bueno,2,0.5304,0.8536233853315097
A. Griezmann,Attacking midfielders,Iago Aspas,3,0.5647,0.2659473825027599
A. Griezmann,Attacking midfielders,Xabi Prieto,4,0.6222,2.0926787330220478
A. Griezmann,Attacking midfielders,Malcom,5,0.6292,1.1560648573155348
A. Griezmann,Attacking midfielders,João Félix,6,0.6949,0.3383399491155986
A. Griezmann,Attacking midfielders,L. Vietto,7,0.7882,0.6005250099899335
A. Griezmann,Attacking midfielders,Ansu Fati,8,0.8213,0.07252087649183554
A. Griezmann,Attacking midfielders,K. Boateng,9,0.8355,0.47113699407895177
A. Griezmann,Attacking midfielders,Dani Olmo,10,0.8662,0.6611030382024963
C. Stuani,Forwards,Manucho Gonçalves,1,0.5609,1.8212289308877356
C. Stuani,Forwards,E. Boateng,2,0.5729,1.7750806951954434
C. Stuani,Forwards,G. Carrillo,3,0.6882,2.3207606150847515
C. Stuani,Forwards,Samu Omorodion,4,0.7626,1.3608459623045674
C. Stuani,Forwards,A. Budimir,5,0.764,1.0416308495071622
C. Stuani,Forwards,R. Falcao,6,0.7769,1.5359818436464054
C. Stuani,Forwards,Y. En-Nesyri,7,0.8091,1.6167049930666069
C. Stuani,Forwards,L. de Jong,8,0.8126,1.7621655954339974
C. Stuani,Forwards,V. Muriqi,9,0.8239,1.761153776471039
C. Stuani,Forwards,Rafa Mir,10,0.843,1.364533813575542
Iago Aspas,Attacking midfielders,G. Bale,1,0.1517,0.2651904714322643
Iago Aspas,Attacking midfielders,Ansu Fati,2,0.2586,0.21277350296958886
Iago Aspas,Attacking midfielders,João Félix,3,0.3167,0.3298780244972278
Iago Aspas,Attacking midfielders,Malcom,4,0.4822,1.297954270788877
Iago Aspas,Attacking midfielders,C. Vela,5,0.5124,1.1732627782967722
Iago Aspas,Attacking midfielders,A. Griezmann,6,0.5647,0.2659473825027599
