"true_rank","rank","mean_elpd_per_reconstructed_value"
0,0,-1.38544157710385
1,0,-1.41542669512071
2,0,-1.40942784701311
3,0,-1.41318348768814
0,1,-1.3899240386757
1,1,-1.02102334800619
2,1,-1.18939505808597
3,1,-1.28333689149785
0,2,-1.3970423069227
1,2,-1.02668365748487
2,2,-0.992992946579099
3,2,-1.17813883747398
0,3,-1.4023303289126
1,3,-1.03032213672365
2,3,-1.00200579167801
3,3,-1.05992890948107
0,4,-1.40593393896481
1,4,-1.03340179400558
2,4,-1.0058625787228
3,4,-1.06636629708648
