"true_rank","task","rank","elpd"
0,"missing_season",0,-5625.45648445554
0,"missing_season",1,-5630.60640964584
0,"missing_season",2,-5630.8328503759
0,"missing_season",3,-5639.55742335985
0,"missing_season",4,-5646.02242763082
0,"new_player",0,-5742.28666428757
0,"new_player",1,-5739.15697022208
0,"new_player",2,-5760.64044788554
0,"new_player",3,-5774.24359633652
0,"new_player",4,-5788.10500605651
2,"missing_season",0,-3712.38157781786
2,"missing_season",1,-3523.17425255075
2,"missing_season",2,-3397.57349240914
2,"missing_season",3,-3386.79109114702
2,"missing_season",4,-3410.49026642542
2,"new_player",0,-6308.69183526784
2,"new_player",1,-5139.54638919447
2,"new_player",2,-3942.51332511503
2,"new_player",3,-4039.94797566284
2,"new_player",4,-4017.79331776126
